run,jit_cap_label,tail_packets,server_fps_mean,server_fps_min,payload_mbps_mean,render_fps_mean,fresh_fps_mean,fresh_fps_min,derived_delay_mean_ms,derived_delay_max_ms,holes,closures,wire_mean_ms,selection_mean_ms,safety_fallbacks_postcutoff
pacing-r1-w01t64,w0.1,64,89.61046511627907,77.5,83.22168553488372,89.43529411764706,83.5572816664841,55.37597765363128,41.64823529411765,130.29999999999998,323,15234,4.3882352941176475,6.942352941176471,37
pacing-r1-w03t0,w0.3,0,89.97093023255815,89.0,83.55668074418604,89.43294117647059,86.84516444366979,76.3290502793296,42.77294117647059,47.199999999999996,1,15299,4.490588235294117,8.145882352941177,12
pacing-r1-w03t64,w0.3,64,89.92441860465117,76.5,83.51341990697675,89.43294117647059,84.04581629970424,70.76333333333334,40.181176470588234,44.1,0,15294,4.397647058823529,5.747058823529412,14
pacing-r1-w0t64,w0,64,89.95930232558139,89.0,83.54607418604651,89.43176470588236,84.03380198634389,59.86592178770949,41.57176470588235,49.7,602,15283,4.165882352941177,5.5717647058823525,64
pacing-r2-w01t64,w0.1,64,89.95348837209302,88.5,83.54036413953489,89.44470588235293,82.80116310658342,25.941899441340784,40.271764705882354,101.80000000000001,438,15298,4.356470588235294,5.723529411764706,60
pacing-r2-w03t0,w0.3,0,89.94186046511628,89.5,83.52959088372093,89.43529411764706,86.35433654653667,47.89333333333333,41.37882352941177,56.4,61,15293,4.270588235294118,6.989411764705882,29
pacing-r2-w03t64,w0.3,64,89.73837209302326,79.0,83.34068241860466,89.42941176470588,85.21739123702143,61.36256983240223,40.690588235294115,47.5,210,15257,4.503529411764706,6.090588235294118,39
pacing-r2-w0t64,w0,64,89.98837209302326,88.5,83.57315674418605,89.43529411764706,84.95778478840326,65.85251396648044,39.525882352941174,46.9,257,15285,4.331764705882353,5.12,41
