run,case,cache,payload_mbps,fresh_fps,decode_ms,derived_software_delay_ms,holes,safety_fallbacks_postcutoff,wire_ms_min
1,A,0,83.61747804878048,88.55460661080075,0.6,44.505,0,3,10.3
2,B,1,74.5662464390244,82.47620282433272,1.0825,47.0025,160,52,8.8
3,B,1,74.52642926829269,83.98691798572315,1.1325,47.025,0,19,9.6
4,A,0,83.56092107317073,88.24273355058969,0.6,46.2125,0,7,6.8
