run,case,aimd_loss_only,budget_mean_mbps,budget_min_mbps,budget_final_mbps,payload_mean_mbps,fresh_mean_fps,fresh_min_fps,derived_delay_mean_ms,derived_delay_max_ms,holes,safety_fallbacks_postcutoff
1,A,0,8.672,8.672,8.672,4.911274428571429,45.710878787878784,43.90222222222222,58.64181818181818,61.9,0,193
2,B,1,422.4542142857143,277.507,277.507,72.89939985714285,89.1408981527987,59.93333333333334,42.89818181818182,61.9,25,12
3,B,1,433.604,433.604,433.604,74.58393164285714,89.66030303030303,88.80222222222223,41.32545454545454,45.0,0,0
4,A,0,8.672,8.672,8.672,4.927723714285714,45.783343434343436,43.40333333333333,57.06363636363636,61.3,1,162
