frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.560  submit 0.778  passA 4.546  passW 0.121  passB 17.285  gpu 21.832  total 23.385 ms
frame 34: 55259 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 3.654  submit 0.327  passA 8.973  passW 0.241  passB 36.740  gpu 45.714  total 50.101 ms
frame 35: 26888 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.183  submit 0.256  passA 4.346  passW 0.112  passB 17.285  gpu 21.632  total 23.386 ms
frame 36: 53471 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.304  submit 1.093  passA 8.926  passW 0.256  passB 92.789  gpu 101.715  total 103.601 ms
frame 37: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.272  submit 0.335  passA 3.660  passW 0.107  passB 17.313  gpu 20.974  total 25.775 ms
frame 38: 55030 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.235  submit 0.290  passA 8.102  passW 0.237  passB 36.346  gpu 44.449  total 49.081 ms
frame 39: 27548 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.279  submit 0.367  passA 4.512  passW 0.115  passB 18.076  gpu 22.589  total 24.936 ms
frame 40: 53018 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.297  submit 1.223  passA 8.247  passW 0.255  passB 93.147  gpu 101.394  total 103.099 ms
frame 41: 26214 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.326  submit 0.384  passA 4.302  passW 0.109  passB 16.929  gpu 21.231  total 28.089 ms
frame 42: 54952 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.222  submit 1.014  passA 8.104  passW 0.244  passB 36.328  gpu 44.433  total 46.074 ms
frame 43: 27507 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.666  submit 0.290  passA 4.460  passW 0.130  passB 17.883  gpu 22.343  total 25.221 ms
frame 44: 52706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.324  submit 1.431  passA 8.790  passW 0.250  passB 93.486  gpu 102.277  total 104.221 ms
frame 45: 26897 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.290  submit 0.369  passA 3.767  passW 0.114  passB 17.950  gpu 21.719  total 26.217 ms
frame 46: 53971 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.316  submit 0.397  passA 7.933  passW 0.243  passB 36.350  gpu 44.284  total 46.210 ms
frame 47: 27965 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.308  submit 0.368  passA 3.957  passW 0.130  passB 18.392  gpu 22.351  total 23.183 ms
frame 48: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.192  submit 0.232  passA 0.995  passW 0.009  passB 0.312  gpu 1.307  total 3.320 ms
frame 49: 57248 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.208  submit 0.600  passA 8.524  passW 0.285  passB 94.277  gpu 102.801  total 103.811 ms
frame 50: 57362 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.329  submit 0.364  passA 8.524  passW 0.255  passB 39.618  gpu 48.144  total 52.958 ms
frame 51: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.293  submit 0.679  passA 9.484  passW 0.303  passB 95.563  gpu 105.049  total 107.122 ms
frame 52: 57587 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.352  submit 0.276  passA 9.364  passW 0.248  passB 38.668  gpu 48.034  total 52.136 ms
frame 53: 57642 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.283  submit 0.661  passA 8.667  passW 0.317  passB 100.523  gpu 109.192  total 111.188 ms
frame 54: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.328  submit 1.140  passA 8.613  passW 0.277  passB 42.370  gpu 50.985  total 56.966 ms
frame 55: 57711 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.316  submit 0.689  passA 8.794  passW 0.282  passB 106.352  gpu 115.145  total 118.572 ms
frame 56: 57495 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.327  submit 0.352  passA 9.771  passW 0.295  passB 45.820  gpu 55.592  total 60.781 ms
frame 57: 57734 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.356  submit 0.673  passA 9.831  passW 0.286  passB 107.172  gpu 117.003  total 120.151 ms
frame 58: 57605 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.347  submit 0.364  passA 9.785  passW 0.256  passB 45.709  gpu 55.495  total 60.832 ms
frame 59: 57665 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.300  submit 0.688  passA 9.868  passW 0.285  passB 107.841  gpu 117.709  total 120.699 ms
frame 60: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.318  submit 0.304  passA 10.957  passW 0.265  passB 44.501  gpu 55.459  total 60.441 ms
frame 61: 57720 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.314  submit 0.694  passA 9.054  passW 1.111  passB 107.966  gpu 117.020  total 120.797 ms
frame 62: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.337  submit 0.288  passA 9.746  passW 0.255  passB 45.421  gpu 55.168  total 61.123 ms
frame 63: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.352  submit 0.728  passA 9.165  passW 0.283  passB 107.268  gpu 116.434  total 119.154 ms
frame 64: 57541 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.310  submit 0.330  passA 9.777  passW 0.258  passB 45.731  gpu 55.509  total 58.543 ms
frame 65: 57633 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.305  submit 0.974  passA 9.848  passW 0.296  passB 107.547  gpu 117.396  total 120.475 ms
frame 66: 57527 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.324  submit 0.322  passA 9.729  passW 0.275  passB 45.221  gpu 54.951  total 60.114 ms
frame 67: 57775 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.302  submit 0.703  passA 10.027  passW 1.404  passB 107.589  gpu 117.616  total 120.578 ms
