frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.556  submit 0.733  passA 3.599  passW 0.106  passB 15.415  gpu 19.014  total 20.658 ms
frame 34: 55259 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.758  submit 0.762  passA 7.510  passW 0.237  passB 33.120  gpu 40.631  total 42.656 ms
frame 35: 26888 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.537  submit 0.930  passA 3.732  passW 0.111  passB 15.909  gpu 19.642  total 21.451 ms
frame 36: 53471 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 1.411  submit 4.017  passA 7.609  passW 0.243  passB 83.893  gpu 91.503  total 97.446 ms
frame 37: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.587  submit 1.771  passA 3.645  passW 0.106  passB 15.364  gpu 19.009  total 25.907 ms
frame 38: 55030 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.735  submit 0.883  passA 7.442  passW 0.236  passB 33.291  gpu 40.733  total 43.068 ms
frame 39: 27548 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.598  submit 0.735  passA 3.831  passW 0.115  passB 16.596  gpu 20.427  total 22.045 ms
frame 40: 53018 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.641  submit 3.669  passA 7.574  passW 0.271  passB 84.815  gpu 92.389  total 97.276 ms
frame 41: 26214 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.610  submit 0.789  passA 3.761  passW 0.109  passB 15.526  gpu 19.287  total 20.940 ms
frame 42: 54952 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 1.203  submit 1.016  passA 7.433  passW 0.244  passB 32.805  gpu 40.238  total 43.033 ms
frame 43: 27507 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 1.021  submit 0.730  passA 3.866  passW 0.117  passB 16.414  gpu 20.281  total 22.613 ms
frame 44: 52706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.773  submit 3.228  passA 7.536  passW 0.246  passB 84.963  gpu 92.499  total 97.137 ms
frame 45: 26897 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.846  submit 0.806  passA 3.817  passW 0.114  passB 15.987  gpu 19.805  total 21.852 ms
frame 46: 53971 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.688  submit 0.788  passA 7.364  passW 0.230  passB 32.293  gpu 39.657  total 41.670 ms
frame 47: 27965 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.603  submit 0.654  passA 3.947  passW 0.119  passB 16.432  gpu 20.379  total 21.990 ms
frame 48: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.547  submit 0.659  passA 0.405  passW 0.008  passB 0.309  gpu 0.714  total 2.093 ms
frame 49: 57248 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.633  submit 3.151  passA 7.922  passW 0.268  passB 82.752  gpu 90.674  total 95.194 ms
frame 50: 57362 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 1.272  submit 0.882  passA 7.773  passW 0.254  passB 34.525  gpu 42.298  total 45.127 ms
frame 51: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 2.114  submit 1.959  passA 8.503  passW 0.290  passB 93.617  gpu 102.122  total 106.472 ms
frame 52: 57587 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.325  submit 0.318  passA 9.028  passW 0.247  passB 37.970  gpu 47.000  total 50.755 ms
frame 53: 57642 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.522  submit 1.050  passA 8.813  passW 0.280  passB 92.220  gpu 101.033  total 105.603 ms
frame 54: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.303  submit 0.332  passA 8.412  passW 0.262  passB 38.770  gpu 47.184  total 52.234 ms
frame 55: 57711 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.258  submit 0.683  passA 9.166  passW 0.277  passB 91.632  gpu 100.799  total 104.912 ms
frame 56: 57495 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.292  submit 0.310  passA 8.444  passW 0.261  passB 38.006  gpu 46.451  total 51.273 ms
frame 57: 57734 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.308  submit 0.785  passA 9.158  passW 0.281  passB 91.503  gpu 100.662  total 101.924 ms
frame 58: 57605 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.318  submit 0.296  passA 8.524  passW 0.266  passB 38.373  gpu 46.897  total 51.609 ms
frame 59: 57665 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.311  submit 0.815  passA 8.512  passW 0.277  passB 91.813  gpu 100.326  total 103.019 ms
frame 60: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.352  submit 0.296  passA 8.490  passW 0.257  passB 38.434  gpu 46.925  total 49.678 ms
frame 61: 57720 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.297  submit 0.761  passA 8.805  passW 1.054  passB 94.112  gpu 102.919  total 105.671 ms
frame 62: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.363  submit 0.277  passA 9.424  passW 0.258  passB 38.660  gpu 48.085  total 52.203 ms
frame 63: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.301  submit 1.281  passA 8.740  passW 0.281  passB 93.785  gpu 102.525  total 107.336 ms
frame 64: 57541 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.609  submit 0.338  passA 8.591  passW 0.260  passB 39.828  gpu 48.420  total 51.289 ms
frame 65: 57633 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.659  submit 0.888  passA 10.425  passW 0.294  passB 101.887  gpu 112.312  total 114.379 ms
frame 66: 57527 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.350  submit 0.368  passA 8.604  passW 0.313  passB 44.427  gpu 53.032  total 59.197 ms
frame 67: 57775 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.374  submit 0.846  passA 9.846  passW 0.286  passB 107.875  gpu 117.722  total 120.940 ms
frame 68: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.366  submit 0.366  passA 9.711  passW 0.259  passB 45.546  gpu 55.258  total 60.484 ms
frame 69: 57706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.338  submit 0.791  passA 9.882  passW 0.284  passB 107.102  gpu 116.985  total 120.107 ms
frame 70: 57628 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.398  submit 0.325  passA 9.762  passW 0.273  passB 46.083  gpu 55.846  total 58.833 ms
frame 71: 57706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.536  submit 1.199  passA 10.961  passW 0.285  passB 108.126  gpu 119.088  total 121.064 ms
frame 72: 1258 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.223  submit 0.259  passA 0.373  passW 0.008  passB 0.296  gpu 0.669  total 5.622 ms
frame 73: 56304 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.245  submit 0.814  passA 9.834  passW 0.327  passB 108.652  gpu 118.487  total 119.723 ms
frame 74: 56771 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.224  submit 0.918  passA 9.798  passW 0.283  passB 54.581  gpu 64.381  total 69.401 ms
frame 75: 56588 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.257  submit 1.014  passA 9.735  passW 0.280  passB 54.443  gpu 64.179  total 67.216 ms
frame 76: 56707 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.227  submit 0.940  passA 10.909  passW 0.283  passB 53.578  gpu 64.489  total 66.447 ms
frame 77: 56492 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.240  submit 0.910  passA 10.104  passW 1.057  passB 54.734  gpu 64.839  total 67.557 ms
frame 78: 57014 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.241  submit 0.931  passA 10.176  passW 0.283  passB 53.928  gpu 64.105  total 69.079 ms
frame 79: 56382 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.224  submit 0.952  passA 10.232  passW 1.062  passB 53.805  gpu 64.038  total 68.799 ms
frame 80: 56849 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.222  submit 0.814  passA 9.814  passW 0.290  passB 54.170  gpu 63.986  total 66.066 ms
frame 81: 56487 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.231  submit 0.858  passA 8.616  passW 0.279  passB 54.201  gpu 62.819  total 65.801 ms
frame 82: 56707 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.229  submit 1.318  passA 9.859  passW 0.283  passB 54.221  gpu 64.082  total 69.158 ms
frame 83: 56446 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.225  submit 3.814  passA 9.763  passW 0.286  passB 54.607  gpu 64.371  total 68.597 ms
frame 84: 57014 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.221  submit 0.791  passA 10.982  passW 0.284  passB 53.286  gpu 64.267  total 66.209 ms
frame 85: 56510 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.261  submit 0.867  passA 10.981  passW 0.279  passB 53.263  gpu 64.245  total 69.168 ms
frame 86: 56785 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.238  submit 2.480  passA 10.192  passW 0.286  passB 53.812  gpu 64.005  total 66.843 ms
