frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.220  submit 0.284  passA 5.586  passW 0.106  passB 19.631  gpu 25.218  total 30.236 ms
frame 34: 55259 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.231  submit 0.282  passA 9.428  passW 0.239  passB 44.052  gpu 53.482  total 55.407 ms
frame 35: 26888 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.202  submit 0.266  passA 5.729  passW 0.111  passB 20.365  gpu 26.095  total 28.067 ms
frame 36: 53471 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.255  submit 0.947  passA 9.610  passW 0.269  passB 114.618  gpu 124.229  total 126.169 ms
frame 37: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.212  submit 0.293  passA 3.706  passW 0.107  passB 20.916  gpu 24.624  total 30.402 ms
frame 38: 55030 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.230  submit 0.266  passA 8.597  passW 0.243  passB 43.913  gpu 52.511  total 55.130 ms
frame 39: 27548 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.420  submit 2.679  passA 3.832  passW 0.116  passB 22.627  gpu 26.460  total 29.780 ms
frame 40: 53018 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.228  submit 0.916  passA 9.913  passW 0.265  passB 113.262  gpu 123.176  total 125.132 ms
frame 41: 26214 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.213  submit 0.282  passA 4.902  passW 0.109  passB 20.735  gpu 25.637  total 29.586 ms
frame 42: 54952 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.255  submit 0.278  passA 10.590  passW 0.238  passB 43.314  gpu 53.906  total 55.857 ms
frame 43: 27507 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.267  submit 2.155  passA 6.165  passW 0.115  passB 20.621  gpu 26.785  total 29.364 ms
frame 44: 52706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.220  submit 1.444  passA 9.429  passW 0.260  passB 115.748  gpu 125.179  total 127.661 ms
frame 45: 26897 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.235  submit 0.270  passA 4.601  passW 0.115  passB 20.203  gpu 24.805  total 29.889 ms
frame 46: 53971 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.413  submit 0.292  passA 8.490  passW 0.244  passB 42.379  gpu 50.870  total 54.734 ms
frame 47: 27965 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.217  submit 0.324  passA 4.737  passW 0.118  passB 22.151  gpu 26.889  total 29.938 ms
frame 48: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.199  submit 0.281  passA 0.418  passW 0.008  passB 0.311  gpu 0.730  total 3.447 ms
frame 49: 57248 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.199  submit 0.619  passA 10.165  passW 0.280  passB 111.121  gpu 121.287  total 122.303 ms
frame 50: 57362 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.354  submit 0.376  passA 11.082  passW 0.269  passB 44.600  gpu 55.684  total 60.476 ms
frame 51: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.314  submit 0.700  passA 11.085  passW 0.276  passB 111.416  gpu 122.502  total 124.442 ms
frame 52: 57587 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.294  submit 0.285  passA 9.701  passW 0.255  passB 46.069  gpu 55.770  total 60.785 ms
frame 53: 57642 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.601  submit 0.737  passA 8.702  passW 0.288  passB 110.626  gpu 119.328  total 122.309 ms
frame 54: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.319  submit 0.322  passA 8.602  passW 0.281  passB 46.433  gpu 55.035  total 61.095 ms
frame 55: 57711 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.288  submit 0.631  passA 9.080  passW 0.286  passB 111.357  gpu 120.439  total 123.075 ms
