16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
frame 0: 218056 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.122  submit 914.729  passA 21.981  passW 0.000  passB 3.050  gpu 25.031  total 941.529 ms
frame 1: 218492 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.385  submit 0.572  passA 18.947  passW 0.000  passB 6.729  gpu 25.676  total 35.033 ms
frame 2: 216720 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.502  submit 0.482  passA 21.652  passW 0.000  passB 2.818  gpu 24.470  total 30.640 ms
frame 3: 218320 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.530  submit 0.422  passA 17.668  passW 0.000  passB 2.415  gpu 20.084  total 26.623 ms
frame 4: 218080 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.436  submit 0.423  passA 14.594  passW 0.000  passB 4.119  gpu 18.713  total 21.191 ms
frame 5: 218080 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.435  submit 0.414  passA 13.938  passW 0.000  passB 3.357  gpu 17.295  total 19.797 ms
frame 6: 218084 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.440  submit 0.416  passA 14.849  passW 0.000  passB 4.160  gpu 19.010  total 21.492 ms
frame 7: 218088 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.452  submit 0.446  passA 14.324  passW 0.000  passB 3.363  gpu 17.687  total 20.054 ms
frame 8: 217676 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.536  submit 0.777  passA 14.520  passW 0.000  passB 3.187  gpu 17.707  total 20.085 ms
frame 9: 218056 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.444  submit 0.385  passA 14.452  passW 0.000  passB 3.364  gpu 17.816  total 21.228 ms
frame 10: 216208 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.452  submit 0.407  passA 14.202  passW 0.000  passB 3.326  gpu 17.528  total 23.179 ms
frame 11: 218268 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.435  submit 0.387  passA 14.576  passW 0.000  passB 2.355  gpu 16.931  total 22.637 ms
frame 12: 218108 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.461  submit 0.474  passA 14.287  passW 0.000  passB 3.367  gpu 17.654  total 21.838 ms
frame 13: 218008 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.457  submit 0.388  passA 14.635  passW 0.000  passB 4.238  gpu 18.874  total 23.831 ms
frame 14: 218204 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.586  submit 0.497  passA 14.615  passW 0.000  passB 2.382  gpu 16.998  total 20.286 ms
frame 15: 218132 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.467  submit 0.457  passA 14.454  passW 0.000  passB 3.311  gpu 17.765  total 24.311 ms
