16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
frame 0: 218056 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.523  submit 936.910  passA 20.329  passW 0.000  passB 5.325  gpu 25.655  total 963.337 ms
frame 1: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.378  submit 0.709  passA 21.846  passW 0.000  passB 2.374  gpu 24.220  total 31.468 ms
frame 2: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.497  submit 0.939  passA 17.337  passW 0.000  passB 1.957  gpu 19.294  total 27.558 ms
frame 3: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.443  submit 0.616  passA 15.707  passW 0.000  passB 1.950  gpu 17.657  total 25.159 ms
frame 4: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.435  submit 0.584  passA 16.376  passW 0.000  passB 2.013  gpu 18.389  total 24.832 ms
frame 5: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.436  submit 0.545  passA 15.479  passW 0.000  passB 1.930  gpu 17.409  total 19.759 ms
frame 6: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.593  submit 0.795  passA 16.161  passW 0.000  passB 1.976  gpu 18.138  total 21.561 ms
frame 7: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.497  submit 0.615  passA 15.432  passW 0.000  passB 3.658  gpu 19.091  total 21.401 ms
frame 8: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.470  submit 0.602  passA 15.635  passW 0.000  passB 2.006  gpu 17.641  total 23.337 ms
frame 9: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.465  submit 0.537  passA 15.409  passW 0.000  passB 3.017  gpu 18.427  total 22.687 ms
frame 10: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.319  submit 0.654  passA 15.609  passW 0.000  passB 3.564  gpu 19.173  total 23.840 ms
frame 11: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.498  submit 0.859  passA 15.451  passW 0.000  passB 1.994  gpu 17.445  total 20.690 ms
frame 12: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.543  submit 0.642  passA 15.371  passW 0.000  passB 2.904  gpu 18.275  total 24.744 ms
frame 13: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.491  submit 0.660  passA 15.480  passW 0.000  passB 1.929  gpu 17.409  total 19.940 ms
frame 14: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.462  submit 0.533  passA 15.626  passW 0.000  passB 1.987  gpu 17.613  total 25.343 ms
frame 15: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.449  submit 0.643  passA 16.932  passW 0.000  passB 2.968  gpu 19.900  total 22.337 ms
