16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
frame 0: 218056 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.508  submit 953.868  passA 22.237  passW 0.000  passB 3.078  gpu 25.315  total 979.996 ms
frame 1: 218492 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.419  submit 0.694  passA 19.997  passW 0.000  passB 4.408  gpu 24.405  total 33.068 ms
frame 2: 216720 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.380  submit 0.331  passA 18.927  passW 0.000  passB 3.638  gpu 22.565  total 31.086 ms
frame 3: 218320 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.515  submit 0.493  passA 15.172  passW 0.000  passB 3.410  gpu 18.582  total 23.824 ms
frame 4: 218080 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.512  submit 1.109  passA 14.610  passW 0.000  passB 3.170  gpu 17.780  total 23.693 ms
frame 5: 218080 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.531  submit 0.431  passA 13.895  passW 0.000  passB 2.390  gpu 16.285  total 19.558 ms
frame 6: 218084 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.506  submit 0.442  passA 14.804  passW 0.000  passB 2.368  gpu 17.172  total 18.346 ms
frame 7: 218088 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.446  submit 0.394  passA 14.418  passW 0.000  passB 3.428  gpu 17.847  total 21.027 ms
frame 8: 217676 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.549  submit 0.519  passA 14.759  passW 0.000  passB 2.408  gpu 17.167  total 20.495 ms
frame 9: 218056 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.520  submit 0.434  passA 14.589  passW 0.000  passB 4.098  gpu 18.687  total 21.036 ms
frame 10: 216208 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.591  submit 0.506  passA 14.136  passW 0.000  passB 2.370  gpu 16.506  total 19.952 ms
frame 11: 218268 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.436  submit 0.421  passA 14.881  passW 0.000  passB 4.341  gpu 19.222  total 21.692 ms
frame 12: 218108 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.573  submit 0.447  passA 14.618  passW 0.000  passB 2.363  gpu 16.982  total 22.766 ms
frame 13: 218008 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.508  submit 0.448  passA 14.446  passW 0.000  passB 3.439  gpu 17.885  total 21.715 ms
frame 14: 218204 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.498  submit 0.511  passA 14.596  passW 0.000  passB 2.412  gpu 17.009  total 19.391 ms
frame 15: 218132 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.664  submit 0.511  passA 14.584  passW 0.000  passB 3.362  gpu 17.947  total 21.957 ms
