frame,wire_bytes,detail_bytes,detail_raw_bytes
0,105658,97133,522256
1,105658,97133,522256
2,105658,97133,522256
3,105658,97133,522256
4,105658,97133,522256
5,105658,97133,522256
6,105658,97133,522256
7,105658,97133,522256
8,105658,97133,522256
9,105658,97133,522256
10,105658,97133,522256
11,105658,97133,522256
12,105658,97133,522256
13,105658,97133,522256
14,105658,97133,522256
15,105658,97133,522256
16,105658,97133,522256
17,105658,97133,522256
18,105658,97133,522256
19,105658,97133,522256
20,105658,97133,522256
21,105658,97133,522256
22,105658,97133,522256
23,105658,97133,522256
24,105658,97133,522256
25,105658,97133,522256
26,105658,97133,522256
27,105658,97133,522256
28,105658,97133,522256
29,105658,97133,522256
30,105658,97133,522256
31,105658,97133,522256
32,105658,97133,522256
33,105658,97133,522256
34,105658,97133,522256
35,105658,97133,522256
36,105658,97133,522256
37,105658,97133,522256
38,105658,97133,522256
39,105658,97133,522256
40,105658,97133,522256
41,105658,97133,522256
42,105658,97133,522256
43,105658,97133,522256
44,105658,97133,522256
45,105658,97133,522256
46,105658,97133,522256
47,105658,97133,522256
48,105658,97133,522256
49,105658,97133,522256
50,105658,97133,522256
51,105658,97133,522256
52,105658,97133,522256
53,105658,97133,522256
54,105658,97133,522256
55,105658,97133,522256
56,105658,97133,522256
57,105658,97133,522256
58,105658,97133,522256
59,105658,97133,522256
60,105658,97133,522256
61,105658,97133,522256
62,105658,97133,522256
63,105658,97133,522256
64,105658,97133,522256
65,105658,97133,522256
66,105658,97133,522256
67,105658,97133,522256
68,105658,97133,522256
69,105658,97133,522256
70,105658,97133,522256
71,105658,97133,522256
72,105658,97133,522256
73,105658,97133,522256
74,105658,97133,522256
75,105658,97133,522256
76,105658,97133,522256
77,105658,97133,522256
78,105658,97133,522256
79,105658,97133,522256
