frame,wire_bytes,detail_bytes,detail_raw_bytes
0,137290,128954,510016
1,137290,128954,510016
2,137290,128954,510016
3,137290,128954,510016
4,137290,128954,510016
5,137290,128954,510016
6,137290,128954,510016
7,137290,128954,510016
8,137290,128954,510016
9,137290,128954,510016
10,137290,128954,510016
11,137290,128954,510016
12,137290,128954,510016
13,137290,128954,510016
14,137290,128954,510016
15,137290,128954,510016
16,137290,128954,510016
17,137290,128954,510016
18,137290,128954,510016
19,137290,128954,510016
20,137290,128954,510016
21,137290,128954,510016
22,137290,128954,510016
23,137290,128954,510016
24,137290,128954,510016
25,137290,128954,510016
26,137290,128954,510016
27,137290,128954,510016
28,137290,128954,510016
29,137290,128954,510016
30,137290,128954,510016
31,137290,128954,510016
32,137290,128954,510016
33,137290,128954,510016
34,137290,128954,510016
35,137290,128954,510016
36,137290,128954,510016
37,137290,128954,510016
38,137290,128954,510016
39,137290,128954,510016
40,137290,128954,510016
41,137290,128954,510016
42,137290,128954,510016
43,137290,128954,510016
44,137290,128954,510016
45,137290,128954,510016
46,137290,128954,510016
47,137290,128954,510016
48,137290,128954,510016
49,137290,128954,510016
50,137290,128954,510016
51,137290,128954,510016
52,137290,128954,510016
53,137290,128954,510016
54,137290,128954,510016
55,137290,128954,510016
56,137290,128954,510016
57,137290,128954,510016
58,137290,128954,510016
59,137290,128954,510016
60,137290,128954,510016
61,137290,128954,510016
62,137290,128954,510016
63,137290,128954,510016
64,137290,128954,510016
65,137290,128954,510016
66,137290,128954,510016
67,137290,128954,510016
68,137290,128954,510016
69,137290,128954,510016
70,137290,128954,510016
71,137290,128954,510016
72,137290,128954,510016
73,137290,128954,510016
74,137290,128954,510016
75,137290,128954,510016
76,137290,128954,510016
77,137290,128954,510016
78,137290,128954,510016
79,137290,128954,510016
