frame,wire_bytes,detail_bytes,detail_raw_bytes
0,65349,57609,359056
1,65349,57609,359056
2,65349,57609,359056
3,65349,57609,359056
4,65349,57609,359056
5,65349,57609,359056
6,65349,57609,359056
7,65349,57609,359056
8,65349,57609,359056
9,65349,57609,359056
10,65349,57609,359056
11,65349,57609,359056
12,65349,57609,359056
13,65349,57609,359056
14,65349,57609,359056
15,65349,57609,359056
16,65349,57609,359056
17,65349,57609,359056
18,65349,57609,359056
19,65349,57609,359056
20,65349,57609,359056
21,65349,57609,359056
22,65349,57609,359056
23,65349,57609,359056
24,65349,57609,359056
25,65349,57609,359056
26,65349,57609,359056
27,65349,57609,359056
28,65349,57609,359056
29,65349,57609,359056
30,65349,57609,359056
31,65349,57609,359056
32,65349,57609,359056
33,65349,57609,359056
34,65349,57609,359056
35,65349,57609,359056
36,65349,57609,359056
37,65349,57609,359056
38,65349,57609,359056
39,65349,57609,359056
40,65349,57609,359056
41,65349,57609,359056
42,65349,57609,359056
43,65349,57609,359056
44,65349,57609,359056
45,65349,57609,359056
46,65349,57609,359056
47,65349,57609,359056
48,65349,57609,359056
49,65349,57609,359056
50,65349,57609,359056
51,65349,57609,359056
52,65349,57609,359056
53,65349,57609,359056
54,65349,57609,359056
55,65349,57609,359056
56,65349,57609,359056
57,65349,57609,359056
58,65349,57609,359056
59,65349,57609,359056
60,65349,57609,359056
61,65349,57609,359056
62,65349,57609,359056
63,65349,57609,359056
64,65349,57609,359056
65,65349,57609,359056
66,65349,57609,359056
67,65349,57609,359056
68,65349,57609,359056
69,65349,57609,359056
70,65349,57609,359056
71,65349,57609,359056
72,65349,57609,359056
73,65349,57609,359056
74,65349,57609,359056
75,65349,57609,359056
76,65349,57609,359056
77,65349,57609,359056
78,65349,57609,359056
79,65349,57609,359056
