run,role,complete,holes,server_byte_budget_mbps,fresh_fps_mean,fresh_fps_p95,gpu_ms_mean,gpu_ms_p95,decode_ms_mean,decode_ms_p95,render_fps_mean,render_fps_p95,wire_ms_mean,wire_ms_p95,selection_ms_mean,selection_ms_p95,derived_ms_mean,derived_ms_p95,payload_mbps_mean,encode_ms_mean,apk_sha256,server_sha256
J,old baseline,True,0,433.604336,89.69121212121212,89.8,5.3909090909090915,5.4,0.5,0.5,89.78181818181818,89.8,1.3636363636363635,1.4,5.309090909090909,6.3,37.81818181818182,38.6,53.286812,4.6692307692307695,,
K,CPU-interleaved merge,True,0,433.604336,89.75464646464646,89.8,3.3,3.3,1.0727272727272728,1.1,89.8,89.8,1.4545454545454546,1.7,4.245454545454545,4.8,33.64545454545455,34.800000000000004,53.2872,4.661538461538461,,
L,old repeat control,True,0,433.604336,89.79090909090908,89.8,5.4,5.4,0.5,0.5,89.79090909090908,89.8,1.4363636363636363,1.5,3.8636363636363638,4.2,36.35454545454545,36.7,53.28681230769231,4.646153846153846,,
N,phase-moved old control,True,0,433.604336,89.8,89.8,5.4,5.4,0.5,0.5,89.8,89.8,1.0818181818181818,1.1,5.827272727272727,6.0,38.03636363636364,38.300000000000004,53.2872,4.869230769230769,,
O,CPU merge render debug,True,0,433.604336,89.78181818181818,89.8,3.3545454545454545,3.9,1.009090909090909,1.1,89.78181818181818,89.8,1.0636363636363637,1.1,5.118181818181818,5.7,34.22727272727273,37.4,53.28681230769231,4.815384615384615,,
V,old checker control,True,0,433.604336,89.8,89.8,5.4,5.4,0.5,0.5,89.8,89.8,1.0818181818181818,1.1,5.5,5.9,37.78181818181818,38.4,53.28681230769231,4.892307692307693,,
W,full-rate candidate,True,0,433.604336,89.79090909090908,89.8,3.2181818181818183,3.3,0.6,0.6,89.79090909090908,89.8,1.5727272727272728,1.6,7.345454545454546,8.0,36.263636363636365,37.4,74.57704615384615,3.3923076923076922,,
Y,final normal source APK,True,0,433.604336,89.8,89.8,3.3,3.3,1.090909090909091,1.1,89.8,89.8,1.0636363636363637,1.1,5.590909090909091,6.0,34.445454545454545,34.7,53.28681230769231,4.884615384615385,d82e5852be96d80f781920569a63246a2137ffe9e9ab43dd3509c624466ba1d1,26da43b3197114f821d67b12f4a2126c01cb9169dde16a796d5acc40a94f556d
