run,case,jit_us,payload_mbps,encode_ms,fresh_fps,decode_ms,derived_delay_ms,fresh_min_fps,derived_delay_max_ms,holes,safety_fallbacks_postcutoff
1,A,45000,74.53934778571428,3.6,88.5346554934823,0.6963636363636363,47.20545454545454,86.30670391061453,48.4,0,9
2,B,5000,74.517179,3.616071428571429,80.76557575757576,0.6818181818181818,41.4,66.85111111111111,43.300000000000004,0,14
3,B,5000,74.42121478571428,3.630357142857143,88.63532323232323,0.6981818181818181,41.48909090909091,78.82444444444444,43.699999999999996,7,27
4,A,45000,74.57639278571429,3.6,88.62365526776141,0.6909090909090909,45.583636363636366,86.30670391061453,47.5,0,13
