run,case,nominal_bbr,window,tail,budget_mean_mbps,budget_min_mbps,budget_max_mbps,payload_mean_mbps,fresh_mean_fps,fresh_min_fps,derived_delay_mean_ms,derived_delay_max_ms,holes,safety_fallbacks_postcutoff
1,A,0,0.3,0,9.724,9.724,9.724,7.823716142857143,75.9386569042379,69.76666666666667,46.33090909090909,49.2,5,63
2,B,1,0.3,0,21.192357142857144,20.161,57.855,10.151342142857143,88.17770640166088,77.24166666666667,43.583636363636366,46.9,5,20
3,B,1,0.3,0,25.257624999999997,20.798,86.816,11.034379071428571,80.23397196471225,67.92359550561798,41.71272727272727,50.5,16,82
4,A,0,0.3,0,10.451,10.451,10.451,8.399652928571427,82.27784792054625,72.75530726256984,42.63090909090909,46.0,4,31
