frame,decode_ms,render_ms,total_ms
187,0.467188,5.14682,5.61401
188,0.397812,5.50516,5.90297
189,0.313385,4.70615,5.01953
190,0.413229,6.8699,7.28313
191,0.380312,3.51672,3.89703
192,0.378177,4.92875,5.30693
193,0.452968,5.70104,6.15401
194,0.384792,4.4201,4.8049
195,0.403802,6.81766,7.22146
196,0.355364,3.22187,3.57724
197,1.02109,5.12797,6.14906
198,0.422708,5.41297,5.83568
199,0.338437,4.31766,4.65609
200,0.549792,7.1899,7.73969
201,0.397084,3.2088,3.60589
202,0.48099,5.49557,5.97656
203,0.42,5.57859,5.99859
204,0.35375,4.66693,5.02068
205,0.491875,6.66474,7.15661
206,0.382448,3.20365,3.58609
207,0.713697,5.37677,6.09047
208,0.475834,5.6863,6.16214
209,0.310052,4.47484,4.7849
210,0.385573,7.06828,7.45385
211,0.36526,3.05656,3.42182
212,1.75495,4.34151,6.09646
213,0.408958,5.62766,6.03662
214,0.327657,4.63266,4.96031
215,0.545938,6.84963,7.39557
216,0.355052,3.43156,3.78661
217,0.451771,4.80927,5.26104
218,0.350886,5.79516,6.14604
219,0.431563,4.78557,5.21714
220,0.403333,6.73458,7.13792
221,0.335417,3.29609,3.63151
222,1.45995,4.72734,6.18729
223,0.545208,5.80125,6.34646
224,0.325052,4.41448,4.73953
225,0.386407,7.0163,7.40271
226,0.459844,5.22875,5.68859
227,0.415313,6.56557,6.98089
228,0.463021,3.41464,3.87766
229,0.364844,5.60177,5.96661
230,0.393333,5.83469,6.22802
231,0.332084,4.39672,4.7288
232,0.378177,6.83771,7.21589
233,0.390052,3.05885,3.44891
234,0.305365,5.70078,6.00615
235,0.402291,5.92698,6.32927
236,0.415937,4.5337,4.94963
237,0.543594,6.75453,7.29812
238,0.350156,3.47552,3.82568
239,0.34849,5.59823,5.94672
240,0.395833,5.63615,6.03198
241,0.361614,4.27682,4.63844
242,0.37849,7.07989,7.45838
243,0.414636,3.22953,3.64417
244,0.468542,5.53604,6.00458
245,0.437813,5.71911,6.15693
246,0.303386,4.42833,4.73172
247,0.380834,6.90505,7.28589
248,0.382968,3.24724,3.63021
249,0.847865,5.43182,6.27969
250,0.471198,5.62969,6.10088
251,0.350833,4.56375,4.91458
252,0.400469,6.71927,7.11974
253,0.338646,3.54078,3.87943
254,0.47625,4.95443,5.43068
255,0.435677,5.68818,6.12385
256,0.328438,4.42344,4.75188
257,0.499167,7.00188,7.50104
258,0.55776,3.25667,3.81443
259,0.395937,5.13057,5.52651
260,0.372812,5.53651,5.90932
261,0.29375,4.3738,4.66755
262,0.555781,6.7438,7.29958
263,0.33401,3.11828,3.45229
264,0.251302,5.95609,6.2074
265,0.458438,5.74646,6.2049
266,0.313854,4.44536,4.75922
267,0.367709,6.86781,7.23552
268,0.312708,3.37589,3.68859
269,0.448437,5.56151,6.00995
270,0.389584,5.68271,6.07229
271,0.290729,4.39464,4.68536
272,0.775364,7.07583,7.8512
273,0.335573,3.19948,3.53505
274,0.415677,5.74453,6.16021
275,0.374792,5.59651,5.9713
276,0.439688,4.42328,4.86297
277,0.405,6.8075,7.2125
278,0.341979,3.19656,3.53854
279,0.499636,6.14609,6.64573
280,0.565,5.75338,6.31839
281,0.314167,4.38677,4.70094
282,0.364532,7.42599,7.79052
283,0.44151,4.84516,5.28667
284,0.400677,6.87906,7.27974
285,0.401719,3.49167,3.89339
286,0.571042,5.14266,5.7137
287,0.415104,5.83219,6.24729
288,0.307761,4.34036,4.64813
289,0.375,6.91401,7.28901
290,0.526823,3.09885,3.62568
291,0.848281,5.03594,5.88422
292,0.424531,5.86599,6.29052
293,0.433333,4.60792,5.04125
294,0.536458,6.87198,7.40844
295,0.359427,3.17396,3.53338
296,0.323542,5.21344,5.53698
297,0.405521,5.54448,5.95
298,0.370312,4.52615,4.89646
299,0.361458,7.01354,7.375
300,0.43375,3.30521,3.73896
301,0.36323,5.62005,5.98328
302,0.356094,5.89375,6.24984
303,0.285312,4.52792,4.81323
304,0.411667,6.84984,7.26151
305,0.384271,3.12156,3.50583
306,0.945104,5.00818,5.95328
307,0.505678,5.70823,6.21391
308,0.398438,4.38823,4.78667
309,0.401823,6.82958,7.23141
310,0.342031,3.21417,3.5562
311,0.708855,5.23031,5.93917
312,0.443698,5.48448,5.92818
313,0.342448,4.75458,5.09703
314,0.522187,6.84833,7.37052
315,0.384844,3.45172,3.83656
316,0.399323,5.07823,5.47755
317,0.395521,5.81083,6.20636
318,0.310573,5.19714,5.50771
319,0.866771,5.67349,6.54026
320,0.337604,3.07297,3.41057
321,0.271666,5.80511,6.07677
322,0.526354,5.64963,6.17599
323,0.351562,4.41755,4.76911
324,0.391771,6.72281,7.11458
325,0.342396,3.14693,3.48932
326,0.296875,5.44297,5.73984
327,0.393698,5.55844,5.95214
328,0.331875,4.65432,4.9862
329,0.578073,7.34016,7.91823
330,0.328073,3.21615,3.54422
331,0.276979,5.58823,5.86521
332,0.414063,5.6938,6.10787
333,0.355156,4.49802,4.85318
334,0.418177,6.70786,7.12604
335,0.358073,3.22964,3.58771
336,0.410729,6.19594,6.60667
337,0.505,5.72516,6.23016
338,0.308594,4.63573,4.94432
339,0.380729,7.74036,8.12109
340,0.437188,4.45463,4.89182
341,0.405677,6.855,7.26068
342,0.391093,3.45708,3.84818
343,0.415677,5.87214,6.28781
344,0.415625,5.85229,6.26792
345,0.35724,4.36526,4.7225
346,0.660885,6.86818,7.52906
347,0.487031,4.76542,5.25245
348,0.382813,7.26625,7.64906
349,0.429166,3.39896,3.82812
350,0.296719,6.59922,6.89594
351,0.400885,5.8713,6.27219
352,0.294896,4.29104,4.58594
353,0.36901,6.96969,7.3387
354,0.362708,3.12588,3.48859
355,0.546406,4.8463,5.39271
356,0.388021,5.86474,6.25276
357,0.405365,4.4812,4.88656
358,0.412864,6.91776,7.33063
359,0.364843,3.13568,3.50052
360,0.856042,5.10276,5.9588
361,0.518698,5.41568,5.93438
362,0.352292,4.55344,4.90573
363,0.378698,6.95849,7.33719
364,0.376407,3.24641,3.62281
365,0.366562,5.55687,5.92344
366,0.366979,5.86162,6.22859
367,0.334531,4.28667,4.6212
368,0.395521,6.79271,7.18823
369,0.3825,3.10333,3.48583
370,0.2725,5.56542,5.83792
371,0.491198,5.84005,6.33125
372,0.35099,4.45677,4.80776
373,0.506459,6.78703,7.29349
374,0.344687,3.24792,3.5926
375,0.296302,5.56989,5.8662
376,0.456667,5.61823,6.0749
377,0.312865,4.6875,5.00037
378,0.472864,7.02349,7.49635
379,0.360885,3.43036,3.79125
380,0.299323,5.48474,5.78406
381,0.373541,5.99328,6.36682
382,0.304531,4.37974,4.68427
383,0.427552,7.11,7.53755
384,0.34849,3.22521,3.5737
385,0.399219,5.92469,6.32391
386,0.429115,5.63417,6.06328
387,0.300625,4.35432,4.65495
388,0.402396,6.85245,7.25484
389,0.319948,3.31328,3.63323
390,0.640469,4.76771,5.40818
391,0.384584,5.54922,5.9338
392,1.01354,5.99463,7.00818
393,0.466094,5.7538,6.2199
394,0.329739,4.41531,4.74505
395,0.398177,7.10906,7.50724
396,0.357292,3.40739,3.76469
397,0.397604,5.46755,5.86516
398,0.420156,5.81172,6.23187
399,0.405104,4.73688,5.14198
400,0.402708,5.42531,5.82802
401,0.386927,4.94651,5.33344
402,0.353958,5.65755,6.01151
403,0.422292,5.58646,6.00875
404,0.371771,4.43849,4.81026
405,0.400052,6.85412,7.25417
406,0.437657,3.51239,3.95005
407,0.398177,5.78589,6.18406
408,0.431719,5.83536,6.26708
409,0.348282,4.38599,4.73427
410,0.436406,6.99958,7.43599
411,0.413334,4.69391,5.10724
412,0.441771,7.0125,7.45427
413,0.416458,3.32021,3.73667
414,0.331979,5.86011,6.19208
415,0.408906,5.8675,6.27641
416,0.352396,4.37172,4.72411
417,0.401667,6.86979,7.27146
418,0.358385,3.18896,3.54734
419,0.29573,5.38635,5.68208
420,0.578125,5.7949,6.37302
421,0.540208,4.54609,5.0863
422,0.401771,4.43052,4.83229
423,0.40375,5.79068,6.19443
424,0.389948,5.83338,6.22333
425,0.515989,5.49661,6.0126
426,0.311197,4.7062,5.01739
427,0.433854,7.19557,7.62943
428,0.415,4.63953,5.05453
429,0.418958,7.20828,7.62724
430,0.394584,3.41276,3.80734
431,0.352396,5.46792,5.82031
432,0.404948,5.63078,6.03573
433,0.346354,4.35208,4.69844
434,0.515157,7.65635,8.17151
435,0.425677,3.24833,3.67401
436,0.663698,5.07182,5.73552
437,0.478854,5.57469,6.05354
438,0.294636,4.47651,4.77115
439,1.87651,5.73214,7.60865
440,0.339636,3.13536,3.475
441,1.22536,5.33859,6.56396
442,0.480937,5.63162,6.11255
443,0.303125,5.76818,6.0713
444,0.452656,5.49552,5.94818
445,0.328281,4.81943,5.14771
446,0.461927,6.94703,7.40896
447,0.364062,3.19255,3.55661
448,0.390573,5.7699,6.16047
449,0.519115,5.76266,6.28177
450,0.331719,4.4987,4.83042
451,0.391823,6.72766,7.11948
452,0.388959,4.06802,4.45698
453,0.623073,4.94156,5.56464
454,0.424844,5.49391,5.91875
455,0.394427,4.63943,5.03385
456,0.443437,7.26063,7.70406
457,0.322813,3.22474,3.54755
458,0.35,5.19589,5.54589
459,0.396198,5.74531,6.14151
460,0.375208,4.56641,4.94161
461,0.377031,7.07078,7.44781
462,0.408698,3.49453,3.90323
463,0.570729,5.15953,5.73026
464,0.368646,5.92182,6.29047
465,0.288178,4.36573,4.65391
466,0.364584,6.92969,7.29427
467,0.363125,3.12297,3.48609
468,0.971927,4.8275,5.79943
469,0.451823,5.94198,6.3938
470,0.443125,5.7238,6.16693
471,0.41151,5.5801,5.99161
472,0.329427,3.43578,3.76521
473,0.374115,5.2037,5.57781
474,0.606562,5.50531,6.11188
475,0.345729,5.79635,6.14208
