frame,render_index,decode_ms,render_ms,total_ms
47,1,0,1.83927,1.83927
47,2,0,2.20172,2.20172
47,3,0,2.05016,2.05016
48,0,1.44036,3.33875,4.77912
48,1,0,1.85755,1.85755
48,2,0,1.8276,1.8276
48,3,0,1.81807,1.81807
49,0,1.42958,3.10068,4.53026
49,1,0,2.16005,2.16005
49,2,0,1.94969,1.94969
49,3,0,1.88755,1.88755
50,0,1.10464,3.13438,4.23901
50,1,0,1.84036,1.84036
50,2,0,1.83615,1.83615
50,3,0,1.83125,1.83125
51,0,0.865886,3.31484,4.18073
51,1,0,1.83844,1.83844
51,2,0,1.90135,1.90135
51,3,0,1.88833,1.88833
52,0,1.32318,3.21271,4.53589
52,1,0,1.8349,1.8349
52,2,0,1.82484,1.82484
52,3,0,1.84385,1.84385
53,0,1.30734,3.82417,5.13151
53,1,0,1.96422,1.96422
53,2,0,1.85292,1.85292
53,3,0,1.85766,1.85766
54,0,1.10797,3.15313,4.26109
54,1,0,1.82443,1.82443
54,2,0,1.82927,1.82927
54,3,0,1.82146,1.82146
55,0,0.890052,3.23427,4.12432
55,1,0,1.87021,1.87021
55,2,0,1.88391,1.88391
55,3,0,1.88464,1.88464
56,0,1.34354,3.16286,4.50641
56,1,0,1.83833,1.83833
56,2,0,1.82703,1.82703
56,3,0,1.81588,1.81588
57,0,1.36693,3.63677,5.0037
57,1,0,1.93213,1.93213
57,2,0,1.85281,1.85281
57,3,0,1.87698,1.87698
58,0,1.05489,3.13828,4.19318
58,1,0,1.83552,1.83552
58,2,0,1.82495,1.82495
58,3,0,1.8263,1.8263
59,0,0.886666,3.20104,4.08771
59,1,0,2.21385,2.21385
59,2,0,1.96088,1.96088
59,3,0,3.17719,3.17719
60,0,0.978802,3.02203,4.00083
60,1,0,2.10713,2.10713
60,2,0,1.82276,1.82276
60,3,0,1.89589,1.89589
61,0,1.66245,3.5076,5.17005
61,1,0,2.04719,2.04719
61,2,0,1.86885,1.86885
61,3,0,1.83104,1.83104
62,0,0.837031,3.27662,4.11365
62,1,0,1.82917,1.82917
62,2,0,2.14438,2.14438
62,3,0,1.82833,1.82833
63,0,0.778386,3.17464,3.95302
63,1,0,1.98219,1.98219
63,2,0,2.32547,2.32547
63,3,0,1.97516,1.97516
64,0,0.988698,3.13297,4.12167
64,1,0,1.84104,1.84104
64,2,0,2.1163,2.1163
64,3,0,2.34557,2.34557
65,0,1.24521,3.18807,4.43328
65,1,0,1.98031,1.98031
65,2,0,1.85062,1.85062
65,3,0,1.82297,1.82297
66,0,0.833385,3.28516,4.11854
66,1,0,1.83739,1.83739
66,2,0,1.8274,1.8274
66,3,0,1.83693,1.83693
67,0,0.803646,4.00656,4.81021
67,1,0,2.03151,2.03151
67,2,0,1.88724,1.88724
67,3,0,1.85245,1.85245
68,0,1.01672,3.46911,4.48583
68,1,0,1.83271,1.83271
68,2,0,2.0013,2.0013
68,3,0,1.98031,1.98031
69,0,1.12875,3.17479,4.30354
69,1,0,1.85401,1.85401
69,2,0,1.87823,1.87823
69,3,0,1.83828,1.83828
70,0,0.958125,3.08224,4.04037
70,1,0,1.9625,1.9625
70,2,0,1.91464,1.91464
70,3,0,1.83224,1.83224
71,0,0.876511,3.31979,4.1963
71,1,0,1.88943,1.88943
71,2,0,1.87906,1.87906
71,3,0,1.83365,1.83365
72,0,1.01109,3.42255,4.43365
72,1,0,1.82203,1.82203
72,2,0,1.84057,1.84057
72,3,0,1.89953,1.89953
73,0,1.58364,3.42151,5.00516
73,1,0,1.87417,1.87417
73,2,0,1.85031,1.85031
73,3,0,1.82656,1.82656
74,0,0.879323,3.2901,4.16943
74,1,0,1.83724,1.83724
74,2,0,1.83568,1.83568
74,3,0,1.92365,1.92365
75,0,0.798177,3.32375,4.12193
75,1,0,1.89813,1.89813
75,2,0,2.09761,2.09761
75,3,0,1.82797,1.82797
76,0,1.18255,3.6962,4.87875
76,1,0,1.82807,1.82807
76,2,0,1.97609,1.97609
76,3,0,1.95151,1.95151
77,0,1.14287,3.22792,4.37078
77,1,0,2.18875,2.18875
77,2,0,1.91151,1.91151
77,3,0,2.54182,2.54182
78,0,1.03844,3.12703,4.16547
78,1,0,1.82865,1.82865
78,2,0,1.82521,1.82521
78,3,0,1.92396,1.92396
79,0,0.955261,3.24219,4.19745
79,1,0,2.04266,2.04266
79,2,0,1.83073,1.83073
79,3,0,1.82833,1.82833
80,0,1.31141,3.18495,4.49635
80,1,0,1.85042,1.85042
80,2,0,1.8874,1.8874
80,3,0,2.0026,2.0026
81,0,1.09891,3.27026,4.36917
81,1,0,1.86677,1.86677
81,2,0,1.82943,1.82943
81,3,0,1.83729,1.83729
82,0,0.846146,3.35578,4.20193
82,1,0,1.81859,1.81859
82,2,0,1.81625,1.81625
82,3,0,1.82875,1.82875
83,0,0.796094,3.1676,3.9637
83,1,0,2.20323,2.20323
83,2,0,2.03656,2.03656
83,3,0,1.84531,1.84531
84,0,1.3313,3.22745,4.55875
84,1,0,1.85245,1.85245
84,2,0,1.87583,1.87583
84,3,0,1.9512,1.9512
85,0,1.07766,3.23635,4.31401
85,1,0,1.92422,1.92422
85,2,0,1.82745,1.82745
85,3,0,1.82521,1.82521
86,0,0.814739,3.22823,4.04297
86,1,0,1.82344,1.82344
86,2,0,1.95646,1.95646
86,3,0,1.83818,1.83818
87,0,0.817656,5.92719,6.74484
87,1,0,2.16547,2.16547
87,2,0,1.85021,1.85021
87,3,0,1.82635,1.82635
88,0,0.989219,4.03052,5.01974
