frame,render_index,decode_ms,render_ms,total_ms
47,2,0,1.76516,1.76516
47,3,0,2.91146,2.91146
48,0,0.583594,6.88443,7.46802
48,1,0,1.86724,1.86724
48,2,0,1.82786,1.82786
48,3,0,3.00203,3.00203
49,0,0.418125,6.71333,7.13146
49,1,0,1.85766,1.85766
49,2,0,1.96224,1.96224
49,3,0,3.10552,3.10552
50,0,0.42625,7.23911,7.66536
50,1,0,1.79354,1.79354
50,2,0,1.74354,1.74354
50,3,0,2.9449,2.9449
51,0,0.409063,6.77266,7.18172
51,1,0,1.83156,1.83156
51,2,0,1.79917,1.79917
51,3,0,2.92969,2.92969
52,0,0.390573,5.19125,5.58182
52,1,0,4.20391,4.20391
52,2,0,1.80943,1.80943
52,3,0,3.09563,3.09563
53,0,0.726042,7.38818,8.11422
53,1,0,1.79427,1.79427
53,2,0,2.92859,2.92859
53,3,0,2.96057,2.96057
54,0,0.395781,5.90995,6.30573
54,1,0,1.82323,1.82323
54,2,0,2.92974,2.92974
54,3,0,2.92417,2.92417
55,0,0.463698,5.93776,6.40146
55,1,0,1.82557,1.82557
55,2,0,2.98641,2.98641
55,3,0,2.94599,2.94599
56,0,0.390417,5.56187,5.95229
56,1,0,1.76234,1.76234
56,2,0,2.91677,2.91677
56,3,0,3.00583,3.00583
57,0,0.450209,5.8824,6.33261
57,1,0,1.77797,1.77797
57,2,0,2.92604,2.92604
57,3,0,2.99953,2.99953
58,0,0.53099,5.6275,6.15849
58,1,0,1.84495,1.84495
58,2,0,2.93552,2.93552
58,3,0,2.97026,2.97026
59,0,0.387344,5.56974,5.95708
59,1,0,1.75323,1.75323
59,2,0,2.93151,2.93151
59,3,0,3.00344,3.00344
60,0,0.408593,5.58412,5.99271
60,1,0,1.76797,1.76797
60,2,0,2.91536,2.91536
60,3,0,3.02693,3.02693
61,0,0.581771,5.87208,6.45385
61,1,0,1.80646,1.80646
61,2,0,2.91943,2.91943
61,3,0,2.93021,2.93021
62,0,0.371146,5.77755,6.1487
62,1,0,1.77505,1.77505
62,2,0,3.2613,3.2613
62,3,0,1.92833,1.92833
63,0,0.460572,6.57151,7.03208
63,1,0,1.77792,1.77792
63,2,0,3.09219,3.09219
63,3,0,3.2125,3.2125
64,0,0.466563,5.3351,5.80167
64,1,0,1.77807,1.77807
64,2,0,2.92766,2.92766
64,3,0,2.94286,2.94286
65,0,0.382604,5.57838,5.96099
65,1,0,1.76854,1.76854
65,2,0,3.05026,3.05026
65,3,0,2.99266,2.99266
66,0,0.407552,5.71698,6.12453
66,1,0,1.81099,1.81099
66,2,0,3.05948,3.05948
66,3,0,3.28677,3.28677
67,0,0.439323,5.67797,6.11729
67,1,0,1.76594,1.76594
67,2,0,2.92458,2.92458
67,3,0,5.80469,5.80469
68,0,0.362916,3.36802,3.73094
68,1,0,1.82115,1.82115
68,2,0,2.99958,2.99958
68,3,0,5.70667,5.70667
69,0,0.377292,3.11708,3.49437
69,1,0,1.84333,1.84333
69,2,0,3.28479,3.28479
69,3,0,6.00542,6.00542
70,0,0.362135,3.03542,3.39755
70,1,0,1.7574,1.7574
70,2,0,2.84198,2.84198
70,3,0,5.9251,5.9251
71,0,0.353959,3.1888,3.54276
71,1,0,1.78156,1.78156
71,2,0,2.76338,2.76338
71,3,0,5.81115,5.81115
72,0,0.427448,3.67641,4.10385
72,1,0,3.10469,3.10469
72,2,0,3.04766,3.04766
72,3,0,4.61234,4.61234
73,0,0.342969,3.21026,3.55323
73,1,0,2.94401,2.94401
73,2,0,2.93948,2.93948
73,3,0,4.70307,4.70307
74,0,0.365157,3.21297,3.57812
74,1,0,2.96719,2.96719
74,2,0,6.05719,6.05719
74,3,0,1.96833,1.96833
75,0,0.443281,4.4462,4.88948
75,1,0,3.00042,3.00042
75,2,0,4.59802,4.59802
75,3,0,1.77771,1.77771
76,0,0.355364,4.8376,5.19297
76,1,0,2.95885,2.95885
76,2,0,4.69896,4.69896
76,3,0,1.80214,1.80214
77,0,0.362656,4.4863,4.84896
77,1,0,6.02641,6.02641
77,2,0,2.0912,2.0912
77,3,0,1.78167,1.78167
78,0,0.377396,5.65818,6.03557
78,1,0,4.59177,4.59177
78,2,0,1.77115,1.77115
78,3,0,1.73792,1.73792
79,0,0.353021,5.46656,5.81958
79,1,0,4.64552,4.64552
79,2,0,1.80328,1.80328
79,3,0,1.75823,1.75823
80,0,0.35,5.58333,5.93333
80,1,0,4.79729,4.79729
80,2,0,1.80594,1.80594
80,3,0,1.79776,1.79776
81,0,0.931354,5.0775,6.00885
81,1,0,4.56937,4.56937
81,2,0,1.79688,1.79688
81,3,0,1.78609,1.78609
82,0,0.366406,5.68219,6.04859
82,1,0,4.59224,4.59224
82,2,0,1.77406,1.77406
82,3,0,1.74651,1.74651
83,0,0.372188,4.95568,5.32787
83,1,0,4.76224,4.76224
83,2,0,1.8187,1.8187
83,3,0,1.7638,1.7638
84,0,0.426875,5.16714,5.59401
84,1,0,4.60401,4.60401
84,2,0,1.78203,1.78203
84,3,0,1.98318,1.98318
85,0,0.389844,5.47797,5.86781
85,1,0,4.57547,4.57547
85,2,0,1.78818,1.78818
85,3,0,1.78552,1.78552
86,0,0.461562,5.31333,5.7749
86,1,0,4.66786,4.66786
86,2,0,1.78505,1.78505
86,3,0,1.77406,1.77406
87,0,0.488594,5.06255,5.55115
87,1,0,4.62385,4.62385
87,2,0,1.79214,1.79214
87,3,0,1.81177,1.81177
88,0,0.509896,5.44016,5.95005
88,1,0,4.56438,4.56438
88,2,0,1.75927,1.75927
88,3,0,1.81141,1.81141
89,0,0.571458,4.96146,5.53292
89,1,0,4.63557,4.63557
89,2,0,1.76682,1.76682
89,3,0,1.77443,1.77443
90,0,0.521928,4.94088,5.46281
90,1,0,4.62479,4.62479
90,2,0,1.79089,1.79089
90,3,0,1.82354,1.82354
91,0,0.445156,5.61531,6.06047
91,1,0,4.5737,4.5737
91,2,0,1.80286,1.80286
91,3,0,1.91568,1.91568
92,0,0.644271,4.97641,5.62068
92,1,0,4.6026,4.6026
92,2,0,1.76958,1.76958
92,3,0,1.77026,1.77026
93,0,0.468334,4.82854,5.29688
93,1,0,4.71271,4.71271
93,2,0,1.8201,1.8201
93,3,0,1.78391,1.78391
94,0,1.79557,6.59568,8.39125
94,1,0,1.79974,1.79974
94,2,0,1.7899,1.7899
94,3,0,2.07714,2.07714
95,0,0.53375,5.27953,5.81328
95,1,0,4.58219,4.58219
95,2,0,1.76188,1.76188
95,3,0,1.76615,1.76615
96,0,0.484792,5.08656,5.57135
96,1,0,4.6037,4.6037
96,2,0,1.82604,1.82604
96,3,0,2.22255,2.22255
97,0,0.455364,4.79698,5.25234
97,1,0,4.67141,4.67141
97,2,0,2.15687,2.15687
97,3,0,3.10427,3.10427
98,0,0.523958,6.63552,7.15948
98,1,0,1.79094,1.79094
98,2,0,1.7638,1.7638
98,3,0,2.97609,2.97609
99,0,0.451666,6.62911,7.08078
99,1,0,1.83787,1.83787
99,2,0,1.77406,1.77406
99,3,0,1.81651,1.81651
100,0,0.492344,5.00104,5.49339
100,1,0,4.90266,4.90266
100,2,0,1.88437,1.88437
100,3,0,1.8424,1.8424
101,0,0.556511,4.85271,5.40922
101,1,0,4.59156,4.59156
101,2,0,1.79385,1.79385
101,3,0,1.83307,1.83307
102,0,0.43849,5.57958,6.01807
102,1,0,4.3999,4.3999
102,2,0,1.80672,1.80672
102,3,0,1.79188,1.79188
103,0,0.439323,5.01297,5.45229
103,1,0,4.7638,4.7638
103,2,0,1.93078,1.93078
103,3,0,1.93677,1.93677
104,0,0.494739,4.96802,5.46276
104,1,0,4.53047,4.53047
104,2,0,1.85766,1.85766
104,3,0,2.18682,2.18682
105,0,1.93609,6.2988,8.2349
105,1,0,1.8424,1.8424
105,2,0,1.83125,1.83125
105,3,0,3.06562,3.06562
106,0,0.408958,7.35469,7.76365
106,1,0,1.91177,1.91177
106,2,0,1.99776,1.99776
106,3,0,3.18302,3.18302
107,0,0.395365,7.02062,7.41599
107,1,0,1.80005,1.80005
107,2,0,1.7826,1.7826
107,3,0,3.08036,3.08036
108,0,0.45276,6.73208,7.18484
108,1,0,1.80224,1.80224
108,2,0,1.78698,1.78698
108,3,0,3.06958,3.06958
109,0,0.789323,6.87214,7.66146
109,1,0,1.86896,1.86896
109,2,0,1.81755,1.81755
109,3,0,4.07604,4.07604
110,0,0.734375,5.66609,6.40047
110,1,0,1.82953,1.82953
110,2,0,1.90766,1.90766
110,3,0,4.02891,4.02891
111,0,0.410834,5.85854,6.26938
111,1,0,1.78047,1.78047
111,2,0,2.99901,2.99901
111,3,0,3.24172,3.24172
112,0,0.38026,5.6437,6.02396
112,1,0,1.75745,1.75745
112,2,0,2.92281,2.92281
112,3,0,2.94589,2.94589
113,0,0.411354,6.45437,6.86573
113,1,0,2.03172,2.03172
113,2,0,4.1726,4.1726
113,3,0,4.67151,4.67151
114,0,0.362969,3.20729,3.57026
114,1,0,1.83599,1.83599
114,2,0,4.44135,4.44135
114,3,0,4.77979,4.77979
115,0,0.384323,3.24266,3.62698
115,1,0,2.93042,2.93042
115,2,0,2.94234,2.94234
115,3,0,4.62667,4.62667
116,0,0.33573,3.22661,3.56234
116,1,0,2.94365,2.94365
116,2,0,2.93792,2.93792
116,3,0,4.62349,4.62349
117,0,0.431823,3.98943,4.42125
117,1,0,4.34031,4.34031
117,2,0,4.69328,4.69328
117,3,0,1.7762,1.7762
118,0,0.356197,4.45583,4.81203
118,1,0,5.07688,5.07688
118,2,0,2.63219,2.63219
