frame,decode_ms,render_ms,total_ms
187,3.88833,2.5688,6.45714
188,2.59531,2.55151,5.14682
189,4.74974,2.60896,7.3587
190,1.92359,3.35901,5.2826
191,2.72542,4.71052,7.43594
192,2.07406,3.44016,5.51422
193,1.84078,3.41401,5.25479
194,3.65693,2.55083,6.20776
195,2.64161,3.36365,6.00526
196,3.68375,2.58563,6.26938
197,1.86266,3.34021,5.20287
198,4.50537,2.65917,7.16453
199,1.92625,3.46885,5.3951
200,2.30745,5.51802,7.82547
201,1.91901,3.33099,5.25
202,1.97292,3.38755,5.36047
203,3.66521,2.58109,6.2463
204,2.75198,2.55109,5.30307
205,4.61344,2.61745,7.23088
206,1.88948,3.3412,5.23068
207,2.59948,4.68427,7.28375
208,1.94635,3.33401,5.28036
209,2.09771,3.45557,5.55328
210,3.97661,2.72521,6.70182
211,2.93526,4.12479,7.06005
212,3.71813,2.57349,6.29162
213,2.6524,2.57891,5.2313
214,4.44802,2.6001,7.04812
215,2.16479,4.31255,6.47734
216,4.75859,3.40463,8.16323
217,1.8724,3.22656,5.09896
218,3.06562,5.46802,8.53365
219,3.46427,2.59021,6.05448
220,5.31521,2.58677,7.90198
221,1.89094,3.53245,5.42338
222,4.9824,2.56813,7.55052
223,2.18516,3.49182,5.67698
224,2.91365,5.43031,8.34396
225,1.98807,3.37516,5.36323
226,3.64411,5.37818,9.02229
227,2.23047,3.41427,5.64474
228,5.17802,2.56552,7.74354
229,2.68932,3.58177,6.27109
230,5.30813,2.61177,7.9199
231,1.85542,3.3525,5.20792
232,4.53422,3.3974,7.93161
233,1.81641,3.35672,5.17312
234,2.17589,6.2774,8.45328
235,2.07906,3.51708,5.59614
236,1.93677,6.36021,8.29698
237,1.96552,3.73224,5.69776
238,3.3325,5.52682,8.85932
239,2.0875,3.74573,5.83323
240,3.06667,5.42479,8.49146
241,1.96406,3.81318,5.77724
242,6.22568,2.58422,8.8099
243,3.01099,2.5962,5.60719
244,5.64021,2.58146,8.22167
245,3.24448,2.57167,5.81615
246,5.89422,2.68088,8.5751
247,3.28667,3.8249,7.11156
248,4.40589,2.56177,6.96766
249,3.28594,3.84047,7.12641
250,4.38729,2.5651,6.9524
251,3.2938,3.80599,7.09979
252,4.38849,2.59453,6.98302
253,3.45761,3.71896,7.17656
254,4.41844,2.55578,6.97422
255,3.14255,3.76422,6.90677
256,4.33995,2.55385,6.8938
257,2.87932,5.94412,8.82344
258,2.16422,2.57615,4.74036
259,2.94818,3.71708,6.66526
260,4.36636,2.56193,6.92828
261,3.20354,3.86245,7.06599
262,4.3912,2.57276,6.96396
263,3.23776,4.00776,7.24552
264,4.62089,2.5701,7.19099
265,3.19333,6.46792,9.66125
266,2.09589,2.58781,4.6837
267,2.85568,6.51432,9.37
268,2.04328,2.57849,4.62177
269,2.65531,6.84047,9.49578
270,1.91875,3.71286,5.63162
271,1.93391,6.50833,8.44224
272,2.08469,3.77901,5.8637
273,1.93786,6.52917,8.46703
274,2.14693,4.05422,6.20115
275,2.96792,5.5374,8.50531
276,1.99562,3.7412,5.73682
277,5.00703,3.41464,8.42167
278,1.91938,3.74484,5.66422
279,5.96417,2.61068,8.57484
280,2.27453,3.87984,6.15437
281,5.6737,2.56984,8.24354
282,3.00839,2.64198,5.65036
283,5.87109,2.59516,8.46625
284,3.08542,2.83969,5.9251
285,5.39062,2.67724,8.06786
286,2.98901,2.82115,5.81016
287,5.5426,2.56177,8.10437
288,3.02339,2.57453,5.59792
289,5.71969,2.59802,8.31771
290,2.97859,2.59302,5.57161
291,5.4725,2.68641,8.15891
292,3.21615,3.74849,6.96464
293,4.47094,2.56031,7.03125
294,3.28625,3.70828,6.99453
295,4.56599,2.5887,7.15469
296,3.03682,3.75042,6.78724
297,4.49245,2.59448,7.08693
298,3.38865,3.72167,7.11031
299,4.61484,2.575,7.18984
300,3.05865,3.75745,6.81609
301,4.44109,2.57047,7.01156
302,3.27135,3.79807,7.06943
303,4.77557,2.58161,7.35719
304,2.9313,3.72766,6.65896
305,4.30911,2.54802,6.85714
306,3.08047,3.88719,6.96766
307,4.32094,2.56146,6.8824
308,3.25974,4.00651,7.26625
309,4.53094,2.59844,7.12937
310,2.7462,3.7163,6.4625
311,4.37719,2.56229,6.93948
312,3.13219,3.84583,6.97802
313,4.6925,2.56427,7.25677
314,3.5237,6.76891,10.2926
315,2.16026,3.72078,5.88104
316,1.90208,6.66088,8.56297
317,2.28135,3.86234,6.1437
318,3.21911,5.45625,8.67536
319,1.89583,3.98203,5.87786
320,6.11125,2.57448,8.68573
321,3.05193,2.57344,5.62537
322,5.785,2.58682,8.37182
323,3.14854,2.64391,5.79245
324,5.45776,2.60917,8.06693
325,3.34974,3.82276,7.1725
326,4.34792,2.55234,6.90026
327,3.16635,3.71667,6.88302
328,4.72213,2.63125,7.35339
329,3.08406,3.72026,6.80432
330,4.61641,2.64359,7.26
331,3.16781,3.7599,6.92771
332,4.55063,2.55484,7.10547
333,3.06135,3.72208,6.78344
334,4.58422,3.40495,7.98917
335,2.62057,3.72057,6.34115
336,4.79312,2.65156,7.44469
337,2.8425,3.75766,6.60016
338,4.61677,2.55802,7.17479
339,3.70063,6.53526,10.2359
340,1.99016,3.71391,5.70406
341,1.86156,6.69667,8.55823
342,1.98818,3.80115,5.78932
343,3.30734,5.47427,8.78162
344,2.16495,3.72479,5.88974
345,3.1276,5.33792,8.46552
346,1.9426,3.71849,5.66109
347,5.19844,3.14167,8.3401
348,2.03875,3.73599,5.77474
349,5.53604,2.56443,8.10047
350,3.96917,3.85036,7.81953
351,4.7563,2.57463,7.33094
352,3.02422,3.85901,6.88323
353,4.55229,2.59323,7.14552
354,2.99547,3.71969,6.71516
355,4.30755,2.56349,6.87104
356,3.05859,3.77422,6.83281
357,4.40588,2.56667,6.97255
358,3.0412,3.95203,6.99323
359,4.48339,2.59599,7.07937
360,3.11375,3.68974,6.80349
361,4.41156,2.55536,6.96693
362,3.19979,3.77396,6.97375
363,4.41021,2.57328,6.98349
364,3.13896,3.94135,7.08031
365,4.51385,2.56687,7.08073
366,3.30573,3.73141,7.03714
367,4.26547,2.59068,6.85615
368,3.08516,3.73312,6.81828
369,4.38068,2.60047,6.98114
370,3.4426,3.79698,7.23958
371,4.32047,2.56083,6.8813
372,2.93078,3.69823,6.62901
373,4.6026,2.62167,7.22427
374,3.17755,3.74203,6.91958
375,4.37182,2.66292,7.03474
376,3.3575,3.74167,7.09917
377,4.53818,2.55677,7.09495
378,2.71787,3.74302,6.46089
379,4.60396,2.57521,7.17917
380,3.0326,3.7249,6.7575
381,4.78635,2.74297,7.52932
382,2.75302,3.76521,6.51823
383,4.42838,2.56453,6.99292
384,3.06771,3.72245,6.79016
385,4.77745,2.58229,7.35974
386,2.75375,3.79234,6.54609
387,4.57536,2.58469,7.16005
388,3.155,3.71401,6.86901
389,4.43229,2.55526,6.98755
390,2.93047,3.81448,6.74495
391,4.3737,2.57359,6.94729
392,3.18708,3.75448,6.94156
393,4.66188,2.5774,7.23927
394,3.09167,3.72625,6.81792
395,4.29917,2.55354,6.85271
396,3.04641,3.7825,6.82891
397,4.42458,2.56812,6.99271
398,3.05037,3.8438,6.89417
399,4.54943,2.60688,7.1563
400,3.31104,3.74948,7.06052
401,4.32036,2.56458,6.88495
402,3.34833,3.82979,7.17812
403,4.19219,2.55896,6.75115
404,3.10151,3.8601,6.96162
405,4.58719,2.56406,7.15125
406,2.66943,3.71365,6.38307
407,4.75557,2.59427,7.34984
408,3.27078,3.76364,7.03443
409,4.35615,2.57135,6.9275
410,3.13125,3.87891,7.01016
411,4.72115,3.71448,8.43562
412,1.93349,6.50526,8.43875
413,1.97818,4.27229,6.25047
414,3.29583,5.47661,8.77245
415,2.16323,4.01755,6.18078
416,5.26271,3.37109,8.6338
417,2.0113,3.71406,5.72536
418,4.69234,3.39448,8.08682
419,1.84984,3.74406,5.59391
420,4.74734,3.39906,8.14641
421,1.96531,3.8312,5.79651
422,5.86542,2.58224,8.44766
423,1.8588,3.7075,5.5663
424,5.75156,2.6449,8.39646
425,1.7899,3.75365,5.54354
426,6.25182,2.66057,8.9124
427,3.28406,3.75474,7.0388
428,4.44963,2.56,7.00964
429,3.01469,3.72604,6.74073
430,4.68776,2.58594,7.2737
431,2.99781,3.7201,6.71792
432,4.50891,2.65068,7.15958
433,3.11932,3.74083,6.86016
434,4.49354,2.56438,7.05792
435,2.99974,3.71896,6.7187
436,4.56536,2.58349,7.14885
437,3.16693,3.72432,6.89125
438,4.59969,2.60109,7.20078
439,3.16771,3.72646,6.89417
440,4.41672,2.56078,6.9775
441,3.35828,3.78693,7.14521
442,4.43787,2.57651,7.01438
443,3.35453,3.80224,7.15677
444,4.46844,2.5838,7.05224
445,3.18422,3.72104,6.90526
446,4.38432,2.54781,6.93213
447,3.00266,3.79995,6.8026
448,4.4488,2.56172,7.01052
449,3.20495,3.97745,7.1824
450,4.45245,2.5751,7.02755
451,2.63162,3.72297,6.35458
452,5.22625,3.7913,9.01755
453,1.87162,3.75948,5.63109
454,4.17719,2.55484,6.73203
455,2.67984,3.91599,6.59583
456,4.71078,2.58016,7.29094
457,2.66917,3.75719,6.42635
458,4.38844,2.58807,6.97651
459,3.4676,3.81089,7.27849
460,4.49359,2.60104,7.09464
461,2.96641,3.81828,6.78469
462,4.39333,2.56037,6.9537
463,2.77865,3.7212,6.49984
464,4.7638,2.81823,7.58203
465,2.67297,3.74021,6.41318
466,4.69776,2.67073,7.36849
467,3.0738,3.87677,6.95057
468,4.42016,2.57714,6.99729
469,2.62932,3.70109,6.33042
470,4.47141,2.59948,7.07088
471,3.12562,3.71911,6.84474
472,4.57937,2.65401,7.23339
473,3.18411,3.77146,6.95557
474,4.49073,2.55776,7.04849
475,3.17844,3.75016,6.92859
476,4.55714,2.58974,7.14687
477,2.62833,3.7125,6.34083
478,4.66255,2.65203,7.31458
479,3.26437,3.72073,6.9851
480,4.57021,2.57651,7.14672
481,2.54927,5.23781,7.78708
482,3.17068,2.60458,5.77526
483,3.01479,3.9487,6.96349
484,4.62224,3.01911,7.64135
485,2.68344,3.78521,6.46865
486,4.35099,2.60443,6.95542
487,2.78349,3.89312,6.67661
488,4.4337,2.57234,7.00604
489,2.92057,3.7662,6.68677
490,4.93047,2.60938,7.53984
491,2.77307,3.71662,6.48969
492,4.57812,2.60406,7.18219
493,2.9863,3.84198,6.82828
494,4.64813,2.56833,7.21646
495,2.42495,3.89583,6.32078
496,4.65625,2.5737,7.22995
497,3.05313,3.75198,6.8051
498,4.66609,2.5751,7.2412
499,3.05167,3.75703,6.8087
500,4.42812,2.56401,6.99214
501,3.21229,3.85589,7.06818
502,4.62865,2.5962,7.22484
503,2.52542,3.7249,6.25031
504,4.42167,2.56875,6.99042
505,3.36974,3.805,7.17474
506,4.3624,2.57432,6.93672
507,3.42021,3.80562,7.22583
508,4.37448,2.56646,6.94094
509,2.91969,3.75458,6.67427
510,4.51573,2.59198,7.10771
511,2.85636,3.77495,6.6313
512,4.4226,2.5976,7.02021
513,3.66656,3.82089,7.48745
514,4.41385,3.71964,8.13349
515,1.89427,3.77005,5.66432
516,4.19859,2.62516,6.82375
517,2.64948,3.76375,6.41323
518,4.24787,2.67193,6.91979
519,3.27594,3.75573,7.03167
520,4.62354,2.92359,7.54713
521,2.58141,3.71182,6.29323
522,4.67974,4.64068,9.32042
523,2.02297,3.74734,5.77031
524,5.32833,3.81911,9.14745
525,3.15917,5.46292,8.62208
526,1.88698,3.73172,5.6187
527,3.14036,5.54896,8.68932
528,3.3274,2.5687,5.89609
529,2.89474,5.59875,8.49349
530,3.03948,2.58885,5.62833
531,4.77635,3.15255,7.92891
532,1.86823,3.74479,5.61302
533,5.31469,3.15328,8.46797
534,3.12818,2.56417,5.69234
535,4.85594,3.42276,8.2787
536,3.31047,3.73057,7.04104
537,4.44787,2.55458,7.00245
538,3.09151,2.6025,5.69401
539,2.94495,5.29245,8.2374
540,3.18812,3.78417,6.97229
541,4.68443,2.58937,7.2738
542,3.25776,3.7188,6.97656
543,4.69094,2.56313,7.25406
544,3.04495,3.75984,6.80479
545,4.46578,2.55766,7.02344
546,2.88844,3.8913,6.77974
547,4.47557,2.58026,7.05583
548,2.93115,3.71089,6.64203
549,4.45578,2.57729,7.03307
550,3.03974,3.79568,6.83542
551,4.46875,2.57443,7.04318
552,3.08745,3.83589,6.92333
553,4.35995,2.56422,6.92417
554,3.22224,3.6975,6.91974
555,4.54208,2.59464,7.13672
556,3.19943,3.72453,6.92396
557,4.48281,2.58885,7.07167
558,3.58406,3.84552,7.42958
559,4.2874,2.56297,6.85037
560,3.15031,3.73193,6.88224
561,4.45531,2.60911,7.06443
562,3.32094,3.7437,7.06464
563,4.42573,2.65833,7.08406
564,3.34797,3.83802,7.18599
565,5.17807,3.72833,8.90641
566,1.84875,3.76333,5.61208
567,4.41083,3.73068,8.14151
568,1.93302,3.74339,5.67641
569,4.92786,3.84057,8.76844
570,3.01901,2.60526,5.62427
571,4.54578,3.71734,8.26313
572,2.92781,2.64255,5.57036
573,4.67677,3.7376,8.41437
574,2.99281,2.62427,5.61708
575,4.43828,3.80302,8.2413
576,2.9949,2.59177,5.58667
577,4.78005,3.71662,8.49667
578,3.11068,5.49708,8.60776
579,1.90094,3.7288,5.62974
580,3.04234,5.66385,8.7062
581,1.83531,3.72495,5.56026
582,2.85375,5.46271,8.31646
583,1.82573,3.72802,5.55375
584,3.25583,5.46005,8.71589
585,1.8925,3.81786,5.71036
586,2.66031,5.59974,8.26005
587,1.9475,3.52099,5.46849
588,2.8737,5.46297,8.33667
589,1.86885,3.79672,5.66557
590,2.77318,5.45536,8.22854
591,1.93172,3.78802,5.71974
592,3.19458,5.39057,8.58516
593,3.06943,3.71042,6.77984
594,1.76818,5.34797,7.11615
595,3.02307,3.74849,6.77156
596,2.07588,5.33281,7.4087
597,3.06333,3.83651,6.89984
598,5.10198,2.56469,7.66667
599,2.94141,3.71318,6.65458
600,4.59563,2.59318,7.1888
601,3.37,3.7337,7.1037
602,4.42307,2.58542,7.00849
603,3.55552,3.83057,7.38609
604,4.37338,2.56594,6.93932
605,2.56589,3.7101,6.27599
606,4.77198,2.63167,7.40365
607,3.2849,3.77432,7.05922
608,4.41229,2.64755,7.05984
609,2.945,3.85,6.795
610,4.42568,2.56927,6.99495
611,2.86776,3.71682,6.58458
612,4.43432,2.58042,7.01474
613,3.17339,3.71964,6.89302
614,4.39167,2.68505,7.07672
615,3.17792,3.74391,6.92182
616,4.49052,2.5588,7.04932
617,2.69198,3.73229,6.42427
618,4.90719,2.60625,7.51344
619,2.83912,3.68448,6.52359
620,4.64266,2.645,7.28766
621,3.16693,3.74714,6.91406
622,4.6787,2.56719,7.24589
623,2.50906,3.7474,6.25646
624,5.07724,2.58948,7.66672
625,2.63167,3.72958,6.36125
626,2.40458,6.68953,9.09411
627,1.89682,3.7325,5.62932
628,4.38729,3.74807,8.13537
629,1.97948,3.80984,5.78932
