frame 33: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.750  submit 0.508  passA 2.526  passW 0.000  passB 3.274  gpu 5.801  total 8.159 ms
frame 34: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.537  submit 0.740  passA 1.774  passW 0.000  passB 3.281  gpu 5.055  total 6.574 ms
frame 35: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.511  submit 0.484  passA 1.823  passW 0.000  passB 5.114  gpu 6.937  total 9.965 ms
frame 36: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.515  submit 0.483  passA 1.722  passW 0.000  passB 4.037  gpu 5.759  total 8.073 ms
frame 37: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.520  submit 0.438  passA 3.731  passW 0.000  passB 3.313  gpu 7.044  total 8.154 ms
frame 38: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.545  submit 0.663  passA 2.739  passW 0.000  passB 5.070  gpu 7.809  total 10.223 ms
frame 39: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.663  submit 0.398  passA 1.711  passW 0.000  passB 3.976  gpu 5.688  total 9.039 ms
frame 40: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.428  submit 0.455  passA 3.578  passW 0.000  passB 3.225  gpu 6.803  total 7.891 ms
frame 41: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.533  submit 0.570  passA 2.639  passW 0.000  passB 5.052  gpu 7.691  total 10.230 ms
frame 42: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.654  submit 0.540  passA 1.687  passW 0.000  passB 3.204  gpu 4.891  total 6.285 ms
frame 43: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.480  submit 0.477  passA 1.814  passW 0.000  passB 4.991  gpu 6.805  total 9.884 ms
frame 44: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.445  submit 0.418  passA 1.773  passW 0.000  passB 4.114  gpu 5.887  total 8.183 ms
frame 45: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.443  submit 1.070  passA 1.755  passW 0.000  passB 3.179  gpu 4.934  total 7.538 ms
frame 46: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.630  submit 0.491  passA 1.782  passW 0.000  passB 5.036  gpu 6.817  total 9.945 ms
frame 47: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.722  submit 0.567  passA 2.027  passW 0.000  passB 4.082  gpu 6.110  total 8.732 ms
frame 48: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.507  submit 0.435  passA 3.531  passW 0.000  passB 3.246  gpu 6.777  total 7.942 ms
frame 49: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.509  submit 0.484  passA 2.600  passW 0.000  passB 4.990  gpu 7.590  total 9.913 ms
frame 50: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.050  submit 0.472  passA 1.967  passW 0.000  passB 4.070  gpu 6.037  total 9.270 ms
frame 51: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.554  submit 0.429  passA 3.489  passW 0.000  passB 3.238  gpu 6.728  total 7.882 ms
frame 52: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.532  submit 0.485  passA 2.682  passW 0.000  passB 5.039  gpu 7.721  total 10.047 ms
frame 53: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.684  submit 0.481  passA 1.875  passW 0.000  passB 3.983  gpu 5.858  total 8.785 ms
frame 54: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.505  submit 0.429  passA 3.370  passW 0.000  passB 3.208  gpu 6.578  total 7.671 ms
frame 55: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.442  submit 0.436  passA 2.655  passW 0.000  passB 3.222  gpu 5.877  total 8.226 ms
frame 56: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.551  submit 0.497  passA 1.842  passW 0.000  passB 3.262  gpu 5.104  total 7.127 ms
frame 57: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.557  submit 0.502  passA 1.753  passW 0.000  passB 4.991  gpu 6.745  total 9.825 ms
frame 58: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.513  submit 0.472  passA 1.769  passW 0.000  passB 3.986  gpu 5.755  total 7.938 ms
frame 59: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.506  submit 0.453  passA 3.521  passW 0.000  passB 3.356  gpu 6.878  total 7.996 ms
decode-throughput status complete (decode-only, --no-out): 60 frames, 1.361360 s, 44.074 fps, frame wall ms max 808.591 p50 9.062 p95 12.753 p99 808.591, <=4.167ms 0.0%
60 frame(s), 1856x928 yuv420p on Adreno (TM) 650
