condition,gpu_ms,fresh_per_s,source_offset_ms,submit_lead_ms
smoothing on,5.6466666666666665,46.233333333333334,73.83999999999999,38.486666666666665
smoothing off,4.96,53.733333333333334,75.24,38.413333333333334
pacing .4 baseline,,,75.14666666666668,38.74666666666667
pacing .1 client,,,73.80666666666666,38.559999999999995
