frame 0: 81776 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.425  submit 34.413  passA 0.143  passW 0.000  passB 5.381  gpu 5.524  total 40.916 ms
frame 1: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.423  submit 0.372  passA 0.341  passW 0.000  passB 5.354  gpu 5.695  total 6.937 ms
frame 2: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.406  submit 0.407  passA 0.342  passW 0.000  passB 5.360  gpu 5.702  total 7.042 ms
frame 3: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.431  submit 0.404  passA 0.339  passW 0.000  passB 5.360  gpu 5.700  total 7.692 ms
frame 4: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.441  submit 0.378  passA 0.340  passW 0.000  passB 5.370  gpu 5.710  total 7.079 ms
frame 5: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.429  submit 1.010  passA 0.351  passW 0.000  passB 5.396  gpu 5.747  total 7.757 ms
frame 6: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.426  submit 0.435  passA 0.368  passW 0.000  passB 5.360  gpu 5.728  total 7.140 ms
frame 7: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.400  submit 0.363  passA 0.339  passW 0.000  passB 5.351  gpu 5.690  total 6.922 ms
frame 8: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.370  submit 0.386  passA 0.340  passW 0.000  passB 5.365  gpu 5.705  total 6.715 ms
frame 9: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 1.412  submit 1.140  passA 0.341  passW 0.000  passB 5.354  gpu 5.696  total 8.427 ms
frame 10: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 1.380  submit 1.121  passA 0.342  passW 0.000  passB 5.378  gpu 5.720  total 8.432 ms
