frame 33: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.824  submit 0.539  passA 0.357  passW 0.000  passB 24.017  gpu 24.374  total 29.049 ms
frame 34: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.783  submit 0.503  passA 0.359  passW 0.000  passB 25.661  gpu 26.020  total 28.903 ms
frame 35: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 1.412  submit 0.532  passA 0.355  passW 0.000  passB 25.780  gpu 26.135  total 31.121 ms
frame 36: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.595  submit 0.371  passA 0.352  passW 0.000  passB 26.175  gpu 26.528  total 28.424 ms
frame 37: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.601  submit 0.541  passA 0.353  passW 0.000  passB 25.514  gpu 25.867  total 30.607 ms
frame 38: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.584  submit 0.504  passA 0.355  passW 0.000  passB 25.331  gpu 25.686  total 28.334 ms
frame 39: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.620  submit 0.496  passA 0.349  passW 0.000  passB 27.757  gpu 28.106  total 33.665 ms
frame 40: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.560  submit 0.930  passA 0.369  passW 0.000  passB 27.448  gpu 27.817  total 32.677 ms
frame 41: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.611  submit 0.416  passA 0.353  passW 0.000  passB 27.558  gpu 27.911  total 29.948 ms
frame 42: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 1.032  submit 0.565  passA 0.352  passW 0.000  passB 27.827  gpu 28.179  total 34.364 ms
frame 43: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.581  submit 0.444  passA 0.354  passW 0.000  passB 27.756  gpu 28.110  total 30.738 ms
frame 44: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.619  submit 0.427  passA 0.356  passW 0.000  passB 27.775  gpu 28.131  total 32.092 ms
frame 45: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.596  submit 0.514  passA 0.359  passW 0.000  passB 27.621  gpu 27.980  total 34.495 ms
frame 46: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.556  submit 0.410  passA 0.357  passW 0.000  passB 27.786  gpu 28.143  total 31.000 ms
frame 47: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.565  submit 0.503  passA 1.523  passW 0.000  passB 27.754  gpu 29.277  total 33.369 ms
frame 48: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.544  submit 0.405  passA 0.357  passW 0.000  passB 27.453  gpu 27.810  total 29.732 ms
frame 49: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.837  submit 0.381  passA 0.353  passW 0.000  passB 27.428  gpu 27.782  total 33.443 ms
frame 50: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.726  submit 0.462  passA 0.371  passW 0.000  passB 27.593  gpu 27.964  total 29.951 ms
frame 51: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.546  submit 0.425  passA 0.351  passW 0.000  passB 27.614  gpu 27.966  total 32.989 ms
frame 52: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.571  submit 0.474  passA 0.353  passW 0.000  passB 27.472  gpu 27.825  total 31.635 ms
frame 53: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.551  submit 0.401  passA 0.354  passW 0.000  passB 27.722  gpu 28.076  total 32.142 ms
frame 54: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.581  submit 0.400  passA 0.353  passW 0.000  passB 27.909  gpu 28.262  total 31.284 ms
frame 55: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.651  submit 0.543  passA 1.630  passW 0.000  passB 27.664  gpu 29.294  total 31.213 ms
frame 56: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.560  submit 0.425  passA 0.353  passW 0.000  passB 27.815  gpu 28.167  total 32.851 ms
frame 57: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.604  submit 0.471  passA 0.354  passW 0.000  passB 27.773  gpu 28.128  total 33.135 ms
frame 58: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.574  submit 0.406  passA 0.348  passW 0.000  passB 27.478  gpu 27.826  total 30.806 ms
frame 59: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.554  submit 0.392  passA 0.354  passW 0.000  passB 27.490  gpu 27.844  total 30.477 ms
frame 60: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.595  submit 0.482  passA 0.379  passW 0.000  passB 27.531  gpu 27.910  total 32.085 ms
frame 61: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.979  submit 0.457  passA 0.357  passW 0.000  passB 27.573  gpu 27.930  total 30.972 ms
frame 62: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.581  submit 0.409  passA 0.355  passW 0.000  passB 27.390  gpu 27.745  total 33.494 ms
frame 63: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.551  submit 0.394  passA 0.354  passW 0.000  passB 27.458  gpu 27.813  total 29.746 ms
frame 64: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.747  submit 0.522  passA 0.354  passW 0.000  passB 27.796  gpu 28.150  total 33.189 ms
frame 65: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.584  submit 0.467  passA 0.362  passW 0.000  passB 27.803  gpu 28.166  total 31.285 ms
frame 66: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.795  submit 0.519  passA 0.356  passW 0.000  passB 27.659  gpu 28.015  total 32.599 ms
frame 67: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 3.127  submit 0.467  passA 0.351  passW 0.000  passB 27.843  gpu 28.194  total 32.297 ms
frame 68: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.564  submit 0.390  passA 0.349  passW 0.000  passB 27.662  gpu 28.012  total 33.787 ms
frame 69: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.558  submit 0.409  passA 0.355  passW 0.000  passB 27.461  gpu 27.816  total 31.891 ms
frame 70: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.618  submit 0.454  passA 1.541  passW 0.000  passB 27.442  gpu 28.983  total 30.955 ms
frame 71: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.569  submit 0.391  passA 0.359  passW 0.000  passB 28.894  gpu 29.254  total 34.244 ms
frame 72: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 1.253  submit 0.502  passA 0.354  passW 0.000  passB 27.813  gpu 28.168  total 32.117 ms
frame 73: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.583  submit 0.441  passA 0.359  passW 0.000  passB 27.727  gpu 28.086  total 31.091 ms
frame 74: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.546  submit 0.389  passA 0.353  passW 0.000  passB 27.692  gpu 28.045  total 33.874 ms
frame 75: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.716  submit 0.539  passA 0.357  passW 0.000  passB 27.562  gpu 27.919  total 31.940 ms
frame 76: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.550  submit 1.315  passA 0.359  passW 0.000  passB 27.685  gpu 28.044  total 31.145 ms
frame 77: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.553  submit 0.435  passA 0.357  passW 0.000  passB 27.827  gpu 28.184  total 33.837 ms
frame 78: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.579  submit 0.409  passA 0.355  passW 0.000  passB 27.502  gpu 27.858  total 31.898 ms
frame 79: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.555  submit 0.401  passA 0.354  passW 0.000  passB 27.772  gpu 28.126  total 31.121 ms
frame 80: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.677  submit 0.447  passA 0.352  passW 0.000  passB 27.750  gpu 28.102  total 33.858 ms
frame 81: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.572  submit 0.549  passA 0.377  passW 0.000  passB 28.004  gpu 28.381  total 30.447 ms
frame 82: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.600  submit 0.424  passA 0.352  passW 0.000  passB 27.713  gpu 28.065  total 33.184 ms
frame 83: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.661  submit 0.515  passA 0.353  passW 0.000  passB 28.507  gpu 28.860  total 31.998 ms
frame 84: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.569  submit 0.396  passA 0.354  passW 0.000  passB 27.550  gpu 27.904  total 31.987 ms
frame 85: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.557  submit 0.426  passA 1.571  passW 0.000  passB 27.876  gpu 29.448  total 31.412 ms
frame 86: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.686  submit 0.461  passA 0.365  passW 0.000  passB 27.470  gpu 27.835  total 33.867 ms
frame 87: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.549  submit 0.415  passA 0.355  passW 0.000  passB 27.693  gpu 28.048  total 29.998 ms
