run,operation,file,chunk_bytes,raw_bytes,packed_bytes,chunks,p50_ms,p95_ms
1,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.10000000.lz4b,10000000,221968,142744,1,0.076875,0.470572
1,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.65536.lz4b,65536,164848,108146,3,0.312917,0.334427
1,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.16384.lz4b,16384,164848,110027,11,0.297448,0.299739
1,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.1024.lz4b,1024,164848,123323,161,0.072917,0.425260
1,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.10000000.lz4b,10000000,164848,109193,1,0.229011,0.264375
1,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.65536.lz4b,65536,511408,411481,8,0.249896,0.252552
1,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.16384.lz4b,16384,511408,422529,32,0.250364,0.253281
1,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.1024.lz4b,1024,511408,456230,500,0.244427,0.250052
1,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.10000000.lz4b,10000000,511408,431614,1,0.192031,0.198541
1,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.65536.lz4b,65536,221968,187208,4,0.085053,0.316146
1,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.16384.lz4b,16384,221968,189916,14,0.082240,0.313750
1,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.1024.lz4b,1024,221968,200993,217,0.062604,0.373333
1,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.10000000.lz4b,10000000,221968,193182,1,0.187292,0.224322
1,decode,/data/local/tmp/nx-lz4-proof/photo-160.nxdf.65536.lz4b,65536,164848,142057,3,0.226510,0.348229
1,decode,/data/local/tmp/nx-lz4-proof/photo-160.nxdf.16384.lz4b,16384,164848,143797,11,0.211667,0.267969
1,decode,/data/local/tmp/nx-lz4-proof/photo-160.nxdf.1024.lz4b,1024,164848,151118,161,0.149218,0.194271
1,decode,/data/local/tmp/nx-lz4-proof/photo-160.nxdf.10000000.lz4b,10000000,164848,146024,1,0.133854,0.166615
1,decode,/data/local/tmp/nx-lz4-proof/noise-500.nxdf.65536.lz4b,65536,511408,510945,8,0.163177,0.165990
1,decode,/data/local/tmp/nx-lz4-proof/noise-500.nxdf.16384.lz4b,16384,511408,511792,32,0.070209,0.071667
1,decode,/data/local/tmp/nx-lz4-proof/noise-500.nxdf.1024.lz4b,1024,511408,517408,500,0.074323,0.078386
1,decode,/data/local/tmp/nx-lz4-proof/noise-500.nxdf.10000000.lz4b,10000000,511408,511420,1,0.033802,0.049948
1,decode,/data/local/tmp/nx-lz4-proof/noise-200.nxdf.65536.lz4b,65536,221968,220703,4,0.126823,0.327239
1,decode,/data/local/tmp/nx-lz4-proof/noise-200.nxdf.16384.lz4b,16384,221968,222094,14,0.044271,0.062032
1,decode,/data/local/tmp/nx-lz4-proof/noise-200.nxdf.1024.lz4b,1024,221968,224572,217,0.032396,0.033490
1,decode,/data/local/tmp/nx-lz4-proof/noise-200.nxdf.10000000.lz4b,10000000,221968,221980,1,0.011042,0.011458
1,decode,/data/local/tmp/nx-lz4-proof/noise-160.nxdf.65536.lz4b,65536,164848,161267,3,0.152761,0.189844
1,decode,/data/local/tmp/nx-lz4-proof/noise-160.nxdf.16384.lz4b,16384,164848,163032,11,0.018177,0.085989
1,decode,/data/local/tmp/nx-lz4-proof/noise-160.nxdf.1024.lz4b,1024,164848,166293,161,0.036771,0.038177
1,decode,/data/local/tmp/nx-lz4-proof/noise-160.nxdf.10000000.lz4b,10000000,164848,164030,1,0.012761,0.014739
2,decode,/data/local/tmp/nx-lz4-proof/noise-160.nxdf.10000000.lz4b,10000000,164848,164030,1,0.049375,0.053125
2,decode,/data/local/tmp/nx-lz4-proof/noise-160.nxdf.1024.lz4b,1024,164848,166293,161,0.036302,0.036979
2,decode,/data/local/tmp/nx-lz4-proof/noise-160.nxdf.16384.lz4b,16384,164848,163032,11,0.085625,0.088646
2,decode,/data/local/tmp/nx-lz4-proof/noise-160.nxdf.65536.lz4b,65536,164848,161267,3,0.027604,0.030000
2,decode,/data/local/tmp/nx-lz4-proof/noise-200.nxdf.10000000.lz4b,10000000,221968,221980,1,0.029010,0.037761
2,decode,/data/local/tmp/nx-lz4-proof/noise-200.nxdf.1024.lz4b,1024,221968,224572,217,0.032188,0.046979
2,decode,/data/local/tmp/nx-lz4-proof/noise-200.nxdf.16384.lz4b,16384,221968,222094,14,0.015781,0.019479
2,decode,/data/local/tmp/nx-lz4-proof/noise-200.nxdf.65536.lz4b,65536,221968,220703,4,0.128229,0.173958
2,decode,/data/local/tmp/nx-lz4-proof/noise-500.nxdf.10000000.lz4b,10000000,511408,511420,1,0.066510,0.077395
2,decode,/data/local/tmp/nx-lz4-proof/noise-500.nxdf.1024.lz4b,1024,511408,517408,500,0.074687,0.089896
2,decode,/data/local/tmp/nx-lz4-proof/noise-500.nxdf.16384.lz4b,16384,511408,511792,32,0.034583,0.058542
2,decode,/data/local/tmp/nx-lz4-proof/noise-500.nxdf.65536.lz4b,65536,511408,510945,8,0.043958,0.057084
2,decode,/data/local/tmp/nx-lz4-proof/photo-160.nxdf.10000000.lz4b,10000000,164848,146024,1,0.134427,0.156771
2,decode,/data/local/tmp/nx-lz4-proof/photo-160.nxdf.1024.lz4b,1024,164848,151118,161,0.047344,0.151250
2,decode,/data/local/tmp/nx-lz4-proof/photo-160.nxdf.16384.lz4b,16384,164848,143797,11,0.054687,0.213229
2,decode,/data/local/tmp/nx-lz4-proof/photo-160.nxdf.65536.lz4b,65536,164848,142057,3,0.226354,0.276562
2,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.10000000.lz4b,10000000,221968,193182,1,0.187813,0.241875
2,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.1024.lz4b,1024,221968,200993,217,0.063177,0.250156
2,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.16384.lz4b,16384,221968,189916,14,0.083021,0.296094
2,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.65536.lz4b,65536,221968,187208,4,0.092395,0.354636
2,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.10000000.lz4b,10000000,511408,431614,1,0.194011,0.205156
2,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.1024.lz4b,1024,511408,456230,500,0.243542,0.248646
2,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.16384.lz4b,16384,511408,422529,32,0.249167,0.253594
2,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.65536.lz4b,65536,511408,411481,8,0.248594,0.250886
2,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.10000000.lz4b,10000000,164848,109193,1,0.069114,0.240364
2,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.1024.lz4b,1024,164848,123323,161,0.258906,0.300730
2,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.16384.lz4b,16384,164848,110027,11,0.077240,0.344479
2,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.65536.lz4b,65536,164848,108146,3,0.080156,0.350468
2,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.10000000.lz4b,10000000,221968,142744,1,0.078802,0.342135
2,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.1024.lz4b,1024,221968,162533,217,0.101406,0.357605
2,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.16384.lz4b,16384,221968,144918,14,0.100625,0.394270
2,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.65536.lz4b,65536,221968,142067,4,0.103802,0.421875
2,decode,/data/local/tmp/nx-lz4-proof/scene-500.nxdf.10000000.lz4b,10000000,511408,238470,1,0.236250,0.240208
2,decode,/data/local/tmp/nx-lz4-proof/scene-500.nxdf.1024.lz4b,1024,511408,282252,500,0.304167,0.310313
2,decode,/data/local/tmp/nx-lz4-proof/scene-500.nxdf.16384.lz4b,16384,511408,254174,32,0.258854,0.295469
2,decode,/data/local/tmp/nx-lz4-proof/scene-500.nxdf.65536.lz4b,65536,511408,246598,8,0.296719,0.300938
