scene,q,tx,ty,mean_z,disp_seed,disp_est,disocc,edge,activity,bits_intra,bits_stereo,bits_stereo_mv,bits_stereo_est,bits_stereo_rec_mv,bits_warp,bits_warp_mv,sad_intra,sad_stereo_mv,sad_warp_mv,mvx_q2,mvy_q2
hand,8,0,10,4.181,7.19,8,0.0000,0.0000,27.41,11901.6,4656.3,4942.3,4942.3,5361.6,11974.0,6143.6,96182,10336,15955,0,0
hand,8,1,10,4.698,6.42,6,0.0000,0.0000,17.19,8473.8,3943.2,3303.0,3475.0,3845.5,8106.6,4117.4,66063,8673,10148,-1,0
hand,8,2,10,4.999,6.01,6,0.0000,0.0000,5.94,3603.4,2274.5,1219.5,1219.5,1387.0,2858.2,1342.6,31291,3045,3255,-3,0
hand,8,3,10,5.014,6.03,6,0.0000,0.0000,2.93,2145.6,1561.6,458.6,458.6,543.3,1648.9,668.8,15949,741,1598,-3,0
hand,8,4,10,5.003,6.06,6,0.0000,0.0000,2.62,2022.3,1506.8,473.2,473.2,534.5,1435.2,636.7,15234,775,1438,-4,0
hand,8,5,10,4.991,6.09,6,0.0000,0.0000,2.29,1680.6,1362.7,484.9,484.9,563.7,1244.2,607.5,12350,580,1150,-4,0
hand,8,6,10,4.977,6.11,6,0.0000,0.0000,1.98,1586.8,1281.8,458.6,458.6,552.0,1129.5,601.7,11719,382,1017,-4,0
hand,8,7,10,4.961,6.14,4,0.0000,0.0000,1.53,1392.3,1158.9,455.7,455.7,476.1,1008.5,557.9,6792,140,734,-5,0
hand,8,8,10,4.944,6.17,6,0.0000,0.0000,1.27,1408.3,1085.7,455.7,455.7,490.7,867.9,514.1,9653,138,653,-5,0
hand,8,9,10,4.924,6.19,6,0.0000,0.0000,0.94,1142.0,977.2,455.7,455.7,484.9,769.4,484.9,4291,117,363,-5,0
hand,8,10,10,4.903,6.22,6,0.0000,0.0000,0.30,597.8,464.4,455.7,455.7,461.5,455.7,455.7,2163,43,157,-1,0
hand,8,11,10,4.881,6.25,6,0.0000,0.0000,0.14,534.5,455.7,455.7,455.7,455.7,455.7,455.7,1715,40,76,0,0
hand,8,12,10,4.846,6.27,6,0.0000,0.0000,2.87,2132.3,1652.6,1010.4,1008.2,1053.3,1308.6,1108.4,26424,1403,1428,-3,0
hand,8,13,10,4.619,6.48,6,0.0000,0.0000,12.58,6464.6,3049.2,2284.2,2153.9,2686.3,3820.5,2503.2,56094,5629,5846,-1,0
hand,8,14,10,4.183,7.22,8,0.0000,0.0000,20.66,9423.5,3652.4,3607.0,3607.0,4424.4,6539.2,4364.4,78529,7646,11129,-1,0
hand,8,15,10,3.684,8.17,8,0.0000,0.1406,22.32,10167.9,4416.0,4377.2,4377.2,5176.8,10358.6,10626.6,79812,12703,85612,-1,0
hand,8,0,11,3.553,8.51,8,0.0000,0.0000,1.08,1382.0,938.0,566.6,619.2,616.3,1159.2,705.9,18240,362,657,-4,0
hand,8,1,11,3.545,8.54,8,0.0000,0.0000,0.10,514.1,455.7,455.7,455.7,455.7,455.7,455.7,1378,44,51,1,-1
hand,8,2,11,3.534,8.57,8,0.0000,0.0000,0.01,455.7,455.7,455.7,455.7,455.7,455.7,455.7,30,2,0,16,-4
hand,8,3,11,3.522,8.60,8,0.0000,0.0000,0.07,499.5,455.7,455.7,455.7,455.7,455.7,455.7,1007,40,25,-5,3
hand,8,4,11,3.511,8.62,8,0.0000,0.0000,0.10,508.2,455.7,455.7,455.7,455.7,455.7,455.7,1187,17,49,-3,-1
hand,8,5,11,3.500,8.65,8,0.0000,0.0000,0.14,531.6,455.7,455.7,455.7,455.7,455.7,455.7,1554,19,54,0,0
