run,case,jit_us,ready_us,payload_mbps,fresh_fps,fresh_min_fps,derived_delay_ms,derived_delay_max_ms,holes,safety_fallbacks_postcutoff
1,A,45000,0,74.55428478571429,88.43325146618308,86.30670391061453,47.39090909090909,48.4,0,20
2,B,5000,4000,74.59134321428571,89.40992929292929,87.80444444444444,43.62181818181818,46.2,0,0
3,B,5000,4000,74.59135599999999,89.66939393939394,88.70333333333333,41.61636363636364,43.8,0,0
4,A,45000,0,74.5543635,88.60368551436149,86.80558659217877,45.874545454545455,46.9,0,16
