arm,run,scenario,phase,id,detail_mode,bytes,wire_bytes,encode_ms,raw_fnv
global,1,photo_scene_cut,measured,128,independent,132442,135117,7.64387,8f171ea4316d0d31
global,1,photo_scene_cut,measured,129,global-v1,111232,113907,9.02069,b3ca5aabafca62c3
global,1,opposing_no_ack,measured,106,independent,106799,109474,6.90893,ff395193d88bc8c9
global,1,opposing_no_ack,measured,107,independent,106779,109454,7.06583,4f52882856be3545
global,1,opposing_no_ack,measured,108,independent,106015,108690,7.01685,8309a486743f0a90
global,1,opposing_no_ack,measured,109,independent,106615,109290,7.24503,149c45cd25e7b10a
global,1,opposing_no_ack,measured,110,independent,106591,109266,7.92955,16e1934bca8f3cb8
global,1,opposing_no_ack,measured,111,independent,105973,108648,7.44045,66b84d6b8554f57e
global,1,opposing_no_ack,measured,112,independent,105920,108595,7.36115,9a40b907fe014bf8
global,1,opposing_no_ack,measured,113,independent,105691,108366,7.26977,5310cff95a1ba6b0
global,1,opposing_no_ack,measured,114,independent,105299,107974,7.02978,b0f74ef7eaa496e3
global,1,opposing_no_ack,measured,115,independent,105178,107853,7.07559,7edb23c91470d08d
global,1,opposing_no_ack,measured,116,independent,103836,106511,7.12450,f434cf8f782297eb
global,1,opposing_no_ack,measured,117,independent,106302,108977,7.31689,ee71fb6411e8bcba
global,1,opposing_no_ack,measured,118,independent,106906,109581,7.26134,1b566ab8e9a740ef
global,1,opposing_no_ack,measured,119,independent,106966,109641,7.24883,b1a6f8333481ad4a
global,1,opposing_no_ack,measured,120,independent,107509,110184,7.64519,9e4fb7c218b22221
global,1,opposing_no_ack,measured,121,independent,107707,110382,7.62554,e262794690d637f7
global,1,opposing_no_ack,measured,122,independent,107785,110460,7.85742,44899969c1ba8c85
global,1,opposing_no_ack,measured,123,independent,107929,110604,7.98606,9a63ad4415d75d91
global,1,opposing_no_ack,measured,124,independent,107450,110125,7.81899,331e6f37fd61a64e
global,1,opposing_no_ack,measured,125,independent,107890,110565,7.35292,0b7257ed2bf0a600
global,1,opposing_no_ack,measured,126,independent,107981,110656,7.61496,8d3c248a31384b0b
global,1,opposing_no_ack,measured,127,independent,108314,110989,7.23682,e1237500ecff0a97
global,1,opposing_no_ack,measured,128,independent,108037,110712,8.56482,6f8bf78fa41def42
global,1,opposing_no_ack,measured,129,independent,108125,110800,8.05769,4c97bb1969c64238
global,2,opposing_source_motion,measured,106,independent,106799,109474,7.93887,ff395193d88bc8c9
global,2,opposing_source_motion,measured,107,independent,106779,109454,7.77835,4f52882856be3545
global,2,opposing_source_motion,measured,108,global-v1,88163,90838,7.48062,8309a486743f0a90
global,2,opposing_source_motion,measured,109,independent,106615,109290,7.60751,149c45cd25e7b10a
global,2,opposing_source_motion,measured,110,independent,106591,109266,7.86262,16e1934bca8f3cb8
global,2,opposing_source_motion,measured,111,independent,105973,108648,7.96119,66b84d6b8554f57e
global,2,opposing_source_motion,measured,112,independent,105920,108595,6.38079,9a40b907fe014bf8
global,2,opposing_source_motion,measured,113,independent,105691,108366,8.03358,5310cff95a1ba6b0
global,2,opposing_source_motion,measured,114,independent,105299,107974,7.62086,b0f74ef7eaa496e3
