round,position,mode,elapsed_ms
89,0,baseline,0.4375
89,1,uncached,0.506041
89,2,cached,0.485261
90,0,uncached,0.504531
90,1,cached,0.53552
90,2,baseline,0.44349
91,0,uncached,0.522865
91,1,cached,0.514532
91,2,baseline,0.456198
92,0,baseline,0.455885
92,1,cached,0.50625
92,2,uncached,0.524167
93,0,baseline,0.453906
93,1,uncached,0.524532
93,2,cached,0.50401
94,0,cached,0.493437
94,1,uncached,0.524167
94,2,baseline,0.459323
95,0,baseline,0.455
95,1,uncached,0.526354
95,2,cached,0.506615
96,0,uncached,0.553541
96,1,baseline,0.44375
96,2,cached,0.498959
97,0,baseline,0.440573
97,1,uncached,0.511406
97,2,cached,0.486146
98,0,cached,0.477813
98,1,uncached,0.506041
98,2,baseline,0.441042
99,0,baseline,0.440677
99,1,uncached,0.510885
99,2,cached,0.493281
100,0,uncached,0.508334
100,1,baseline,0.428437
100,2,cached,0.488542
101,0,uncached,0.505105
101,1,baseline,0.436406
101,2,cached,0.487604
102,0,uncached,0.505885
102,1,baseline,0.450261
102,2,cached,0.490052
103,0,cached,0.473177
103,1,uncached,0.503698
103,2,baseline,0.424115
104,0,cached,0.484479
104,1,uncached,0.505312
104,2,baseline,0.437604
105,0,uncached,0.49474
105,1,cached,0.473177
105,2,baseline,0.435729
106,0,baseline,0.434895
106,1,uncached,0.509167
106,2,cached,0.491302
107,0,baseline,0.438645
107,1,uncached,0.507552
107,2,cached,0.477291
108,0,baseline,0.43776
108,1,uncached,0.552813
108,2,cached,0.51052
109,0,cached,0.501458
109,1,baseline,0.439687
109,2,uncached,0.508437
110,0,uncached,0.555938
110,1,cached,0.490521
110,2,baseline,0.439114
111,0,cached,0.501042
111,1,uncached,0.519687
111,2,baseline,0.451302
112,0,uncached,0.520208
112,1,baseline,0.467031
112,2,cached,0.503281
113,0,cached,0.504167
113,1,uncached,0.518385
113,2,baseline,0.468021
114,0,cached,0.501927
114,1,baseline,0.451094
114,2,uncached,0.520052
115,0,uncached,0.519375
115,1,baseline,0.440886
115,2,cached,0.498646
116,0,uncached,0.518281
116,1,cached,0.499688
116,2,baseline,0.449792
117,0,uncached,0.520729
117,1,cached,0.499843
117,2,baseline,0.437709
118,0,cached,0.500521
118,1,uncached,0.568698
118,2,baseline,0.457239
119,0,baseline,0.530833
119,1,uncached,0.529948
119,2,cached,0.493698
120,0,cached,0.492188
120,1,uncached,0.51375
120,2,baseline,0.45526
121,0,uncached,0.505469
121,1,cached,0.486614
121,2,baseline,0.45776
122,0,uncached,0.525833
122,1,baseline,0.435313
122,2,cached,0.50526
123,0,uncached,0.500886
123,1,baseline,0.462135
123,2,cached,0.494323
124,0,cached,0.485573
124,1,uncached,0.491979
124,2,baseline,0.464635
125,0,baseline,0.456771
125,1,cached,0.505885
125,2,uncached,0.504843
126,0,uncached,0.504219
126,1,baseline,0.45677
126,2,cached,0.474323
127,0,cached,0.473698
127,1,uncached,0.513177
127,2,baseline,0.436614
128,0,baseline,0.442396
128,1,cached,0.505572
128,2,uncached,0.525417
129,0,cached,0.506771
129,1,baseline,0.425729
129,2,uncached,0.505677
130,0,cached,0.475104
130,1,baseline,0.4625
130,2,uncached,0.533438
131,0,uncached,0.506198
131,1,cached,0.472917
131,2,baseline,0.437291
132,0,baseline,0.436667
132,1,uncached,0.508073
132,2,cached,0.48651
133,0,baseline,0.437448
133,1,cached,0.48776
133,2,uncached,0.504479
134,0,uncached,0.523958
134,1,cached,0.47474
134,2,baseline,0.460313
135,0,uncached,0.505833
135,1,cached,0.485937
135,2,baseline,0.444063
136,0,baseline,0.425938
136,1,uncached,0.541771
136,2,cached,0.495886
137,0,baseline,0.43849
137,1,cached,0.475417
137,2,uncached,0.504635
138,0,baseline,0.436614
138,1,cached,0.486146
138,2,uncached,0.503073
139,0,uncached,0.492813
139,1,baseline,0.434687
139,2,cached,0.485938
140,0,uncached,0.511875
140,1,baseline,0.456667
140,2,cached,0.505
141,0,baseline,0.455104
141,1,cached,0.473594
141,2,uncached,0.519739
142,0,baseline,0.490625
142,1,cached,0.505052
142,2,uncached,0.524584
143,0,baseline,0.463802
143,1,cached,0.507084
143,2,uncached,0.526615
144,0,baseline,0.457656
144,1,uncached,0.52651
144,2,cached,0.505157
145,0,baseline,0.445781
145,1,cached,0.504948
145,2,uncached,0.536302
146,0,baseline,0.456979
146,1,uncached,0.524583
146,2,cached,0.525677
147,0,cached,0.491094
147,1,baseline,0.46026
147,2,uncached,0.505886
148,0,cached,0.484427
148,1,uncached,0.492865
148,2,baseline,0.435677
149,0,baseline,0.423541
149,1,uncached,0.506614
149,2,cached,0.485417
150,0,baseline,0.436094
150,1,cached,0.507188
150,2,uncached,0.504063
151,0,uncached,0.491302
151,1,baseline,0.437812
151,2,cached,0.485417
152,0,cached,0.485885
152,1,uncached,0.504791
152,2,baseline,0.437448
153,0,cached,0.545104
153,1,uncached,0.531146
153,2,baseline,0.457083
154,0,baseline,0.457031
154,1,uncached,0.50724
154,2,cached,0.48599
155,0,cached,0.485729
155,1,baseline,0.436459
155,2,uncached,0.494635
156,0,baseline,0.436875
156,1,uncached,0.505313
156,2,cached,0.506719
157,0,uncached,0.525208
157,1,baseline,0.45651
157,2,cached,0.486094
158,0,uncached,0.504427
158,1,baseline,0.424687
158,2,cached,0.542031
159,0,uncached,0.526302
159,1,cached,0.486615
159,2,baseline,0.436719
160,0,cached,0.473958
160,1,baseline,0.42375
160,2,uncached,0.505625
161,0,uncached,0.505885
161,1,cached,0.487188
161,2,baseline,0.435938
162,0,uncached,0.505833
162,1,cached,0.485417
162,2,baseline,0.436979
163,0,cached,0.471875
163,1,uncached,0.512292
163,2,baseline,0.439843
164,0,baseline,0.454583
164,1,uncached,0.505261
164,2,cached,0.49875
165,0,baseline,0.457136
165,1,cached,0.484792
165,2,uncached,0.50526
166,0,cached,0.485208
166,1,uncached,0.503802
166,2,baseline,0.437292
167,0,uncached,0.506979
167,1,baseline,0.444219
167,2,cached,0.485625
168,0,baseline,0.435208
168,1,cached,0.507604
168,2,uncached,0.504271
169,0,uncached,0.503073
169,1,baseline,0.445313
169,2,cached,0.484791
170,0,uncached,0.505
170,1,baseline,0.474375
170,2,cached,0.507656
171,0,cached,0.473229
171,1,baseline,0.445
171,2,uncached,0.505782
172,0,cached,0.485469
172,1,uncached,0.50375
172,2,baseline,0.423646
173,0,cached,0.485729
173,1,uncached,0.504895
173,2,baseline,0.427657
174,0,baseline,0.423906
174,1,cached,0.486406
174,2,uncached,0.505677
175,0,uncached,0.505261
175,1,baseline,0.437084
175,2,cached,0.506823
