round,position,mode,elapsed_ms
89,0,baseline,0.457968
89,1,uncached,0.502761
89,2,cached,0.502968
90,0,uncached,0.52099
90,1,cached,0.51
90,2,baseline,0.452396
91,0,uncached,0.523073
91,1,cached,0.501042
91,2,baseline,0.457239
92,0,baseline,0.445261
92,1,cached,0.512552
92,2,uncached,0.528854
93,0,baseline,0.456875
93,1,uncached,0.523334
93,2,cached,0.481355
94,0,cached,0.481823
94,1,uncached,0.52125
94,2,baseline,0.438959
95,0,baseline,0.445833
95,1,uncached,0.499115
95,2,cached,0.482239
96,0,uncached,0.500365
96,1,baseline,0.437604
96,2,cached,0.470313
97,0,baseline,0.437865
97,1,uncached,0.500625
97,2,cached,0.477708
98,0,cached,0.481302
98,1,uncached,0.522657
98,2,baseline,0.457917
99,0,baseline,0.437604
99,1,uncached,0.503802
99,2,cached,0.483906
100,0,uncached,0.504792
100,1,baseline,0.458229
100,2,cached,0.481823
101,0,uncached,0.501979
101,1,baseline,0.458281
101,2,cached,0.503906
102,0,uncached,0.489635
102,1,baseline,0.440052
102,2,cached,0.482656
103,0,cached,0.482448
103,1,uncached,0.500469
103,2,baseline,0.438438
104,0,cached,0.487448
104,1,uncached,0.521407
104,2,baseline,0.439583
105,0,uncached,0.49224
105,1,cached,0.485052
105,2,baseline,0.446979
106,0,baseline,0.437864
106,1,uncached,0.50401
106,2,cached,0.482969
107,0,baseline,0.43875
107,1,uncached,0.50474
107,2,cached,0.47224
108,0,baseline,0.43875
108,1,uncached,0.50125
108,2,cached,0.481771
109,0,cached,0.470313
109,1,baseline,0.456146
109,2,uncached,0.504739
110,0,uncached,0.540208
110,1,cached,0.500364
110,2,baseline,0.46151
111,0,cached,0.506146
111,1,uncached,0.504115
111,2,baseline,0.438281
112,0,uncached,0.5025
112,1,baseline,0.43776
112,2,cached,0.502395
113,0,cached,0.500416
113,1,uncached,0.520313
113,2,baseline,0.456198
114,0,cached,0.484687
114,1,baseline,0.457136
114,2,uncached,0.508333
115,0,uncached,0.520989
115,1,baseline,0.465156
115,2,cached,0.511198
116,0,uncached,0.509635
116,1,cached,0.501354
116,2,baseline,0.437084
117,0,uncached,0.491146
117,1,cached,0.479844
117,2,baseline,0.437188
118,0,cached,0.481302
118,1,uncached,0.505156
118,2,baseline,0.438906
119,0,baseline,0.458125
119,1,uncached,0.502188
119,2,cached,0.50224
120,0,cached,0.483541
120,1,uncached,0.500365
120,2,baseline,0.438646
121,0,uncached,0.5275
121,1,cached,0.503855
121,2,baseline,0.458073
122,0,uncached,0.521354
122,1,baseline,0.428333
122,2,cached,0.482031
123,0,uncached,0.500938
123,1,baseline,0.426667
123,2,cached,0.481927
124,0,cached,0.48224
124,1,uncached,0.501875
124,2,baseline,0.458125
125,0,baseline,0.439584
125,1,cached,0.482917
125,2,uncached,0.503282
126,0,uncached,0.500781
126,1,baseline,0.439114
126,2,cached,0.481093
127,0,cached,0.500208
127,1,uncached,0.522344
127,2,baseline,0.438125
128,0,baseline,0.439687
128,1,cached,0.482291
128,2,uncached,0.500781
129,0,cached,0.479896
129,1,baseline,0.438803
129,2,uncached,0.522135
130,0,cached,0.482656
130,1,baseline,0.438282
130,2,uncached,0.521511
131,0,uncached,0.520729
131,1,cached,0.481042
131,2,baseline,0.438698
132,0,baseline,0.436666
132,1,uncached,0.521459
132,2,cached,0.499428
133,0,baseline,0.458645
133,1,cached,0.470937
133,2,uncached,0.502917
134,0,uncached,0.50125
134,1,cached,0.480833
134,2,baseline,0.426198
135,0,uncached,0.502396
135,1,cached,0.482395
135,2,baseline,0.438125
136,0,baseline,0.426771
136,1,uncached,0.492188
136,2,cached,0.501667
137,0,baseline,0.438334
137,1,cached,0.504479
137,2,uncached,0.502083
138,0,baseline,0.457656
138,1,cached,0.483334
138,2,uncached,0.533437
139,0,uncached,0.522709
139,1,baseline,0.439167
139,2,cached,0.483282
140,0,uncached,0.501458
140,1,baseline,0.427136
140,2,cached,0.484479
141,0,baseline,0.438281
141,1,cached,0.482656
141,2,uncached,0.521094
142,0,baseline,0.457083
142,1,cached,0.482604
142,2,uncached,0.520052
143,0,baseline,0.438437
143,1,cached,0.50177
143,2,uncached,0.496355
144,0,baseline,0.438072
144,1,uncached,0.551614
144,2,cached,0.541771
145,0,baseline,0.441563
145,1,cached,0.507761
145,2,uncached,0.511302
146,0,baseline,0.438281
146,1,uncached,0.491354
146,2,cached,0.479584
147,0,cached,0.481667
147,1,baseline,0.457605
147,2,uncached,0.523542
148,0,cached,0.502604
148,1,uncached,0.520313
148,2,baseline,0.458177
149,0,baseline,0.457865
149,1,uncached,0.523645
149,2,cached,0.491041
150,0,baseline,0.463593
150,1,cached,0.504636
150,2,uncached,0.520365
151,0,uncached,0.501927
151,1,baseline,0.439479
151,2,cached,0.471354
152,0,cached,0.482239
152,1,uncached,0.520209
152,2,baseline,0.438073
153,0,cached,0.476927
153,1,uncached,0.501146
153,2,baseline,0.458541
154,0,baseline,0.438282
154,1,uncached,0.522708
154,2,cached,0.483958
155,0,cached,0.484531
155,1,baseline,0.439115
155,2,uncached,0.494011
156,0,baseline,0.507657
156,1,uncached,0.53599
156,2,cached,0.471094
157,0,uncached,0.501875
157,1,baseline,0.438646
157,2,cached,0.48375
158,0,uncached,0.500781
158,1,baseline,0.437552
158,2,cached,0.500625
159,0,uncached,0.519584
159,1,cached,0.481563
159,2,baseline,0.456875
160,0,cached,0.481927
160,1,baseline,0.458438
160,2,uncached,0.490937
161,0,uncached,0.511145
161,1,cached,0.480416
161,2,baseline,0.438542
162,0,uncached,0.539688
162,1,cached,0.500938
162,2,baseline,0.437188
163,0,cached,0.48125
163,1,uncached,0.520782
163,2,baseline,0.438594
164,0,baseline,0.436302
164,1,uncached,0.503698
164,2,cached,0.486979
165,0,baseline,0.437292
165,1,cached,0.490885
165,2,uncached,0.506875
166,0,cached,0.48276
166,1,uncached,0.511406
166,2,baseline,0.426198
167,0,uncached,0.52099
167,1,baseline,0.437813
167,2,cached,0.482031
168,0,baseline,0.463281
168,1,cached,0.482813
168,2,uncached,0.500937
169,0,uncached,0.502187
169,1,baseline,0.439792
169,2,cached,0.483073
170,0,uncached,0.502136
170,1,baseline,0.451406
170,2,cached,0.483803
171,0,cached,0.483021
171,1,baseline,0.438541
171,2,uncached,0.522708
172,0,cached,0.485677
172,1,uncached,0.515208
172,2,baseline,0.439948
173,0,cached,0.506094
173,1,uncached,0.559843
173,2,baseline,0.486979
174,0,baseline,0.441302
174,1,cached,0.50625
174,2,uncached,0.511094
175,0,uncached,0.50198
175,1,baseline,0.438072
175,2,cached,0.482083
