round,position,mode,elapsed_ms
89,0,baseline,0.486562
89,1,uncached,0.80948
89,2,cached,0.790052
90,0,uncached,0.807187
90,1,cached,0.786823
90,2,baseline,0.498958
91,0,uncached,0.813906
91,1,cached,0.78026
91,2,baseline,0.497916
92,0,baseline,0.477709
92,1,cached,0.815625
92,2,uncached,0.806563
93,0,baseline,0.478073
93,1,uncached,0.788177
93,2,cached,0.770677
94,0,cached,0.78974
94,1,uncached,0.806198
94,2,baseline,0.497448
95,0,baseline,0.500261
95,1,uncached,0.799479
95,2,cached,0.769323
96,0,uncached,0.786197
96,1,baseline,0.523229
96,2,cached,0.77849
97,0,baseline,0.502917
97,1,uncached,0.805886
97,2,cached,0.765208
98,0,cached,0.769688
98,1,uncached,0.808437
98,2,baseline,0.478177
99,0,baseline,0.478646
99,1,uncached,0.804791
99,2,cached,0.768125
100,0,uncached,0.787135
100,1,baseline,0.485
100,2,cached,0.783906
101,0,uncached,0.808489
101,1,baseline,0.502396
101,2,cached,0.787865
102,0,uncached,0.785104
102,1,baseline,0.478438
102,2,cached,0.78849
103,0,cached,0.771771
103,1,uncached,0.788281
103,2,baseline,0.478854
104,0,cached,0.768854
104,1,uncached,0.780104
104,2,baseline,0.489792
105,0,uncached,0.804792
105,1,cached,0.799479
105,2,baseline,0.495989
106,0,baseline,0.47776
106,1,uncached,0.875573
106,2,cached,0.77552
107,0,baseline,0.501823
107,1,uncached,0.786354
107,2,cached,0.767761
108,0,baseline,0.482604
108,1,uncached,0.808438
108,2,cached,0.757761
109,0,cached,0.775573
109,1,baseline,0.501666
109,2,uncached,0.790469
110,0,uncached,0.784948
110,1,cached,0.788125
110,2,baseline,0.498958
111,0,cached,0.757865
111,1,uncached,0.793542
111,2,baseline,0.489166
112,0,uncached,0.79026
112,1,baseline,0.482344
112,2,cached,0.770365
113,0,cached,0.759791
113,1,uncached,0.828489
113,2,baseline,0.5025
114,0,cached,0.767864
114,1,baseline,0.482135
114,2,uncached,0.809115
115,0,uncached,0.778698
