round,position,mode,elapsed_ms
89,1,uncached,0.528959
89,2,cached,0.523282
90,0,uncached,0.546198
90,1,cached,0.506875
90,2,baseline,0.468854
91,0,uncached,0.515156
91,1,cached,0.507708
91,2,baseline,0.477812
92,0,baseline,0.496511
92,1,cached,0.525729
92,2,uncached,0.526615
93,0,baseline,0.502083
93,1,uncached,0.540781
93,2,cached,0.513906
94,0,cached,0.509322
94,1,uncached,0.527188
94,2,baseline,0.478958
95,0,baseline,0.489479
95,1,uncached,0.518542
95,2,cached,0.526562
96,0,uncached,0.575729
96,1,baseline,0.489011
96,2,cached,0.520938
97,0,baseline,0.480885
97,1,uncached,0.550469
97,2,cached,0.515573
98,0,cached,0.512812
98,1,uncached,0.542917
98,2,baseline,0.479791
99,0,baseline,0.478177
99,1,uncached,0.546614
99,2,cached,0.49875
100,0,uncached,0.514531
100,1,baseline,0.478802
100,2,cached,0.532032
101,0,uncached,0.56276
101,1,baseline,0.483646
101,2,cached,0.508125
102,0,uncached,0.513438
102,1,baseline,0.467136
102,2,cached,0.510104
103,0,cached,0.515156
103,1,uncached,0.526927
103,2,baseline,0.4775
104,0,cached,0.495886
104,1,uncached,0.527291
104,2,baseline,0.466354
105,0,uncached,0.552552
105,1,cached,0.506302
105,2,baseline,0.478073
106,0,baseline,0.477553
106,1,uncached,0.562031
106,2,cached,0.500729
107,0,baseline,0.478958
107,1,uncached,0.519219
107,2,cached,0.508906
108,0,baseline,0.481302
108,1,uncached,0.516302
108,2,cached,0.5075
109,0,cached,0.507187
109,1,baseline,0.479636
109,2,uncached,0.542239
110,0,uncached,0.554375
110,1,cached,0.517291
110,2,baseline,0.507188
111,0,cached,0.510833
111,1,uncached,0.530157
111,2,baseline,0.527552
112,0,uncached,0.55323
112,1,baseline,0.479792
112,2,cached,0.508386
113,0,cached,0.527135
113,1,uncached,0.526198
113,2,baseline,0.466302
114,0,cached,0.511771
114,1,baseline,0.476771
114,2,uncached,0.521406
115,0,uncached,0.534687
115,1,baseline,0.467708
115,2,cached,0.506979
116,0,uncached,0.555052
116,1,cached,0.533177
116,2,baseline,0.489531
117,0,uncached,0.531511
117,1,cached,0.558282
117,2,baseline,0.481094
118,0,cached,0.515781
118,1,uncached,0.528802
118,2,baseline,0.467448
119,0,baseline,0.477708
119,1,uncached,0.532344
119,2,cached,0.509792
120,0,cached,0.50724
120,1,uncached,0.52651
120,2,baseline,0.486354
121,0,uncached,0.522604
121,1,cached,0.504791
121,2,baseline,0.501614
122,0,uncached,0.548646
122,1,baseline,0.477136
122,2,cached,0.50776
123,0,uncached,0.58375
123,1,baseline,0.479844
123,2,cached,0.51276
124,0,cached,0.560677
124,1,uncached,0.531719
124,2,baseline,0.466302
125,0,baseline,0.476719
125,1,cached,0.52625
125,2,uncached,0.520208
126,0,uncached,0.531198
126,1,baseline,0.49776
126,2,cached,0.514115
127,0,cached,0.518906
127,1,uncached,0.543854
127,2,baseline,0.498594
128,0,baseline,0.496927
128,1,cached,0.535364
128,2,uncached,0.551197
129,0,cached,0.529792
129,1,baseline,0.505052
129,2,uncached,0.522656
130,0,cached,0.530416
130,1,baseline,0.48375
130,2,uncached,0.515365
131,0,uncached,0.545
131,1,cached,0.50651
131,2,baseline,0.496614
132,0,baseline,0.47724
132,1,uncached,0.529791
132,2,cached,0.506927
133,0,baseline,0.465625
133,1,cached,0.500312
133,2,uncached,0.618958
134,0,uncached,0.539167
134,1,cached,0.499843
134,2,baseline,0.477969
135,0,uncached,0.527656
135,1,cached,0.513333
135,2,baseline,0.484219
136,0,baseline,0.479479
136,1,uncached,0.529271
136,2,cached,0.500573
137,0,baseline,0.507448
137,1,cached,0.526875
137,2,uncached,0.532135
138,0,baseline,0.497761
138,1,cached,0.528021
138,2,uncached,0.531094
139,0,uncached,0.531198
139,1,baseline,0.479896
139,2,cached,0.505365
140,0,uncached,0.517448
140,1,baseline,0.478385
140,2,cached,0.495677
141,0,baseline,0.467032
141,1,cached,0.532031
141,2,uncached,0.530313
142,0,baseline,0.483282
142,1,cached,0.509323
142,2,uncached,0.536094
143,0,baseline,0.510208
143,1,cached,0.507396
143,2,uncached,0.515625
144,0,baseline,0.49849
144,1,uncached,0.528386
144,2,cached,0.580572
145,0,baseline,0.502448
145,1,cached,0.515886
145,2,uncached,0.550833
146,0,baseline,0.500625
146,1,uncached,0.530677
146,2,cached,0.53625
147,0,cached,0.520364
147,1,baseline,0.498333
147,2,uncached,0.507396
148,0,cached,0.589271
148,1,uncached,0.547604
148,2,baseline,0.479114
149,0,baseline,0.50401
149,1,uncached,0.550416
149,2,cached,0.534948
150,0,baseline,0.500052
150,1,cached,0.51474
150,2,uncached,0.593594
151,0,uncached,0.554323
151,1,baseline,0.501511
151,2,cached,0.52625
152,0,cached,0.529636
152,1,uncached,0.559375
152,2,baseline,0.497604
153,0,cached,0.529584
153,1,uncached,0.551823
153,2,baseline,0.485469
154,0,baseline,0.47724
154,1,uncached,0.547448
154,2,cached,0.560781
155,0,cached,0.498645
155,1,baseline,0.467083
155,2,uncached,0.519427
156,0,baseline,0.469635
156,1,uncached,0.526562
156,2,cached,0.529792
157,0,uncached,0.544792
