frame 33: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.735  submit 1.269  passA 4.686  passW 0.000  passB 10.288  gpu 14.975  total 19.102 ms
frame 34: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.607  submit 1.433  passA 5.045  passW 0.000  passB 10.654  gpu 15.699  total 19.020 ms
frame 35: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.905  submit 1.547  passA 4.887  passW 0.000  passB 10.651  gpu 15.538  total 19.298 ms
frame 36: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.599  submit 1.593  passA 4.566  passW 0.000  passB 10.528  gpu 15.094  total 18.564 ms
frame 37: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 2.401  submit 1.346  passA 4.996  passW 0.000  passB 10.646  gpu 15.643  total 19.686 ms
frame 38: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.577  submit 1.422  passA 5.028  passW 0.000  passB 10.748  gpu 15.776  total 19.064 ms
frame 39: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.577  submit 1.371  passA 4.588  passW 0.000  passB 10.504  gpu 15.093  total 18.359 ms
frame 40: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.511  submit 2.294  passA 5.004  passW 0.000  passB 10.492  gpu 15.496  total 20.690 ms
frame 41: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 2.250  submit 1.395  passA 5.070  passW 0.000  passB 10.769  gpu 15.839  total 19.789 ms
frame 42: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.789  submit 1.633  passA 4.692  passW 0.000  passB 10.468  gpu 15.161  total 18.865 ms
frame 43: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.609  submit 2.000  passA 4.998  passW 0.000  passB 10.750  gpu 15.748  total 19.688 ms
frame 44: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 6.570  submit 1.822  passA 4.993  passW 0.000  passB 10.698  gpu 15.692  total 24.344 ms
frame 45: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.653  submit 2.919  passA 4.558  passW 0.000  passB 10.320  gpu 14.879  total 19.730 ms
frame 46: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.445  submit 1.287  passA 4.871  passW 0.000  passB 10.699  gpu 15.571  total 18.654 ms
frame 47: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.472  submit 1.806  passA 4.959  passW 0.000  passB 10.583  gpu 15.543  total 19.190 ms
frame 48: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.755  submit 1.272  passA 4.597  passW 0.000  passB 10.257  gpu 14.855  total 21.712 ms
frame 49: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.745  submit 1.370  passA 5.068  passW 0.000  passB 10.505  gpu 15.574  total 19.546 ms
frame 50: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.634  submit 1.405  passA 5.043  passW 0.000  passB 10.815  gpu 15.858  total 19.972 ms
frame 51: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.522  submit 1.266  passA 4.604  passW 0.000  passB 10.631  gpu 15.236  total 18.493 ms
frame 52: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.512  submit 1.361  passA 4.973  passW 0.000  passB 10.474  gpu 15.448  total 18.895 ms
frame 53: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.501  submit 2.272  passA 4.901  passW 0.000  passB 10.846  gpu 15.747  total 20.046 ms
frame 54: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 2.437  submit 1.285  passA 4.589  passW 0.000  passB 10.558  gpu 15.148  total 19.130 ms
frame 55: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.812  submit 1.341  passA 4.958  passW 0.000  passB 10.540  gpu 15.498  total 18.920 ms
frame 56: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.836  submit 1.298  passA 5.043  passW 0.000  passB 10.642  gpu 15.685  total 19.295 ms
frame 57: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 2.525  submit 1.351  passA 4.652  passW 0.000  passB 10.515  gpu 15.168  total 19.311 ms
frame 58: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.741  submit 1.301  passA 5.054  passW 0.000  passB 10.436  gpu 15.490  total 19.020 ms
frame 59: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 2.232  submit 1.573  passA 5.003  passW 0.000  passB 10.802  gpu 15.806  total 19.893 ms
decode-throughput status complete (decode-only, --no-out): 60 frames, 2.019472 s, 29.711 fps, frame wall ms max 892.725 p50 18.867 p95 21.713 p99 892.725, <=4.167ms 0.0%
60 frame(s), 4352x2176 yuv420p on Adreno (TM) 650
