frame 33: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.454  submit 0.397  passA 2.837  passW 0.000  passB 6.217  gpu 9.054  total 10.059 ms
frame 34: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.469  submit 0.418  passA 1.897  passW 0.000  passB 6.544  gpu 8.441  total 9.506 ms
frame 35: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.475  submit 0.425  passA 1.920  passW 0.000  passB 6.512  gpu 8.432  total 9.648 ms
frame 36: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.463  submit 0.396  passA 2.523  passW 0.000  passB 6.448  gpu 8.972  total 9.979 ms
frame 37: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.450  submit 0.403  passA 1.775  passW 0.000  passB 7.485  gpu 9.261  total 10.258 ms
frame 38: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.462  submit 0.450  passA 1.774  passW 0.000  passB 6.396  gpu 8.171  total 9.258 ms
frame 39: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.479  submit 0.414  passA 1.695  passW 0.000  passB 5.262  gpu 6.956  total 8.317 ms
frame 40: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.477  submit 0.423  passA 2.759  passW 0.000  passB 5.255  gpu 8.014  total 9.931 ms
frame 41: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.464  submit 0.435  passA 3.879  passW 0.000  passB 5.332  gpu 9.211  total 10.244 ms
frame 42: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.493  submit 0.405  passA 2.820  passW 0.000  passB 5.437  gpu 8.258  total 9.381 ms
frame 43: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.517  submit 0.443  passA 1.777  passW 0.000  passB 6.497  gpu 8.274  total 9.549 ms
frame 44: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.471  submit 0.428  passA 2.528  passW 0.000  passB 6.503  gpu 9.031  total 10.081 ms
frame 45: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.455  submit 0.424  passA 2.762  passW 0.000  passB 6.496  gpu 9.258  total 10.293 ms
frame 46: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.485  submit 0.416  passA 2.627  passW 0.000  passB 6.588  gpu 9.215  total 10.282 ms
frame 47: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.467  submit 0.417  passA 1.826  passW 0.000  passB 6.384  gpu 8.209  total 9.247 ms
frame 48: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.480  submit 0.392  passA 1.693  passW 0.000  passB 5.265  gpu 6.958  total 8.338 ms
frame 49: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.645  submit 0.420  passA 2.897  passW 0.000  passB 5.306  gpu 8.204  total 10.227 ms
frame 50: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.480  submit 0.422  passA 4.040  passW 0.000  passB 5.414  gpu 9.454  total 10.505 ms
frame 51: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.467  submit 0.471  passA 3.731  passW 0.000  passB 5.250  gpu 8.981  total 10.067 ms
frame 52: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.473  submit 0.403  passA 2.981  passW 0.000  passB 6.241  gpu 9.222  total 10.266 ms
frame 53: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.401  submit 0.393  passA 1.796  passW 0.000  passB 6.541  gpu 8.337  total 9.255 ms
frame 54: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.468  submit 0.431  passA 1.705  passW 0.000  passB 6.517  gpu 8.222  total 9.985 ms
frame 55: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.536  submit 0.472  passA 2.632  passW 0.000  passB 6.550  gpu 9.182  total 10.356 ms
frame 56: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.463  submit 0.402  passA 2.625  passW 0.000  passB 6.481  gpu 9.106  total 10.155 ms
frame 57: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.455  submit 0.395  passA 1.690  passW 0.000  passB 6.348  gpu 8.038  total 9.013 ms
frame 58: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.475  submit 0.465  passA 1.774  passW 0.000  passB 5.289  gpu 7.063  total 8.464 ms
frame 59: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.665  submit 0.564  passA 2.812  passW 0.000  passB 5.294  gpu 8.106  total 10.103 ms
decode-throughput status complete (decode-only, --no-out): 60 frames, 1.430466 s, 41.944 fps, frame wall ms max 820.334 p50 10.061 p95 15.299 p99 820.334, <=4.167ms 0.0%
60 frame(s), 4352x2176 yuv420p on Adreno (TM) 650
