frame 33: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.319  submit 0.340  passA 2.374  passW 0.000  passB 5.266  gpu 7.641  total 8.797 ms
frame 34: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.367  submit 0.342  passA 1.853  passW 0.000  passB 4.953  gpu 6.806  total 7.800 ms
frame 35: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.304  submit 0.377  passA 1.809  passW 0.000  passB 5.021  gpu 6.830  total 8.218 ms
frame 36: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.352  submit 0.334  passA 1.749  passW 0.000  passB 5.261  gpu 7.010  total 7.924 ms
frame 37: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.600  submit 0.417  passA 1.826  passW 0.000  passB 5.295  gpu 7.121  total 8.339 ms
frame 38: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.322  submit 0.320  passA 2.437  passW 0.000  passB 4.369  gpu 6.806  total 7.745 ms
frame 39: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.323  submit 0.325  passA 1.705  passW 0.000  passB 5.239  gpu 6.945  total 7.936 ms
frame 40: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.354  submit 0.425  passA 2.386  passW 0.000  passB 5.278  gpu 7.665  total 8.598 ms
frame 41: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.428  submit 0.447  passA 1.818  passW 0.000  passB 5.034  gpu 6.852  total 9.431 ms
frame 42: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.371  submit 0.400  passA 1.658  passW 0.000  passB 5.971  gpu 7.629  total 9.143 ms
frame 43: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.434  submit 0.362  passA 2.962  passW 0.000  passB 5.949  gpu 8.911  total 12.444 ms
frame 44: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.368  submit 4.565  passA 3.474  passW 0.000  passB 5.630  gpu 9.104  total 14.538 ms
