frame 33: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.428  submit 0.343  passA 2.837  passW 0.000  passB 6.268  gpu 9.105  total 10.055 ms
frame 34: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.447  submit 0.368  passA 2.954  passW 0.000  passB 5.461  gpu 8.415  total 9.405 ms
frame 35: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.528  submit 0.474  passA 1.948  passW 0.000  passB 6.503  gpu 8.452  total 9.873 ms
frame 36: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.504  submit 0.425  passA 2.534  passW 0.000  passB 6.509  gpu 9.043  total 10.086 ms
frame 37: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.509  submit 0.405  passA 2.605  passW 0.000  passB 6.526  gpu 9.131  total 10.159 ms
frame 38: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.513  submit 0.420  passA 1.814  passW 0.000  passB 6.343  gpu 8.158  total 9.291 ms
frame 39: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.767  submit 0.576  passA 1.729  passW 0.000  passB 5.279  gpu 7.008  total 8.482 ms
frame 40: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.521  submit 0.419  passA 2.797  passW 0.000  passB 5.263  gpu 8.060  total 9.652 ms
frame 41: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.515  submit 0.399  passA 3.855  passW 0.000  passB 5.344  gpu 9.199  total 10.530 ms
frame 42: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.601  submit 0.479  passA 2.829  passW 0.000  passB 6.216  gpu 9.046  total 10.302 ms
frame 43: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.601  submit 0.490  passA 2.954  passW 0.000  passB 6.296  gpu 9.250  total 10.502 ms
frame 44: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.444  submit 0.367  passA 1.820  passW 0.000  passB 6.510  gpu 8.330  total 9.246 ms
frame 45: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.462  submit 0.358  passA 1.651  passW 0.000  passB 6.445  gpu 8.096  total 9.378 ms
frame 46: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.700  submit 0.449  passA 2.696  passW 0.000  passB 6.540  gpu 9.236  total 10.607 ms
frame 47: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.534  submit 0.508  passA 2.877  passW 0.000  passB 6.513  gpu 9.391  total 10.612 ms
frame 48: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.516  submit 0.403  passA 2.483  passW 0.000  passB 6.459  gpu 8.942  total 10.020 ms
frame 49: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.520  submit 0.444  passA 1.750  passW 0.000  passB 6.408  gpu 8.158  total 9.285 ms
frame 50: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.522  submit 0.433  passA 1.844  passW 0.000  passB 5.333  gpu 7.177  total 8.556 ms
frame 51: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.634  submit 0.469  passA 2.843  passW 0.000  passB 5.295  gpu 8.138  total 9.691 ms
frame 52: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.501  submit 0.438  passA 3.754  passW 0.000  passB 5.299  gpu 9.053  total 10.340 ms
frame 53: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.506  submit 0.408  passA 2.931  passW 0.000  passB 6.316  gpu 9.247  total 10.309 ms
frame 54: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.530  submit 0.428  passA 1.691  passW 0.000  passB 6.444  gpu 8.135  total 9.323 ms
frame 55: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.524  submit 0.491  passA 1.856  passW 0.000  passB 6.493  gpu 8.350  total 10.021 ms
frame 56: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.507  submit 0.406  passA 2.627  passW 0.000  passB 6.538  gpu 9.166  total 10.259 ms
frame 57: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.436  submit 0.367  passA 2.629  passW 0.000  passB 6.501  gpu 9.130  total 10.118 ms
frame 58: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.441  submit 0.374  passA 2.548  passW 0.000  passB 5.569  gpu 8.117  total 9.209 ms
frame 59: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.530  submit 0.450  passA 1.892  passW 0.000  passB 5.322  gpu 7.214  total 8.448 ms
decode-throughput status complete (decode-only, --no-out): 60 frames, 1.419209 s, 42.277 fps, frame wall ms max 806.667 p50 10.056 p95 15.387 p99 806.667, <=4.167ms 0.0%
60 frame(s), 4352x2176 yuv420p on Adreno (TM) 650
