case,dx,age,reset,full,threshold,gpu_ms
0,-900,1,0,0,28,0.32768
1,-64,1,0,0,28,0.44312
2,-3,1,0,0,28,0.4288
3,-1,1,0,0,28,0.57304
4,0,1,0,0,28,0.44484
5,1,1,0,0,28,0.4418
6,3,1,0,0,28,0.4412
7,64,1,0,0,28,0.44464
8,900,1,0,0,28,0.43152
9,3,1,1,0,28,0.33508
10,3,0,0,0,28,0.3356
11,3,2,0,0,28,0.3536
12,3,1,0,1,28,0.4688
13,3,1,0,0,255,0.5138
