case,dx,age,reset,full,threshold,gpu_ms
0,-900,1,0,0,28,2.58432
1,-64,1,0,0,28,1.78359
2,-3,1,0,0,28,1.80552
3,-1,1,0,0,28,1.77474
4,0,1,0,0,28,1.7738
5,1,1,0,0,28,1.77589
6,3,1,0,0,28,1.7851
7,64,1,0,0,28,4.00724
8,900,1,0,0,28,1.55141
9,3,1,1,0,28,1.12141
10,3,0,0,0,28,1.11729
11,3,2,0,0,28,1.10391
12,3,1,0,1,28,1.23953
13,3,1,0,0,255,1.80333
