scenario,variant,id,mode,detail_bytes,wire_bytes,encode_ms,raw_fnv64
opposing_no_ack,regions,110,independent,106591,109266,6.49149,16e1934bca8f3cb8
opposing_no_ack,regions,111,independent,105973,108648,6.47347,66b84d6b8554f57e
opposing_no_ack,regions,112,independent,105920,108595,6.50576,9a40b907fe014bf8
opposing_no_ack,regions,113,independent,105691,108366,6.42509,5310cff95a1ba6b0
opposing_no_ack,regions,114,independent,105299,107974,6.52749,b0f74ef7eaa496e3
opposing_no_ack,regions,115,independent,105178,107853,6.58868,7edb23c91470d08d
opposing_no_ack,regions,116,independent,103836,106511,6.79089,f434cf8f782297eb
opposing_no_ack,regions,117,independent,106302,108977,6.61112,ee71fb6411e8bcba
opposing_no_ack,regions,118,independent,106906,109581,6.91786,1b566ab8e9a740ef
opposing_no_ack,regions,119,independent,106966,109641,6.65848,b1a6f8333481ad4a
opposing_no_ack,regions,120,independent,107509,110184,6.51978,9e4fb7c218b22221
opposing_no_ack,regions,121,independent,107707,110382,6.29967,e262794690d637f7
opposing_no_ack,regions,122,independent,107785,110460,6.55765,44899969c1ba8c85
opposing_no_ack,regions,123,independent,107929,110604,6.63384,9a63ad4415d75d91
opposing_no_ack,regions,124,independent,107450,110125,7.15304,331e6f37fd61a64e
opposing_no_ack,regions,125,independent,107890,110565,6.85843,0b7257ed2bf0a600
opposing_no_ack,regions,126,independent,107981,110656,6.50763,8d3c248a31384b0b
opposing_no_ack,regions,127,independent,108314,110989,6.35875,e1237500ecff0a97
opposing_no_ack,regions,128,independent,108037,110712,6.58662,6f8bf78fa41def42
opposing_no_ack,regions,129,independent,108125,110800,6.35845,4c97bb1969c64238
opposing_source_motion,baseline,106,independent,106799,109474,8.41399,ff395193d88bc8c9
opposing_source_motion,baseline,107,independent,106779,109454,7.93484,4f52882856be3545
opposing_source_motion,baseline,108,global-v1,88163,90838,7.77331,8309a486743f0a90
opposing_source_motion,baseline,109,independent,106615,109290,8.24047,149c45cd25e7b10a
opposing_source_motion,baseline,110,independent,106591,109266,8.56893,16e1934bca8f3cb8
opposing_source_motion,baseline,111,independent,105973,108648,7.95543,66b84d6b8554f57e
opposing_source_motion,baseline,112,independent,105920,108595,6.66395,9a40b907fe014bf8
opposing_source_motion,baseline,113,independent,105691,108366,8.2606,5310cff95a1ba6b0
opposing_source_motion,baseline,114,independent,105299,107974,8.20287,b0f74ef7eaa496e3
opposing_source_motion,baseline,115,independent,105178,107853,8.04191,7edb23c91470d08d
opposing_source_motion,baseline,116,global-v1,87688,90363,7.80775,f434cf8f782297eb
opposing_source_motion,baseline,117,independent,106302,108977,7.97139,ee71fb6411e8bcba
opposing_source_motion,baseline,118,independent,106906,109581,8.35848,1b566ab8e9a740ef
opposing_source_motion,baseline,119,independent,106966,109641,7.80752,b1a6f8333481ad4a
opposing_source_motion,baseline,120,independent,107509,110184,6.87501,9e4fb7c218b22221
opposing_source_motion,baseline,121,independent,107707,110382,7.75886,e262794690d637f7
opposing_source_motion,baseline,122,independent,107785,110460,8.00767,44899969c1ba8c85
opposing_source_motion,baseline,123,independent,107929,110604,7.61246,9a63ad4415d75d91
opposing_source_motion,baseline,124,independent,107450,110125,7.8404,331e6f37fd61a64e
opposing_source_motion,baseline,125,independent,107890,110565,7.68441,0b7257ed2bf0a600
opposing_source_motion,baseline,126,independent,107981,110656,8.21561,8d3c248a31384b0b
opposing_source_motion,baseline,127,independent,108314,110989,7.8384,e1237500ecff0a97
opposing_source_motion,baseline,128,independent,108037,110712,6.55863,6f8bf78fa41def42
opposing_source_motion,baseline,129,global-v1,97161,99836,7.76617,4c97bb1969c64238
opposing_source_motion,regions,106,regional-v2,88641,91316,8.11,ff395193d88bc8c9
opposing_source_motion,regions,107,regional-v2,88648,91323,7.71851,4f52882856be3545
opposing_source_motion,regions,108,regional-v2,91521,94196,8.92489,8309a486743f0a90
opposing_source_motion,regions,109,regional-v2,89215,91890,8.1803,149c45cd25e7b10a
opposing_source_motion,regions,110,regional-v2,95451,98126,7.98632,16e1934bca8f3cb8
opposing_source_motion,regions,111,regional-v2,91779,94454,7.90614,66b84d6b8554f57e
opposing_source_motion,regions,112,independent,105920,108595,6.43758,9a40b907fe014bf8
opposing_source_motion,regions,113,regional-v2,93742,96417,7.70646,5310cff95a1ba6b0
opposing_source_motion,regions,114,regional-v2,90955,93630,7.75988,b0f74ef7eaa496e3
opposing_source_motion,regions,115,independent,105178,107853,7.82563,7edb23c91470d08d
opposing_source_motion,regions,116,independent,103836,106511,7.81819,f434cf8f782297eb
opposing_source_motion,regions,117,regional-v2,90974,93649,8.59775,ee71fb6411e8bcba
opposing_source_motion,regions,118,regional-v2,82885,85560,8.71594,1b566ab8e9a740ef
opposing_source_motion,regions,119,regional-v2,89134,91809,8.10481,b1a6f8333481ad4a
opposing_source_motion,regions,120,independent,107509,110184,6.52015,9e4fb7c218b22221
opposing_source_motion,regions,121,regional-v2,82505,85180,7.63293,e262794690d637f7
opposing_source_motion,regions,122,regional-v2,85876,88551,7.75521,44899969c1ba8c85
opposing_source_motion,regions,123,regional-v2,85765,88440,7.61833,9a63ad4415d75d91
opposing_source_motion,regions,124,regional-v2,85181,87856,7.97906,331e6f37fd61a64e
opposing_source_motion,regions,125,regional-v2,81750,84425,7.65739,0b7257ed2bf0a600
opposing_source_motion,regions,126,regional-v2,84831,87506,7.70777,8d3c248a31384b0b
opposing_source_motion,regions,127,regional-v2,84947,87622,7.65683,e1237500ecff0a97
opposing_source_motion,regions,128,independent,108037,110712,6.65468,6f8bf78fa41def42
opposing_source_motion,regions,129,regional-v2,81074,83749,8.00384,4c97bb1969c64238
photo_scene_cut,baseline,106,independent,137549,140224,9.56655,9907604201420eb8
photo_scene_cut,baseline,107,global-v1,116704,119379,9.04309,bb2841026995dce4
photo_scene_cut,baseline,108,global-v1,116402,119077,9.13546,4b25f0c55c95baf5
photo_scene_cut,baseline,109,global-v1,115879,118554,9.00649,501e12b5db1beccb
photo_scene_cut,baseline,110,global-v1,115580,118255,8.7076,510ef6d472eb75e6
photo_scene_cut,baseline,111,global-v1,115322,117997,9.72318,3638496c1e09f35c
photo_scene_cut,baseline,112,independent,135630,138305,7.45521,998ad3ac0acfe1e3
photo_scene_cut,baseline,113,global-v1,114884,117559,8.7456,a166e15f4f15cd60
photo_scene_cut,baseline,114,global-v1,114237,116912,8.12974,76c532524c302baa
photo_scene_cut,baseline,115,global-v1,114031,116706,8.17331,cfdf2aa11e21078a
photo_scene_cut,baseline,116,global-v1,113682,116357,8.27801,6ee2fcad6eca2c8b
photo_scene_cut,baseline,117,global-v1,113646,116321,8.35841,2fea8c576d326550
photo_scene_cut,baseline,118,global-v1,113422,116097,8.26151,03c24d36355ce265
photo_scene_cut,baseline,119,global-v1,112956,115631,8.07765,30a4b62803c6770b
photo_scene_cut,baseline,120,independent,133774,136449,6.88983,d9b0d4392f82b3fe
photo_scene_cut,baseline,121,global-v1,112535,115210,8.12823,cb3d3fbec0e02244
photo_scene_cut,baseline,122,global-v1,112712,115387,8.43967,546a6806559d0905
photo_scene_cut,baseline,123,global-v1,112310,114985,8.34522,4c3d57cfb87b8dd7
photo_scene_cut,baseline,124,global-v1,112097,114772,8.14751,4568d429357d1fd9
photo_scene_cut,baseline,125,global-v1,112346,115021,8.1003,1a64ced8f4164ff1
photo_scene_cut,baseline,126,global-v1,111736,114411,8.26512,6ae4d3344ed2bb22
