09-07 18:16:41.490 17110 25869 I WiVRn   : [2026-09-07 18:16:41.490] [WiVRn] [info] geometry[eye 1]: view_info fov L-53.34 R53.34 U53.34 D-53.34 | layer fov L-53.34 R53.34 U53.34 D-53.34 deg | layer rect 1088x1088 | defoveated 1088x1088 | scale 0.50
09-07 18:16:41.495 17110 25869 I WiVRn   : [2026-09-07 18:16:41.495] [WiVRn] [info] render: defoveate 1088x1088 per eye x2 = 2.37 Mpx/frame at scale 0.50 atlas-mode 0; 0 re-presented from the cache (reduce_gpu_load on)
09-07 18:16:42.435 17110 26060 I WiVRn   : [2026-09-07 18:16:42.435] [WiVRn] [info] nxwarp[0] net: 143 frames closed in 2.0 s, 0 with a hole, 0 out-of-order datagrams, 0 frames completed late, 0 queued for the worker, 45 decoded so far, 260 stragglers dropped; last hole 0/0 chunks, first missing -1, short false, chunk 1166 B
09-07 18:16:42.435 17110 26060 I WiVRn   : [2026-09-07 18:16:42.435] [WiVRn] [info] nxwarp[0] net: 0.034 ms per datagram over 6317 datagrams (105.35 ms of every second)
09-07 18:16:42.435 17110 26060 I WiVRn   : [2026-09-07 18:16:42.435] [WiVRn] [info] nxwarp[0] sel: stride 1, arrival 22.1 ms, dropped-late 98, withheld 2, decoded 45
09-07 18:16:42.435 17110 26060 I WiVRn   : [2026-09-07 18:16:42.435] [WiVRn] [info] nxwarp[0] rx: 6336 datagrams, placed 83232 (+82654), late 547 (+547), stale_frame 0, bad_range 0, bad_dir 0, bad_caps 0, bad_ver 0, auth_fail 0, replay 0, frozen 0, dup 0
09-07 18:16:43.354 17110 26063 I WiVRn   : [2026-09-07 18:16:43.354] [WiVRn] [info] nxwarp[0]: 95 frames in 2.0 s: 25087 B/frame, wait-prev 0.0 ms, wall 14.4 ms, nxvc passA 3.6 passB 9.4 gpu 13.0 ms; holes 0, refused 0
09-07 18:16:43.354 17110 26063 I WiVRn   : [2026-09-07 18:16:43.354] [WiVRn] [info] nxwarp[0] gpu duty 614 ms/s (61% of one GPU) for decode alone; the display pass is extra
09-07 18:16:43.354 17110 26063 I WiVRn   : [2026-09-07 18:16:43.354] [WiVRn] [info] nxwarp[0] passB 9.4 ms = warp 0.0 + skip 0.0 + coded 0.0 + dir 0.0 + other 9.4; tiles skip 0 / coded 578 / dir 0 (eye pass 0)
09-07 18:16:43.354 17110 26063 I WiVRn   : [2026-09-07 18:16:43.354] [WiVRn] [info] nxwarp[0]: 98 frames dropped late (queue kept to 1)
