run,label,payload_mbps,encode_ms,decode_ms,fresh_fps,derived_delay_ms,holes,safety_fallbacks_postcutoff
1,A1 baseline,71.2165355,4.367857142857143,0.5,89.40794949494949,43.14181818181818,0,1
2,B2 candidate,63.74494414285714,4.858928571428572,0.6,89.68933333333334,41.46,0,0
3,B3 candidate,63.7395795,4.860714285714286,0.6,89.70383838383839,40.70363636363636,0,0
4,A4 replacement baseline,71.2609745,4.058928571428571,0.5,89.3157356995368,42.945454545454545,0,2
