frame,time_s,block_x,block_y,phase,bar_x,bar_y
1,0.0,-4.0,1.8,forward,1.5,1.3
2,0.016666666666666666,-3.7175141242937855,1.8597264872776749,forward,1.340936503980928,1.3237288135593221
3,0.03333333333333333,-3.4350282485875705,1.9183961539023846,forward,1.1859232879780512,1.347457627118644
4,0.05,-3.152542372881356,1.9749708789629943,forward,1.038907498550674,1.3711864406779661
5,0.06666666666666667,-2.870056497175141,2.028449610152478,forward,0.9036326414614987,1.3949152542372882
6,0.08333333333333333,-2.5875706214689265,2.0778860767257865,forward,0.7835432597016849,1.4186440677966101
7,0.1,-2.305084745762712,2.1224055331342417,forward,0.681697224091831,1.4423728813559322
8,0.11666666666666667,-2.0225988700564974,2.1612202370689335,forward,0.6006878698287808,1.4661016949152543
9,0.13333333333333333,-1.740112994350282,2.1936433880393826,forward,0.5425779616379945,1.4898305084745762
10,0.15,-1.4576271186440675,2.219101279853552,forward,0.5088471689959928,1.5135593220338983
11,0.16666666666666666,-1.175141242937853,2.2371434519691196,forward,0.5003543888765474,1.5372881355932204
12,0.18333333333333332,-0.8926553672316384,2.247450660094562,forward,0.517315875407479,1.5610169491525423
13,0.2,-0.6101694915254234,2.2498405250055535,forward,0.5592997333289668,1.5847457627118644
14,0.21666666666666667,-0.3276836158192089,2.244270759624605,forward,0.6252369154680387,1.6084745762711865
15,0.23333333333333334,-0.04519774011299438,2.2308399172629025,forward,0.7134484441973574,1.6322033898305084
16,0.25,0.2372881355932206,2.209785647784711,forward,0.8216881637303838,1.6559322033898305
17,0.26666666666666666,0.519774011299436,2.181480492550352,forward,0.9471999346388064,1.6796610169491526
18,0.2833333333333333,0.8022598870056505,2.1464252925434577,forward,1.0867878142316219,1.7033898305084745
19,0.3,1.084745762711865,2.105240326321327,forward,1.2368974357724787,1.7271186440677966
20,0.31666666666666665,1.3672316384180796,2.058654334596483,forward,1.3937065143526346,1.7508474576271187
21,0.3333333333333333,1.6497175141242941,2.0074916256521966,forward,1.5532221748421784,1.7745762711864406
22,0.35,1.9322033898305087,1.9526574897531137,forward,1.7113826236296241,1.7983050847457627
23,0.36666666666666664,2.214689265536723,1.895122180633331,forward,1.8641605752528219,1.8220338983050848
24,0.38333333333333336,2.4971751412429377,1.8359037474988873,forward,2.0076658003388403,1.8457627118644067
25,0.4,2.779661016949153,1.7760500213210195,forward,2.13824418364482,1.869491525423729
26,0.4166666666666667,3.0,1.7166200741607989,stop,2.2525707698561384,1.8932203389830509
27,0.43333333333333335,3.0,1.658665479590123,stop,2.347734427889671,1.9169491525423727
28,0.45,3.0,1.6032117057935151,stop,2.4213119778704133,1.940677966101695
29,0.4666666666666667,3.0,1.551239970587463,stop,2.47142989326471,1.964406779661017
30,0.48333333333333334,3.0,1.5036698794207328,stop,2.49681200703075,1.988135593220339
31,0.5,3.0,1.4613431535647377,stop,2.4968120070307505,2.0118644067796607
32,0.5166666666666667,2.9209039548022595,1.425008736412868,reverse,2.47142989326471,2.035593220338983
33,0.5333333333333333,2.6737288135593222,1.3953095414229515,reverse,2.4213119778704133,2.059322033898305
34,0.55,2.426553672316385,1.3727710761892284,reverse,2.3477344278896712,2.083050847457627
35,0.5666666666666667,2.1793785310734464,1.3577921439333656,reverse,2.2525707698561384,2.106779661016949
36,0.5833333333333334,1.932203389830509,1.350637786945457,reverse,2.1382441836448205,2.130508474576271
37,0.6,1.6850282485875703,1.3514345968361625,reverse,2.00766580033884,2.1542372881355933
38,0.6166666666666667,1.437853107344633,1.36016847458196,reverse,1.8641605752528219,2.1779661016949152
39,0.6333333333333333,1.190677966101696,1.376684879998035,reverse,1.7113826236296243,2.201694915254237
40,0.65,0.9435028248587569,1.400691566224543,reverse,1.5532221748421793,2.2254237288135594
41,0.6666666666666666,0.6963276836158196,1.431763750841324,reverse,1.3937065143526348,2.2491525423728813
42,0.6833333333333333,0.44915254237288105,1.4693516321116196,reverse,1.2368974357724787,2.2728813559322036
43,0.7,0.20197740112994378,1.5127901173598308,reverse,1.0867878142316223,2.2966101694915255
44,0.7166666666666667,-0.04519774011299349,1.5613105913461158,reverse,0.9471999346388075,2.3203389830508474
45,0.7333333333333333,-0.29237288135593253,1.61405451640423,reverse,0.8216881637303843,2.3440677966101697
46,0.75,-0.5395480225988698,1.6700886236971701,reverse,0.7134484441973576,2.367796610169491
47,0.7666666666666667,-0.786723163841808,1.7284214267914177,reverse,0.6252369154680382,2.3915254237288135
48,0.7833333333333333,-1.0338983050847448,1.7880207653530011,reverse,0.5592997333289671,2.415254237288136
49,0.8,-1.2810734463276843,1.8478320685413148,reverse,0.517315875407479,2.4389830508474577
50,0.8166666666666667,-1.528248587570621,1.9067970149420017,reverse,0.5003543888765474,2.4627118644067796
51,0.8333333333333334,-1.7754237288135588,1.9638722588637696,reverse,0.5088471689959927,2.486440677966102
52,0.85,-2.0225988700564974,2.018047891649693,reverse,0.5425779616379945,2.510169491525424
53,0.8666666666666667,-2.2697740112994342,2.0683653113423257,reverse,0.6006878698287806,2.5338983050847457
54,0.8833333333333333,-2.5169491525423737,2.113934184510743,reverse,0.6816972240918304,2.557627118644068
55,0.9,-2.7641242937853105,2.153948200111189,reverse,0.7835432597016851,2.58135593220339
56,0.9166666666666666,-3.0112994350282474,2.1876993366272126,reverse,0.9036326414614986,2.6050847457627118
