eligible_frames_ge4px,frames,mean_centroid_residual_px,mean_centroid_second_difference_rms_px,mean_projected_progress,mean_rmse,method,valid_centroids,window
54,57,30.760073464085185,7.027387875823271,0.0,29.233794666666665,held,57,8
54,57,23.65298764940427,7.472501843407056,0.23018640946462657,26.772913087719296,cap,57,8
54,57,18.75117457465366,10.02964530238765,0.3961776250096076,25.76480105263158,medium,57,8
54,57,19.937494016101827,7.5327823044068305,0.3519850221356645,27.05954001754386,history,57,8
54,57,19.023664805940513,8.897445638345577,0.3852094543367112,26.548409614035087,reject,57,8
,57,25.32403796154123,8.94383892537829,,27.611733526315792,cap,57,4
,57,20.492889244652048,11.979391480544482,,27.098081403508772,medium,57,4
,57,21.281735219739854,9.317016137940694,,28.384685912280702,history,57,4
,57,28.749460574784155,9.571789202302698,,29.217459368421054,cap,57,2
,57,24.890509838418257,10.96930605580988,,29.3939601754386,medium,57,2
,57,26.102274316427998,9.30295302911116,,30.59254398245614,history,57,2
