frame,method,phase,rmse,centroid_dx,centroid_dy
15,reject,forward,35.197551,-28.949240664716285,1.0563624607022462
16,reject,forward,34.204716,-22.570571457063295,-4.149609580641595
17,reject,forward,32.878758,-22.459121573249945,-4.531908085212365
18,reject,forward,31.983533,-18.275728417271296,-9.434548115482357
19,reject,forward,29.405023,-21.248198074115237,-6.826615893609016
20,reject,forward,26.673855,-30.296117989404763,-1.9605893935083145
21,reject,forward,21.406073,-31.943209908858535,0.25191157686441557
22,reject,forward,23.312484,-17.228938530134997,0.985134366572936
23,reject,forward,20.524316,-0.9497283673434822,1.1656298439983743
24,reject,stop,22.535204,6.7549185011367285,-2.9253911372748007
25,reject,stop,20.113888,-1.5195705972246287,-2.936589753108251
26,reject,stop,20.972169,-1.3768530033897832,-2.63544542853208
27,reject,stop,18.760536,2.8174331735544342,-2.4170030660275756
28,reject,stop,15.384175,5.154824685719177,-1.386814941689579
29,reject,stop,19.116775,12.865283036901587,-0.4414159364202419
30,reject,reverse,19.832954,24.947321935490265,0.20729846094872073
31,reject,reverse,18.057274,25.394479835149184,-5.342304555752435
32,reject,reverse,17.575401,21.193328119926605,-2.0501711497373094
33,reject,reverse,21.37592,16.553532885037953,-1.0470851423398813
34,reject,reverse,22.74226,14.981610783196686,2.685904483760112
35,reject,reverse,25.776805,16.667025302674347,3.952307936331124
36,reject,reverse,29.242392,19.6724008942125,3.805449726998802
37,reject,reverse,28.44364,15.047120368249693,-0.05631863789994895
38,reject,reverse,30.18022,13.89639225347321,-1.619819489886936
39,reject,reverse,29.523815,24.98088657323251,-1.861750790346889
40,reject,reverse,28.534315,18.656053584613744,0.19245549265735917
41,reject,reverse,27.930206,17.93919715489281,2.4336820839392885
42,reject,reverse,28.206547,22.29093698310973,1.1615593589716013
43,reject,reverse,28.297339,21.150884085334525,-4.713914650202639
44,reject,reverse,28.903185,21.972463653817982,-4.005507622980986
45,reject,reverse,27.387495,21.087967091832184,6.982650708224526
46,reject,reverse,30.69547,19.92585057858369,8.807582013479589
47,reject,reverse,27.77287,21.49489542992299,2.0182677316120703
48,reject,reverse,26.444671,15.877390795611817,0.5386575121627857
49,reject,reverse,25.181429,15.64045616644816,1.2741719050300162
50,reject,reverse,20.486567,18.633560779345714,0.41696434447078445
51,reject,reverse,20.434227,19.60998518358022,0.40638470693414774
52,reject,reverse,20.628425,15.635643803579669,-0.20428752190485966
53,reject,reverse,23.789879,7.732405962161884,2.649173264273543
54,reject,reverse,25.041098,9.870952587300394,1.7515174626728367
55,reject,reverse,22.892096,8.643800121412717,-0.9257915509894588
56,reject,reverse,20.419103,9.973358760368583,0.21981780462743927
