(-0.003,0.021) (-0.003,0.021) (0.005,0.013) (0.018,0.002) (0.017,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.023,-0.008) (0.016,0.001) (0.017,0.001) (0.016,0.001) (0.000,0.016) (0.008,0.008) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.015,-0.000) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.015,-0.001) (0.015,-0.002) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.008,0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.002) (0.015,-0.004) (0.015,-0.003) (0.015,-0.002) (0.015,-0.002) (0.015,-0.002) (0.015,-0.002) (0.016,-0.002) (0.015,-0.001) (0.016,-0.001) (0.016,-0.000) (0.016,-0.000) (0.016,-0.002) (0.016,-0.003) (0.016,-0.003) (0.016,-0.004) (0.016,-0.004) (0.016,-0.003) (0.016,-0.003) (0.016,-0.003) (0.015,-0.005) (0.015,-0.007) (0.008,-0.026)
(0.000,0.022) (0.000,0.022) (0.007,0.014) (0.017,0.002) (0.017,0.001) (0.023,-0.009) (0.016,0.000) (0.016,0.000) (0.023,-0.008) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.001) (0.008,0.008) (0.008,0.008) (0.015,-0.001) (0.015,-0.001) (0.015,-0.002) (0.015,-0.002) (0.015,-0.003) (0.015,-0.003) (0.014,-0.003) (0.016,0.000) (0.016,0.000) (0.008,0.000) (0.008,0.000) (0.015,0.002) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.002) (0.015,-0.001) (0.015,-0.003) (0.015,-0.002) (0.015,-0.001) (0.015,-0.002) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.002) (0.016,-0.001) (0.016,-0.004) (0.016,-0.003) (0.015,-0.005) (0.016,-0.004) (0.016,-0.005) (0.015,-0.006) (0.015,-0.006) (0.015,-0.006) (0.015,-0.006) (0.016,-0.008)
(0.002,0.023) (0.001,0.024) (0.001,0.024) (0.007,0.014) (0.016,0.001) (0.022,-0.010) (0.016,0.001) (0.023,-0.009) (0.023,-0.009) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.002) (0.015,-0.003) (0.015,-0.003) (0.015,-0.003) (0.014,-0.001) (0.014,0.000) (0.014,0.000) (0.008,0.000) (0.008,0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.004) (0.016,-0.006) (0.016,-0.008) (0.016,-0.009) (0.015,-0.005) (0.015,-0.004) (0.015,-0.004) (0.023,0.016) (0.023,0.010)
(0.002,0.025) (0.008,0.016) (0.008,0.015) (0.007,0.015) (0.017,0.001) (0.017,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.016,-0.001) (0.016,-0.001) (0.015,-0.000) (0.016,-0.001) (0.015,0.000) (0.015,0.000) (0.015,0.001) (0.013,0.002) (0.014,0.001) (0.013,0.001) (0.008,0.000) (0.008,0.000) (0.015,0.000) (0.014,-0.000) (0.015,-0.001) (0.015,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.001) (0.015,0.005) (0.016,0.001) (0.016,-0.004) (0.016,-0.005) (0.016,0.003) (0.016,0.002) (0.015,0.001) (0.014,0.001) (0.014,0.001) (0.012,0.000)
(-0.000,0.031) (-0.000,0.030) (0.008,0.016) (0.016,0.001) (0.017,0.002) (0.008,0.015) (0.008,0.015) (0.007,0.015) (0.007,0.015) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.002) (0.016,-0.000) (0.016,0.000) (0.015,0.002) (0.015,0.002) (0.015,0.003) (0.015,0.001) (0.015,0.001) (0.014,0.001) (0.013,0.001) (0.013,0.001) (0.012,-0.000) (0.008,0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.016,0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.016,0.000) (0.016,0.000) (0.016,0.002) (0.016,0.003) (0.015,0.006) (0.015,0.006) (0.016,0.004) (0.017,0.001) (0.016,0.000) (0.017,-0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.000) (0.013,-0.000)
(-0.005,0.041) (0.001,0.034) (0.009,0.017) (0.016,0.002) (0.024,-0.015) (0.024,-0.015) (0.016,0.001) (0.016,0.002) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.015,0.000) (0.015,-0.000) (0.015,-0.000) (0.016,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,0.000) (0.016,-0.001) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,0.000) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.016,0.001) (0.015,0.001) (0.014,0.001) (0.012,-0.000) (0.014,0.000) (0.012,0.001) (0.016,0.000) (0.015,-0.000) (0.015,-0.000) (0.016,-0.000) (0.015,-0.001) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,-0.000) (0.015,0.000) (0.015,0.000) (0.016,0.000) (0.016,0.001) (0.016,0.001) (0.016,0.003) (0.016,0.004) (0.016,0.004) (0.017,0.003) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.000) (0.014,-0.000)
(-0.001,0.038) (-0.001,0.037) (0.015,0.006) (0.017,0.004) (0.016,0.002) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.015,0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,0.000) (0.015,0.000) (0.015,-0.000) (0.015,0.000) (0.015,0.000) (0.014,0.001) (0.014,0.002) (0.015,0.002) (0.015,0.002) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.013,0.001) (0.000,0.000) (0.012,0.000) (0.011,0.001) (0.014,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.016,0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,0.000) (0.015,0.000) (0.016,0.000) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.017,0.002) (0.017,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.014,-0.000)
(0.014,0.016) (0.016,0.008) (0.015,0.006) (0.015,0.005) (0.016,0.003) (0.016,0.001) (0.016,0.001) (0.016,0.002) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,0.000) (0.015,-0.001) (0.015,-0.000) (0.016,0.000) (0.015,0.000) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.000) (0.015,0.000) (0.015,0.000) (0.015,0.000) (0.014,0.001) (0.014,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.013,0.000) (0.004,0.001) (0.014,0.000) (0.014,-0.000) (0.014,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.015,-0.001) (0.015,-0.000) (0.015,-0.000) (0.015,0.000) (0.015,0.000) (0.016,0.000) (0.016,0.001) (0.016,0.000) (0.016,0.001) (0.017,0.002) (0.017,-0.002) (0.016,-0.003) (0.016,-0.002) (0.016,-0.002) (0.016,-0.002) (0.015,-0.001)
(0.016,0.010) (0.016,0.008) (0.016,0.006) (0.015,0.004) (0.016,0.004) (0.016,0.004) (0.016,0.004) (0.016,0.004) (0.016,0.004) (0.016,0.004) (0.016,0.003) (0.015,0.002) (0.015,-0.001) (0.015,-0.002) (0.015,-0.001) (0.016,-0.000) (0.015,0.000) (0.015,0.001) (0.015,0.001) (0.014,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.014,0.001) (0.013,0.001) (0.014,0.001) (0.014,0.001) (0.032,0.008) (0.016,0.001) (0.015,0.001) (0.015,0.001) (0.016,0.000) (0.016,0.000) (0.013,0.003) (0.015,0.003) (0.016,0.003) (0.015,0.003) (0.015,0.002) (0.015,0.000) (0.014,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.008,0.009) (0.008,0.008) (0.015,-0.001) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.016,0.000) (0.016,0.001) (0.017,-0.003) (0.016,0.001) (0.016,0.004) (0.016,0.002) (0.015,0.004) (0.015,0.004)
(0.018,0.002) (0.018,0.001) (0.018,0.000) (0.017,0.000) (0.017,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,0.001) (0.015,0.001) (0.015,0.000) (0.014,-0.002) (0.015,-0.003) (0.015,-0.001) (0.016,0.000) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.000) (0.015,0.001) (0.015,0.001) (0.014,0.000) (0.014,0.001) (0.013,0.001) (0.013,0.000) (0.013,0.001) (0.032,0.007) (0.031,0.008) (0.016,0.002) (0.015,0.001) (0.015,0.001) (0.015,0.000) (0.015,0.000) (0.015,0.000) (0.016,0.000) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.014,0.002) (0.015,0.000) (0.015,-0.001) (0.015,-0.001) (0.008,0.009) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,0.000) (0.016,0.000) (0.017,-0.001) (0.016,0.015) (0.016,0.014) (0.016,0.008) (0.015,0.007) (0.014,0.008)
