variant,run,case,frame_id,mode,reference_id,encode_ms,wire_bytes,detail_bytes,decoded_raw_bytes,decoded_raw_fnv1a64,wire_fnv1a64
baseline,run2,scene_a_motion,220,motion,219,8.8029,68748,66073,722128,9699386f4ccbbce4,7d896153e4db278e
baseline,run2,scene_a_motion,221,motion,220,8.9538,68421,65746,722128,0f2b2763b4a6c70c,59643959f8cf4d81
baseline,run2,scene_a_motion,222,motion,221,8.8682,68651,65976,722128,cc72a0676ed89484,9a8da1d2c7aa099a
baseline,run2,scene_a_motion,223,motion,222,8.7148,68496,65821,722128,08b6cd853f8f0ef6,8b49e9c453bd10bf
baseline,run2,scene_a_motion,224,independent,0,6.2658,108390,105715,722128,1d9f2613e564bd13,921c7012b8e265d9
baseline,run2,scene_a_motion,225,motion,224,8.3763,68194,65519,722128,1945d4166d577fbd,ff8ae78dfb0c90a6
baseline,run2,scene_a_motion,226,motion,225,8.4653,68306,65631,722128,b68dab58bf1b0332,20a4c8a682c7a0d3
baseline,run2,scene_a_motion,227,motion,226,8.7995,68127,65452,722128,fd87d0e38b28bf3c,988e0aaec3eb7ee6
baseline,run2,scene_a_motion,228,motion,227,8.7857,68628,65953,722128,65aaf509e73b0723,e4a703717f0e7a35
baseline,run2,scene_a_motion,229,motion,228,8.7066,68461,65786,722128,e6054ffa45837d2c,db65e35ccfbf3223
baseline,run2,scene_a_zero_ack_fallback,206,independent,0,3.4646,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,207,independent,0,3.4843,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,208,independent,0,3.4918,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,209,independent,0,3.6130,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,210,independent,0,3.5240,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,211,independent,0,3.5369,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,212,independent,0,3.3825,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,213,independent,0,3.5066,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,214,independent,0,3.5053,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,215,independent,0,3.4164,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,216,independent,0,3.4737,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,217,independent,0,3.5049,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,218,independent,0,3.5094,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,219,independent,0,3.7021,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,220,independent,0,3.5418,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,221,independent,0,3.5042,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,222,independent,0,3.7848,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,223,independent,0,3.7100,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,224,independent,0,3.5988,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,225,independent,0,3.6832,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,226,independent,0,3.5965,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,227,independent,0,3.6319,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,228,independent,0,3.6798,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run2,scene_a_zero_ack_fallback,229,independent,0,3.7937,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
