variant,run,case,frame_id,mode,reference_id,encode_ms,wire_bytes,detail_bytes,decoded_raw_bytes,decoded_raw_fnv1a64,wire_fnv1a64
candidate,BAAB2,scene_a_zero_ack_fallback,227,independent,0,4.5862,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
candidate,BAAB2,scene_a_zero_ack_fallback,228,independent,0,4.0012,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
candidate,BAAB2,scene_a_zero_ack_fallback,229,independent,0,4.3008,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,206,independent,0,3.7540,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,207,independent,0,3.5180,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,208,independent,0,3.7860,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,209,independent,0,3.4700,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,210,independent,0,3.6634,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,211,independent,0,3.4401,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,212,independent,0,3.6270,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,213,independent,0,3.5699,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,214,independent,0,3.4419,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,215,independent,0,3.4687,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,216,independent,0,3.6916,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,217,independent,0,3.8087,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,218,independent,0,3.6191,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,219,independent,0,3.4648,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,220,independent,0,3.6226,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,221,independent,0,3.7168,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,BAAB1,scene_a_zero_ack_fallback,222,independent,0,3.9806,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
