seconds,budget_mbps,equivalent_capacity_mbps,lost_frames,queue_ms
25.400,568.850033,1000,129,6.3206
25.500,651.807363,1000,129,7.2423
25.600,651.807363,1000,129,7.2423
25.700,651.807363,1000,129,7.2423
25.800,651.807363,1000,129,7.2423
25.900,651.807363,1000,129,7.2423
26.000,651.807363,1000,129,7.2423
26.100,651.807363,1000,129,7.2423
26.200,651.807363,1000,129,7.2423
26.300,651.807363,1000,129,7.2423
26.400,651.807363,1000,129,7.2423
26.500,746.862642,1000,129,8.2985
26.600,746.862642,1000,129,8.2985
26.700,746.862642,1000,129,8.2985
26.800,746.862642,1000,129,8.2985
26.900,746.862642,1000,129,8.2985
27.000,746.862642,1000,129,8.2985
27.100,746.862642,1000,129,8.2985
27.200,746.862642,1000,129,8.2985
27.300,746.862642,1000,129,8.2985
27.400,746.862642,1000,129,8.2985
27.500,746.862642,1000,129,8.2985
27.600,855.780155,1000,129,9.5087
27.700,855.780155,1000,129,9.5087
27.800,855.780155,1000,129,9.5087
27.900,855.780155,1000,129,9.5087
28.000,855.780155,1000,129,9.5087
28.100,855.780155,1000,129,9.5087
28.200,855.780155,1000,129,9.5087
28.300,855.780155,1000,129,9.5087
28.400,855.780155,1000,129,9.5087
28.500,855.780155,1000,129,9.5087
28.600,980.581479,1000,129,10.8954
28.700,980.581479,1000,129,10.8954
28.800,980.581479,1000,129,10.8954
28.900,980.581479,1000,129,10.8954
29.000,980.581479,1000,129,10.8954
29.100,980.581479,1000,129,10.8954
29.200,980.581479,1000,129,10.8954
29.300,980.581479,1000,129,10.8954
29.400,980.581479,1000,129,10.8954
29.500,980.581479,1000,129,10.8954
29.600,980.581479,1000,129,10.8954
29.700,1000.000000,1000,129,11.1113
29.800,1000.000000,1000,129,11.1115
29.900,1000.000000,1000,129,11.1118
30.000,1000.000000,1000,129,11.1120
30.100,1000.000000,1000,129,11.1122
30.200,1000.000000,1000,129,11.1124
30.300,1000.000000,1000,129,11.1127
30.400,1000.000000,1000,129,11.1129
30.500,1000.000000,1000,129,11.1131
30.600,1000.000000,1000,129,11.1133
30.700,1000.000000,1000,129,11.1136
30.800,1000.000000,1000,129,11.1138
30.900,1000.000000,1000,129,11.1140
31.000,1000.000000,1000,129,11.1142
31.100,1000.000000,1000,129,11.1144
31.200,1000.000000,1000,129,11.1147
31.300,1000.000000,1000,129,11.1149
31.400,1000.000000,1000,129,11.1151
31.500,1000.000000,1000,129,11.1153
31.600,1000.000000,1000,129,11.1156
31.700,1000.000000,1000,129,11.1158
31.800,1000.000000,1000,129,11.1160
31.900,1000.000000,1000,129,11.1162
32.000,1000.000000,1000,129,11.1165
32.100,1000.000000,1000,129,11.1167
32.200,1000.000000,1000,129,11.1169
32.300,1000.000000,1000,129,11.1171
32.400,1000.000000,1000,129,11.1174
32.500,1000.000000,1000,129,11.1176
32.600,1000.000000,1000,129,11.1178
32.700,1000.000000,1000,129,11.1180
32.800,1000.000000,1000,129,11.1183
32.900,1000.000000,1000,129,11.1185
33.000,1000.000000,1000,129,11.1187
33.100,1000.000000,1000,129,11.1189
33.200,1000.000000,1000,129,11.1192
33.300,1000.000000,1000,129,11.1194
33.400,1000.000000,1000,129,11.1196
33.500,1000.000000,1000,129,11.1198
