frame 33: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.595  submit 0.515  passA 1.718  passW 0.000  passB 5.311  gpu 7.029  total 9.457 ms
frame 34: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.473  submit 0.427  passA 3.645  passW 0.000  passB 4.516  gpu 8.161  total 9.195 ms
frame 35: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.467  submit 0.401  passA 1.745  passW 0.000  passB 6.298  gpu 8.043  total 11.190 ms
frame 36: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.566  submit 0.617  passA 1.687  passW 0.000  passB 7.055  gpu 8.742  total 11.302 ms
frame 37: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.542  submit 0.535  passA 1.886  passW 0.000  passB 5.330  gpu 7.216  total 9.537 ms
frame 38: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.462  submit 0.537  passA 1.806  passW 0.000  passB 5.343  gpu 7.149  total 12.191 ms
frame 39: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.483  submit 0.393  passA 1.672  passW 0.000  passB 6.279  gpu 7.951  total 8.997 ms
frame 40: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.451  submit 0.432  passA 2.739  passW 0.000  passB 6.315  gpu 9.054  total 11.442 ms
frame 41: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.471  submit 0.435  passA 1.819  passW 0.000  passB 5.336  gpu 7.155  total 9.597 ms
frame 42: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.089  submit 0.487  passA 1.747  passW 0.000  passB 5.279  gpu 7.026  total 11.345 ms
frame 43: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.433  submit 0.372  passA 1.837  passW 0.000  passB 6.296  gpu 8.133  total 9.093 ms
frame 44: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.569  submit 0.507  passA 2.618  passW 0.000  passB 6.364  gpu 8.982  total 11.354 ms
frame 45: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.520  submit 0.472  passA 1.798  passW 0.000  passB 5.305  gpu 7.103  total 9.491 ms
frame 46: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.084  submit 0.392  passA 1.857  passW 0.000  passB 5.300  gpu 7.157  total 11.680 ms
