frame 33: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.524  submit 0.504  passA 2.595  passW 0.000  passB 4.955  gpu 7.550  total 10.027 ms
frame 34: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.455  submit 0.758  passA 1.831  passW 0.000  passB 4.104  gpu 5.935  total 8.355 ms
frame 35: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.511  submit 0.452  passA 1.765  passW 0.000  passB 4.949  gpu 6.714  total 7.817 ms
frame 36: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.526  submit 0.456  passA 1.699  passW 0.000  passB 4.012  gpu 5.711  total 8.166 ms
frame 37: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.508  submit 0.454  passA 3.529  passW 0.000  passB 3.270  gpu 6.799  total 7.961 ms
frame 38: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.524  submit 0.507  passA 1.855  passW 0.000  passB 4.990  gpu 6.845  total 9.921 ms
frame 39: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.535  submit 0.526  passA 1.815  passW 0.000  passB 4.052  gpu 5.866  total 8.461 ms
frame 40: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.505  submit 0.423  passA 3.675  passW 0.000  passB 3.269  gpu 6.944  total 8.016 ms
frame 41: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.535  submit 0.467  passA 2.658  passW 0.000  passB 5.087  gpu 7.745  total 10.146 ms
frame 42: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.534  submit 0.530  passA 1.700  passW 0.000  passB 3.966  gpu 5.666  total 8.086 ms
frame 43: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.477  submit 0.655  passA 1.861  passW 0.000  passB 5.093  gpu 6.954  total 8.236 ms
frame 44: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.458  submit 0.429  passA 2.657  passW 0.000  passB 3.280  gpu 5.938  total 8.336 ms
frame 45: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.222  submit 0.398  passA 1.680  passW 0.000  passB 3.147  gpu 4.828  total 6.970 ms
frame 46: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.440  submit 0.376  passA 1.852  passW 0.000  passB 4.993  gpu 6.846  total 9.964 ms
frame 47: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.482  submit 0.493  passA 1.935  passW 0.000  passB 4.202  gpu 6.137  total 8.487 ms
frame 48: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.466  submit 2.889  passA 1.771  passW 0.000  passB 3.190  gpu 4.962  total 9.061 ms
frame 49: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.488  submit 0.436  passA 1.829  passW 0.000  passB 5.056  gpu 6.885  total 9.999 ms
frame 50: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.452  submit 0.409  passA 1.881  passW 0.000  passB 4.161  gpu 6.042  total 8.401 ms
frame 51: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.548  submit 0.511  passA 3.551  passW 0.000  passB 3.237  gpu 6.788  total 7.976 ms
frame 52: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.539  submit 0.537  passA 2.711  passW 0.000  passB 5.086  gpu 7.797  total 10.181 ms
frame 53: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.555  submit 0.520  passA 1.792  passW 0.000  passB 4.010  gpu 5.803  total 8.247 ms
frame 54: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.543  submit 0.383  passA 1.668  passW 0.000  passB 4.958  gpu 6.626  total 7.695 ms
frame 55: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.443  submit 0.406  passA 1.777  passW 0.000  passB 4.075  gpu 5.852  total 8.221 ms
frame 56: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.482  submit 0.457  passA 1.840  passW 0.000  passB 3.212  gpu 5.052  total 7.469 ms
frame 57: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.674  submit 0.446  passA 1.750  passW 0.000  passB 5.020  gpu 6.771  total 9.962 ms
frame 58: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.555  submit 0.438  passA 1.861  passW 0.000  passB 4.055  gpu 5.916  total 8.304 ms
frame 59: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.464  submit 0.496  passA 3.512  passW 0.000  passB 3.298  gpu 6.811  total 7.915 ms
decode-throughput status complete (decode-only, --no-out): 60 frames, 1.342499 s, 44.693 fps, frame wall ms max 786.047 p50 8.337 p95 13.779 p99 786.047, <=4.167ms 0.0%
60 frame(s), 1856x928 yuv420p on Adreno (TM) 650
