frame 33: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.791  submit 0.526  passA 3.503  passW 0.000  passB 4.480  gpu 7.983  total 9.439 ms
frame 34: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.511  submit 0.473  passA 1.839  passW 0.000  passB 6.254  gpu 8.093  total 11.182 ms
frame 35: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.565  submit 0.610  passA 1.800  passW 0.000  passB 7.089  gpu 8.889  total 11.348 ms
frame 36: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.553  submit 0.623  passA 1.683  passW 0.000  passB 5.304  gpu 6.987  total 9.397 ms
frame 37: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.474  submit 0.435  passA 3.694  passW 0.000  passB 4.504  gpu 8.199  total 9.240 ms
frame 38: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.467  submit 0.404  passA 1.764  passW 0.000  passB 6.260  gpu 8.024  total 11.179 ms
frame 39: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.519  submit 0.500  passA 1.739  passW 0.000  passB 7.019  gpu 8.758  total 11.144 ms
frame 40: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.556  submit 0.560  passA 1.872  passW 0.000  passB 5.299  gpu 7.171  total 9.611 ms
frame 41: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.618  submit 0.613  passA 1.865  passW 0.000  passB 5.320  gpu 7.186  total 12.417 ms
frame 42: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.561  submit 0.586  passA 1.700  passW 0.000  passB 6.219  gpu 7.919  total 9.175 ms
frame 43: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.544  submit 0.505  passA 2.675  passW 0.000  passB 6.254  gpu 8.929  total 11.301 ms
frame 44: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.460  submit 0.658  passA 1.789  passW 0.000  passB 5.314  gpu 7.103  total 9.685 ms
frame 45: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.535  submit 0.446  passA 1.779  passW 0.000  passB 5.253  gpu 7.033  total 11.151 ms
frame 46: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.714  submit 0.667  passA 3.602  passW 0.000  passB 4.517  gpu 8.120  total 9.594 ms
frame 47: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.521  submit 0.521  passA 2.622  passW 0.000  passB 6.355  gpu 8.977  total 11.385 ms
frame 48: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.580  submit 0.579  passA 1.777  passW 0.000  passB 7.003  gpu 8.781  total 11.192 ms
