frame 33: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.531  submit 0.501  passA 1.743  passW 0.000  passB 10.001  gpu 11.745  total 14.171 ms
frame 34: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.448  submit 0.414  passA 1.779  passW 0.000  passB 9.990  gpu 11.769  total 14.096 ms
frame 35: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.482  submit 0.401  passA 1.855  passW 0.000  passB 10.053  gpu 11.909  total 14.307 ms
frame 36: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.517  submit 0.533  passA 1.743  passW 0.000  passB 9.965  gpu 11.709  total 14.070 ms
frame 37: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.447  submit 0.410  passA 1.789  passW 0.000  passB 10.143  gpu 11.932  total 14.369 ms
frame 38: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.566  submit 0.510  passA 2.847  passW 0.000  passB 9.245  gpu 12.092  total 14.434 ms
frame 39: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.460  submit 0.491  passA 2.623  passW 0.000  passB 9.163  gpu 11.786  total 14.337 ms
frame 40: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.578  submit 0.435  passA 1.879  passW 0.000  passB 9.140  gpu 11.019  total 14.084 ms
frame 41: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.467  submit 0.452  passA 1.869  passW 0.000  passB 9.109  gpu 10.978  total 14.056 ms
frame 42: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.444  submit 0.559  passA 1.638  passW 0.000  passB 9.133  gpu 10.772  total 13.903 ms
frame 43: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.622  submit 0.450  passA 1.782  passW 0.000  passB 9.178  gpu 10.960  total 14.085 ms
frame 44: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.644  submit 0.646  passA 1.890  passW 0.000  passB 9.215  gpu 11.105  total 14.189 ms
frame 45: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.627  submit 0.574  passA 1.754  passW 0.000  passB 9.196  gpu 10.950  total 14.015 ms
frame 46: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.607  submit 0.443  passA 1.832  passW 0.000  passB 8.282  gpu 10.113  total 17.440 ms
frame 47: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.527  submit 0.589  passA 1.957  passW 0.000  passB 8.356  gpu 10.313  total 14.518 ms
frame 48: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.569  submit 0.442  passA 1.736  passW 0.000  passB 8.398  gpu 10.134  total 14.277 ms
frame 49: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.535  submit 0.448  passA 1.777  passW 0.000  passB 9.990  gpu 11.768  total 15.986 ms
frame 50: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.537  submit 0.483  passA 1.762  passW 0.000  passB 10.167  gpu 11.929  total 14.436 ms
frame 51: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.525  submit 0.451  passA 1.742  passW 0.000  passB 10.060  gpu 11.803  total 14.149 ms
frame 52: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.524  submit 0.531  passA 1.863  passW 0.000  passB 10.080  gpu 11.943  total 14.471 ms
frame 53: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.526  submit 0.506  passA 1.780  passW 0.000  passB 10.042  gpu 11.822  total 14.308 ms
frame 54: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.513  submit 0.457  passA 1.716  passW 0.000  passB 10.121  gpu 11.837  total 14.208 ms
frame 55: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.524  submit 0.517  passA 1.770  passW 0.000  passB 10.090  gpu 11.861  total 14.287 ms
frame 56: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.518  submit 0.462  passA 2.675  passW 0.000  passB 9.207  gpu 11.882  total 14.233 ms
frame 57: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.541  submit 0.490  passA 2.683  passW 0.000  passB 9.072  gpu 11.755  total 14.190 ms
frame 58: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.546  submit 0.551  passA 2.782  passW 0.000  passB 9.208  gpu 11.991  total 14.444 ms
frame 59: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.460  submit 0.597  passA 1.781  passW 0.000  passB 9.264  gpu 11.045  total 14.127 ms
decode-throughput status complete (decode-only, --no-out): 60 frames, 1.691980 s, 35.461 fps, frame wall ms max 807.490 p50 14.250 p95 18.230 p99 807.490, <=4.167ms 0.0%
60 frame(s), 1856x928 yuv420p on Adreno (TM) 650
