case,regions,run,variant,phase,frame,mode,body_version,wire_bytes,detail_bytes,encode_ms,raw_fnv64,oracle_match
forest-pan,global,1,candidate,measure-19,measure,global,3,77713,75038,9.16124,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-20,measure,global,3,77713,75038,9.23437,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-21,measure,global,3,77713,75038,9.48545,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-22,measure,global,3,77713,75038,9.02222,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-23,measure,global,3,77713,75038,9.29457,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-24,measure,global,3,77713,75038,9.36123,8030ea57249b6c82,1
forest-pan,global,2,candidate,control,anchor,row-v3,3,91303,88628,9.24376,743740e50850356b,1
forest-pan,global,2,candidate,control,no-ack,row-v3,3,91221,88546,8.26175,8030ea57249b6c82,1
forest-pan,global,2,candidate,control,ack-pair,global,3,77713,75038,9.86691,8030ea57249b6c82,1
forest-pan,global,2,candidate,control,forgot-ref,row-v3,3,91221,88546,8.02673,8030ea57249b6c82,1
forest-pan,global,2,candidate,control,anchor-id8,row-v3,3,91221,88546,8.19687,8030ea57249b6c82,1
forest-pan,global,2,candidate,control,post-reset,row-v3,3,91221,88546,7.87522,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-01,measure,global,3,77713,75038,8.58150,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-02,measure,global,3,77713,75038,8.60757,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-03,measure,global,3,77713,75038,8.57898,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-04,measure,global,3,77713,75038,8.64922,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-05,measure,global,3,77713,75038,8.61382,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-06,measure,global,3,77713,75038,8.57046,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-07,measure,global,3,77713,75038,8.46462,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-08,measure,global,3,77713,75038,8.61368,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-09,measure,global,3,77713,75038,8.48319,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-10,measure,global,3,77713,75038,8.55312,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-11,measure,global,3,77713,75038,8.36542,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-12,measure,global,3,77713,75038,8.79585,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-13,measure,global,3,77713,75038,8.46582,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-14,measure,global,3,77713,75038,8.64330,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-15,measure,global,3,77713,75038,8.60363,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-16,measure,global,3,77713,75038,9.10468,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-17,measure,global,3,77713,75038,8.61577,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-18,measure,global,3,77713,75038,10.42694,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-19,measure,global,3,77713,75038,10.40851,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-20,measure,global,3,77713,75038,9.63748,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-21,measure,global,3,77713,75038,10.11218,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-22,measure,global,3,77713,75038,8.72701,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-23,measure,global,3,77713,75038,8.77856,8030ea57249b6c82,1
forest-pan,global,2,candidate,measure-24,measure,global,3,77713,75038,8.49806,8030ea57249b6c82,1
forest-pan,global,3,baseline,control,anchor,independent,2,101724,99049,7.17460,743740e50850356b,1
forest-pan,global,3,baseline,control,no-ack,independent,2,102116,99441,6.67567,8030ea57249b6c82,1
forest-pan,global,3,baseline,control,ack-pair,global,2,84055,81380,7.64478,8030ea57249b6c82,1
forest-pan,global,3,baseline,control,forgot-ref,independent,2,102116,99441,6.17479,8030ea57249b6c82,1
forest-pan,global,3,baseline,control,anchor-id8,independent,2,102116,99441,6.32717,8030ea57249b6c82,1
forest-pan,global,3,baseline,control,post-reset,independent,2,102116,99441,7.16580,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-01,measure,global,2,84055,81380,7.48461,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-02,measure,global,2,84055,81380,7.38326,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-03,measure,global,2,84055,81380,7.68788,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-04,measure,global,2,84055,81380,7.58825,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-05,measure,global,2,84055,81380,7.42527,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-06,measure,global,2,84055,81380,7.45887,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-07,measure,global,2,84055,81380,7.78395,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-08,measure,global,2,84055,81380,7.69094,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-09,measure,global,2,84055,81380,7.70821,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-10,measure,global,2,84055,81380,7.71538,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-11,measure,global,2,84055,81380,7.56603,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-12,measure,global,2,84055,81380,7.79967,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-13,measure,global,2,84055,81380,7.90038,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-14,measure,global,2,84055,81380,7.67822,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-15,measure,global,2,84055,81380,7.83492,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-16,measure,global,2,84055,81380,8.47903,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-17,measure,global,2,84055,81380,8.43020,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-18,measure,global,2,84055,81380,7.67128,8030ea57249b6c82,1
