16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
frame 0: 271310 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.513  submit 789.045  passA 4.902  passW 0.000  passB 3.205  gpu 8.107  total 797.913 ms
frame 1: 272034 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.382  submit 0.633  passA 2.767  passW 0.000  passB 5.281  gpu 8.047  total 11.972 ms
frame 2: 268270 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.382  submit 0.354  passA 3.580  passW 0.000  passB 5.472  gpu 9.052  total 12.076 ms
frame 3: 271814 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.526  submit 0.477  passA 3.725  passW 0.000  passB 3.151  gpu 6.877  total 9.839 ms
frame 4: 271154 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.518  submit 0.465  passA 2.655  passW 0.000  passB 3.129  gpu 5.784  total 8.006 ms
frame 5: 269754 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.590  submit 0.505  passA 4.910  passW 0.000  passB 3.143  gpu 8.053  total 11.912 ms
frame 6: 273394 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.587  submit 0.796  passA 2.256  passW 0.000  passB 4.961  gpu 7.217  total 10.825 ms
frame 7: 270226 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.607  submit 0.583  passA 2.196  passW 0.000  passB 3.513  gpu 5.708  total 8.274 ms
frame 8: 270508 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.596  submit 0.534  passA 4.200  passW 0.000  passB 2.584  gpu 6.784  total 8.058 ms
frame 9: 272018 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.654  submit 0.513  passA 3.018  passW 0.000  passB 4.525  gpu 7.544  total 10.127 ms
frame 10: 268444 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.604  submit 0.510  passA 2.102  passW 0.000  passB 3.512  gpu 5.614  total 8.165 ms
frame 11: 271668 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.628  submit 0.514  passA 4.138  passW 0.000  passB 2.595  gpu 6.733  total 8.031 ms
frame 12: 271434 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.640  submit 0.540  passA 3.077  passW 0.000  passB 2.648  gpu 5.725  total 8.320 ms
frame 13: 269922 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.689  submit 0.575  passA 2.102  passW 0.000  passB 2.390  gpu 4.492  total 6.065 ms
frame 14: 272602 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.588  submit 0.504  passA 2.739  passW 0.000  passB 4.110  gpu 6.850  total 9.168 ms
frame 15: 270560 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.646  submit 0.541  passA 1.884  passW 0.000  passB 2.331  gpu 4.215  total 6.732 ms
