frame 33: 25426 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.287  submit 2.850  passA 7.509  passW 0.128  passB 120.879  gpu 128.389  total 133.419 ms
frame 34: 52899 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.244  submit 0.998  passA 9.962  passW 0.259  passB 109.930  gpu 119.893  total 124.955 ms
frame 35: 25412 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.242  submit 2.546  passA 6.688  passW 0.132  passB 121.134  gpu 127.823  total 130.846 ms
frame 36: 53091 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.227  submit 0.955  passA 8.401  passW 0.271  passB 110.238  gpu 118.640  total 124.767 ms
frame 37: 25655 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.217  submit 3.121  passA 6.400  passW 0.129  passB 121.710  gpu 128.110  total 134.345 ms
frame 38: 52486 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.232  submit 0.952  passA 9.958  passW 0.258  passB 110.810  gpu 120.770  total 123.463 ms
frame 39: 25779 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.207  submit 2.489  passA 7.900  passW 0.132  passB 120.039  gpu 127.939  total 132.905 ms
frame 40: 52514 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.230  submit 1.510  passA 8.316  passW 0.263  passB 110.551  gpu 118.867  total 124.920 ms
frame 41: 25980 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.207  submit 3.274  passA 6.387  passW 0.133  passB 121.412  gpu 127.801  total 131.824 ms
frame 42: 52468 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.230  submit 0.999  passA 9.820  passW 0.257  passB 110.348  gpu 120.169  total 125.097 ms
frame 43: 25701 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.212  submit 2.757  passA 8.118  passW 0.131  passB 119.350  gpu 127.469  total 132.248 ms
frame 44: 52413 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.250  submit 1.090  passA 8.346  passW 0.255  passB 109.974  gpu 118.321  total 122.463 ms
frame 45: 26544 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.216  submit 2.435  passA 6.442  passW 0.132  passB 120.633  gpu 127.076  total 133.117 ms
frame 46: 51808 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.228  submit 1.014  passA 9.768  passW 0.255  passB 110.877  gpu 120.646  total 125.421 ms
frame 47: 26402 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.236  submit 2.468  passA 7.882  passW 0.136  passB 120.046  gpu 127.930  total 131.531 ms
frame 48: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.588  submit 0.271  passA 0.416  passW 0.008  passB 0.312  gpu 0.728  total 6.741 ms
frame 49: 57390 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.276  submit 0.621  passA 10.927  passW 0.284  passB 105.875  gpu 116.804  total 117.886 ms
frame 50: 57431 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.318  submit 0.685  passA 8.682  passW 0.286  passB 106.349  gpu 115.031  total 121.337 ms
frame 51: 57697 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.338  submit 0.651  passA 10.202  passW 0.279  passB 106.966  gpu 117.170  total 120.048 ms
frame 52: 57509 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.344  submit 0.703  passA 10.979  passW 0.283  passB 104.377  gpu 115.357  total 119.529 ms
frame 53: 57720 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.323  submit 0.687  passA 8.717  passW 0.278  passB 105.770  gpu 114.488  total 118.761 ms
frame 54: 57518 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.393  submit 0.714  passA 10.146  passW 0.278  passB 107.257  gpu 117.405  total 122.336 ms
frame 55: 57743 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.336  submit 0.825  passA 10.993  passW 0.288  passB 103.388  gpu 114.381  total 116.394 ms
frame 56: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.395  submit 0.644  passA 10.793  passW 0.277  passB 105.923  gpu 116.718  total 121.420 ms
frame 57: 57766 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.311  submit 0.668  passA 10.768  passW 0.284  passB 104.314  gpu 115.084  total 117.040 ms
frame 58: 57550 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.489  submit 0.761  passA 8.662  passW 0.276  passB 105.322  gpu 113.985  total 120.309 ms
frame 59: 57711 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.386  submit 0.752  passA 10.835  passW 0.282  passB 104.063  gpu 114.898  total 116.888 ms
frame 60: 57440 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.316  submit 0.707  passA 10.748  passW 0.281  passB 103.101  gpu 113.848  total 120.129 ms
frame 61: 57752 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.340  submit 0.701  passA 10.007  passW 0.283  passB 105.968  gpu 115.976  total 118.871 ms
