frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.288  submit 0.336  passA 4.415  passW 0.106  passB 14.994  gpu 19.409  total 24.067 ms
frame 34: 55259 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.226  submit 0.276  passA 9.044  passW 0.244  passB 31.643  gpu 40.687  total 42.599 ms
frame 35: 26888 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.305  submit 0.248  passA 4.525  passW 0.112  passB 15.333  gpu 19.859  total 20.558 ms
frame 36: 53471 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.234  submit 0.951  passA 7.662  passW 0.263  passB 92.774  gpu 100.437  total 103.084 ms
frame 37: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.221  submit 0.260  passA 4.399  passW 0.107  passB 14.545  gpu 18.944  total 22.908 ms
frame 38: 55030 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.242  submit 0.403  passA 8.214  passW 0.239  passB 32.451  gpu 40.665  total 43.789 ms
frame 39: 27548 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.294  submit 0.370  passA 3.841  passW 0.115  passB 18.180  gpu 22.022  total 22.996 ms
frame 40: 53018 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 2.043  submit 3.578  passA 8.373  passW 1.026  passB 98.425  gpu 106.798  total 112.648 ms
frame 41: 26214 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.171  submit 0.273  passA 3.708  passW 0.110  passB 17.685  gpu 21.392  total 27.043 ms
frame 42: 54952 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.300  submit 0.387  passA 8.287  passW 1.375  passB 37.787  gpu 46.074  total 49.117 ms
frame 43: 27507 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.202  submit 0.284  passA 4.999  passW 0.115  passB 19.199  gpu 24.198  total 26.212 ms
frame 44: 52706 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.259  submit 1.058  passA 9.872  passW 0.257  passB 105.223  gpu 115.096  total 116.661 ms
frame 45: 26897 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 1.292  submit 0.355  passA 3.872  passW 0.113  passB 17.913  gpu 21.786  total 29.104 ms
frame 46: 53971 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.253  submit 0.319  passA 9.268  passW 0.234  passB 37.111  gpu 46.380  total 48.443 ms
frame 47: 27965 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.227  submit 0.250  passA 5.165  passW 0.119  passB 18.613  gpu 23.779  total 25.786 ms
frame 48: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.184  submit 0.194  passA 0.407  passW 0.008  passB 0.252  gpu 0.659  total 1.352 ms
