frame 0: 64436 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.438  submit 737.384  passA 14.803  passW 0.000  passB 63.105  gpu 77.910  total 816.779 ms
frame 1: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.199  submit 81.815  passA 0.412  passW 0.008  passB 0.323  gpu 0.736  total 82.958 ms
frame 2: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.191  submit 0.209  passA 0.365  passW 0.007  passB 0.287  gpu 0.652  total 1.184 ms
frame 3: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.118  submit 0.153  passA 0.364  passW 0.007  passB 0.233  gpu 0.597  total 1.001 ms
frame 4: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.101  submit 0.125  passA 0.402  passW 0.008  passB 0.308  gpu 0.711  total 0.991 ms
frame 5: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.097  submit 0.118  passA 0.401  passW 0.009  passB 0.310  gpu 0.711  total 1.032 ms
frame 6: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 1.957  submit 0.184  passA 0.364  passW 0.007  passB 0.287  gpu 0.651  total 2.966 ms
frame 7: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.111  submit 0.120  passA 0.403  passW 0.008  passB 0.301  gpu 0.704  total 1.001 ms
frame 8: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.129  submit 0.158  passA 0.368  passW 0.007  passB 0.285  gpu 0.652  total 0.998 ms
frame 9: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.122  submit 0.136  passA 1.554  passW 0.008  passB 0.295  gpu 1.850  total 3.096 ms
frame 10: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.111  submit 0.124  passA 0.409  passW 0.008  passB 0.332  gpu 0.741  total 1.077 ms
frame 11: 1263 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.119  submit 0.129  passA 0.402  passW 0.008  passB 0.310  gpu 0.712  total 1.053 ms
frame 12: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.118  submit 0.105  passA 0.402  passW 0.008  passB 0.293  gpu 0.695  total 0.974 ms
frame 13: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.094  submit 0.098  passA 0.400  passW 0.008  passB 0.290  gpu 0.690  total 0.938 ms
frame 14: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.094  submit 0.103  passA 0.401  passW 0.008  passB 0.300  gpu 0.701  total 1.227 ms
frame 15: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.120  submit 0.179  passA 1.195  passW 0.009  passB 0.318  gpu 1.513  total 1.933 ms
frame 16: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.169  submit 0.693  passA 0.414  passW 0.008  passB 0.314  gpu 0.729  total 3.090 ms
frame 17: 1208 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.138  submit 0.755  passA 1.558  passW 0.008  passB 0.220  gpu 1.778  total 3.408 ms
frame 18: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.133  submit 0.197  passA 0.378  passW 0.008  passB 0.243  gpu 0.621  total 1.068 ms
frame 19: 1363 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.116  submit 0.136  passA 0.443  passW 0.008  passB 0.318  gpu 0.762  total 1.103 ms
frame 20: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.110  submit 0.128  passA 0.410  passW 0.008  passB 0.310  gpu 0.720  total 1.010 ms
frame 21: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.099  submit 0.118  passA 0.404  passW 0.008  passB 0.300  gpu 0.704  total 0.973 ms
frame 22: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.100  submit 0.115  passA 0.365  passW 0.007  passB 0.217  gpu 0.582  total 0.852 ms
frame 23: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.100  submit 0.131  passA 0.365  passW 0.007  passB 0.996  gpu 1.361  total 1.647 ms
frame 24: 1336 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.101  submit 0.119  passA 0.445  passW 0.008  passB 0.304  gpu 0.749  total 1.027 ms
frame 25: 25486 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.161  submit 0.179  passA 5.829  passW 0.103  passB 18.177  gpu 24.006  total 24.518 ms
frame 26: 55854 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.333  submit 0.346  passA 9.735  passW 0.242  passB 42.425  gpu 52.161  total 55.031 ms
frame 27: 26476 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.327  submit 0.373  passA 5.968  passW 0.116  passB 19.653  gpu 25.622  total 30.267 ms
frame 28: 53856 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.245  submit 334.700  passA 10.858  passW 0.290  passB 115.699  gpu 126.557  total 463.019 ms
frame 29: 25353 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.289  submit 0.289  passA 4.342  passW 0.105  passB 17.882  gpu 22.224  total 27.033 ms
frame 30: 55896 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.215  submit 0.285  passA 10.388  passW 0.239  passB 42.405  gpu 52.794  total 58.982 ms
frame 31: 26503 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.195  submit 0.245  passA 3.775  passW 0.112  passB 21.876  gpu 25.653  total 27.690 ms
frame 32: 53682 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.204  submit 0.775  passA 8.389  passW 0.271  passB 105.494  gpu 113.883  total 115.035 ms
frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.189  submit 0.288  passA 5.739  passW 0.108  passB 18.352  gpu 24.091  total 28.762 ms
frame 34: 55259 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.291  submit 0.359  passA 9.574  passW 0.242  passB 42.142  gpu 51.717  total 54.371 ms
frame 35: 26888 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.204  submit 0.276  passA 3.761  passW 0.110  passB 21.175  gpu 24.936  total 27.524 ms
frame 36: 53471 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.228  submit 0.942  passA 10.683  passW 0.265  passB 105.451  gpu 116.134  total 117.493 ms
frame 37: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.276  submit 0.330  passA 4.422  passW 0.106  passB 20.217  gpu 24.640  total 30.902 ms
frame 38: 55030 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.217  submit 0.275  passA 8.273  passW 0.243  passB 41.883  gpu 50.158  total 52.254 ms
frame 39: 27548 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.204  submit 0.311  passA 3.884  passW 0.116  passB 22.311  gpu 26.196  total 30.231 ms
frame 40: 53018 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.218  submit 0.993  passA 8.411  passW 0.289  passB 106.562  gpu 114.973  total 116.363 ms
frame 41: 26214 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.272  submit 0.391  passA 5.876  passW 0.113  passB 18.545  gpu 24.422  total 29.355 ms
frame 42: 54952 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.301  submit 0.611  passA 9.501  passW 0.238  passB 42.031  gpu 51.533  total 54.345 ms
frame 43: 27507 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.213  submit 0.323  passA 6.047  passW 0.114  passB 19.470  gpu 25.517  total 28.408 ms
frame 44: 52706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.227  submit 1.053  passA 9.604  passW 0.258  passB 108.325  gpu 117.930  total 119.439 ms
frame 45: 26897 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.212  submit 0.495  passA 4.545  passW 0.113  passB 20.902  gpu 25.448  total 29.517 ms
frame 46: 53971 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.241  submit 0.274  passA 10.179  passW 0.230  passB 41.488  gpu 51.668  total 53.736 ms
frame 47: 27965 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.207  submit 0.346  passA 4.685  passW 0.118  passB 21.477  gpu 26.164  total 28.213 ms
frame 48: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.184  submit 0.199  passA 0.408  passW 0.008  passB 0.312  gpu 0.720  total 1.220 ms
frame 49: 57248 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.212  submit 0.556  passA 10.744  passW 0.284  passB 104.303  gpu 115.048  total 115.991 ms
frame 50: 57362 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.357  submit 0.274  passA 10.593  passW 0.247  passB 43.506  gpu 54.101  total 58.059 ms
frame 51: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.368  submit 1.196  passA 8.764  passW 0.278  passB 105.066  gpu 113.830  total 117.741 ms
frame 52: 57587 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.292  submit 0.286  passA 9.906  passW 0.254  passB 43.423  gpu 53.329  total 57.969 ms
frame 53: 57642 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.297  submit 0.647  passA 10.034  passW 0.284  passB 103.411  gpu 113.445  total 116.122 ms
frame 54: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.848  submit 0.316  passA 8.586  passW 2.302  passB 45.379  gpu 53.966  total 59.816 ms
frame 55: 57711 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.270  submit 0.683  passA 10.780  passW 0.288  passB 104.274  gpu 115.055  total 116.941 ms
frame 56: 57495 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.397  submit 0.635  passA 8.625  passW 0.263  passB 43.747  gpu 52.373  total 58.342 ms
frame 57: 57734 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.326  submit 0.691  passA 8.688  passW 0.278  passB 106.050  gpu 114.737  total 118.843 ms
frame 58: 57605 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.341  submit 0.394  passA 9.888  passW 0.259  passB 44.202  gpu 54.091  total 58.963 ms
frame 59: 57665 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.273  submit 0.627  passA 10.078  passW 1.055  passB 105.697  gpu 115.777  total 117.714 ms
frame 60: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.390  submit 0.283  passA 10.642  passW 0.246  passB 43.133  gpu 53.776  total 57.727 ms
frame 61: 57720 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.427  submit 1.407  passA 10.883  passW 0.287  passB 103.854  gpu 114.738  total 116.714 ms
frame 62: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.294  submit 0.300  passA 8.648  passW 0.256  passB 45.543  gpu 54.192  total 60.148 ms
frame 63: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.289  submit 2.149  passA 8.679  passW 2.442  passB 105.487  gpu 114.167  total 116.806 ms
frame 64: 57541 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.322  submit 0.288  passA 9.890  passW 0.251  passB 44.240  gpu 54.132  total 58.793 ms
