frame 33: 2034 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.412  submit 0.470  passA 0.607  passW 0.015  passB 1.138  gpu 1.745  total 3.029 ms
frame 34: 1964 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.402  submit 0.408  passA 0.600  passW 0.014  passB 1.045  gpu 1.645  total 2.604 ms
frame 35: 1866 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.351  submit 0.354  passA 0.570  passW 0.013  passB 0.940  gpu 1.511  total 3.207 ms
frame 36: 2272 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.424  submit 10.787  passA 3.908  passW 0.020  passB 99.861  gpu 103.770  total 115.253 ms
frame 37: 1600 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.469  submit 0.755  passA 0.514  passW 0.012  passB 0.695  gpu 1.209  total 2.571 ms
frame 38: 1908 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.721  submit 0.801  passA 0.568  passW 0.014  passB 1.009  gpu 1.576  total 3.282 ms
frame 39: 1950 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.556  submit 0.515  passA 0.626  passW 0.014  passB 1.145  gpu 1.771  total 3.002 ms
frame 40: 1852 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.496  submit 12.843  passA 3.866  passW 0.016  passB 101.713  gpu 105.579  total 119.267 ms
frame 41: 1684 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.498  submit 0.694  passA 0.513  passW 0.012  passB 0.781  gpu 1.295  total 2.636 ms
frame 42: 1964 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.417  submit 0.470  passA 0.571  passW 0.014  passB 1.060  gpu 1.631  total 2.686 ms
frame 43: 1656 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.473  submit 0.401  passA 0.522  passW 0.012  passB 0.823  gpu 1.345  total 2.382 ms
frame 44: 1964 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.512  submit 15.597  passA 3.858  passW 0.017  passB 101.252  gpu 105.111  total 121.462 ms
frame 45: 1880 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.765  submit 0.829  passA 0.591  passW 0.014  passB 1.015  gpu 1.606  total 3.395 ms
frame 46: 1894 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.416  submit 0.479  passA 0.594  passW 0.014  passB 1.005  gpu 1.599  total 2.647 ms
frame 47: 1600 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.366  submit 0.409  passA 0.489  passW 0.011  passB 0.713  gpu 1.203  total 2.137 ms
frame 48: 1124 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.530  submit 0.398  passA 0.388  passW 0.008  passB 0.259  gpu 0.648  total 1.923 ms
frame 49: 3336 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.473  submit 12.655  passA 4.003  passW 0.030  passB 99.512  gpu 103.515  total 116.499 ms
frame 50: 3000 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.446  submit 0.699  passA 0.796  passW 0.022  passB 2.067  gpu 2.864  total 4.236 ms
frame 51: 3014 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.461  submit 13.809  passA 3.979  passW 0.026  passB 100.174  gpu 104.154  total 119.404 ms
frame 52: 3014 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.498  submit 0.807  passA 0.826  passW 0.022  passB 2.105  gpu 2.931  total 4.414 ms
frame 53: 2804 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.472  submit 13.206  passA 3.946  passW 0.024  passB 99.740  gpu 103.686  total 117.963 ms
frame 54: 2762 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.529  submit 0.701  passA 0.762  passW 0.020  passB 1.883  gpu 2.646  total 4.055 ms
frame 55: 2888 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.466  submit 12.242  passA 3.963  passW 0.025  passB 99.899  gpu 103.862  total 116.804 ms
frame 56: 2944 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.468  submit 0.987  passA 0.786  passW 0.022  passB 2.047  gpu 2.833  total 4.455 ms
frame 57: 2832 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.427  submit 12.040  passA 4.010  passW 0.024  passB 99.639  gpu 103.649  total 116.527 ms
frame 58: 2818 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.786  submit 0.691  passA 0.771  passW 0.020  passB 1.897  gpu 2.668  total 4.313 ms
frame 59: 2804 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.406  submit 11.954  passA 3.948  passW 0.024  passB 99.606  gpu 103.554  total 116.212 ms
frame 60: 2650 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.481  submit 0.717  passA 0.753  passW 0.019  passB 1.761  gpu 2.514  total 3.948 ms
frame 61: 2916 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.436  submit 11.963  passA 3.974  passW 0.025  passB 99.622  gpu 103.596  total 116.424 ms
frame 62: 3126 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.479  submit 0.675  passA 0.839  passW 0.023  passB 2.260  gpu 3.099  total 4.424 ms
