frame 0: 38266 B, 578 tiles (0 tskip, 4 lane group(s), 9 dispatches)  parse 0.087  submit 3524.033  passA 0.000  passW 0.000  passB 0.000  gpu 0.000  total 3597.530 ms
[timing] frame 0 GPU timestamps unavailable; zero is not a performance result
frame 1: 117 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.050  submit 0.214  passA 0.045  passW 0.000  passB 2.432  gpu 2.478  total 5.717 ms
frame 2: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.035  submit 0.217  passA 0.044  passW 0.000  passB 0.930  gpu 0.974  total 3.666 ms
frame 3: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.096  passA 0.048  passW 0.000  passB 0.922  gpu 0.970  total 1.150 ms
frame 4: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.067  passA 0.048  passW 0.000  passB 0.922  gpu 0.970  total 1.114 ms
frame 5: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.024  submit 0.070  passA 0.048  passW 0.000  passB 0.924  gpu 0.973  total 1.119 ms
frame 6: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.497  passA 0.043  passW 0.000  passB 1.919  gpu 1.963  total 3.793 ms
frame 7: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.098  passA 0.050  passW 0.000  passB 2.357  gpu 2.409  total 2.592 ms
frame 8: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.081  passA 0.050  passW 0.000  passB 0.940  gpu 0.990  total 1.164 ms
frame 9: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.029  submit 0.071  passA 0.047  passW 0.000  passB 0.991  gpu 1.038  total 1.216 ms
frame 10: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.039  submit 0.142  passA 0.044  passW 0.000  passB 0.944  gpu 0.989  total 1.290 ms
frame 11: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.035  submit 0.140  passA 0.048  passW 0.000  passB 0.936  gpu 0.984  total 1.192 ms
frame 12: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.029  submit 0.079  passA 0.048  passW 0.000  passB 0.933  gpu 0.981  total 1.145 ms
frame 13: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.069  passA 0.048  passW 0.000  passB 0.933  gpu 0.981  total 1.130 ms
frame 14: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.089  passA 0.043  passW 0.000  passB 0.931  gpu 0.974  total 2.432 ms
frame 15: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.028  submit 0.074  passA 0.048  passW 0.000  passB 3.360  gpu 3.410  total 3.568 ms
frame 16: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.028  submit 0.072  passA 0.049  passW 0.000  passB 0.944  gpu 0.993  total 1.150 ms
frame 17: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.076  passA 0.047  passW 0.000  passB 0.976  gpu 1.023  total 1.193 ms
frame 18: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.104  passA 0.051  passW 0.000  passB 0.965  gpu 1.016  total 1.203 ms
frame 19: 117 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.116  passA 0.050  passW 0.000  passB 1.031  gpu 1.081  total 1.304 ms
frame 20: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.038  submit 0.116  passA 0.046  passW 0.000  passB 1.027  gpu 1.074  total 1.357 ms
frame 21: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.036  submit 0.120  passA 0.051  passW 0.000  passB 0.970  gpu 1.021  total 1.281 ms
frame 22: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.033  submit 0.124  passA 0.044  passW 0.000  passB 0.949  gpu 0.994  total 7.652 ms
frame 23: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.033  submit 0.095  passA 0.047  passW 0.000  passB 0.926  gpu 0.973  total 1.150 ms
frame 24: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.080  passA 0.041  passW 0.000  passB 0.926  gpu 0.967  total 1.392 ms
frame 25: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.065  passA 0.047  passW 0.000  passB 0.930  gpu 0.978  total 1.121 ms
frame 26: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.065  passA 0.048  passW 0.000  passB 0.929  gpu 0.977  total 1.124 ms
frame 27: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.064  passA 0.047  passW 0.000  passB 0.928  gpu 0.975  total 1.118 ms
frame 28: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.053  submit 0.066  passA 0.048  passW 0.000  passB 2.373  gpu 2.423  total 2.601 ms
frame 29: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.077  passA 0.049  passW 0.000  passB 0.928  gpu 0.978  total 1.135 ms
frame 30: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.066  passA 0.048  passW 0.000  passB 3.236  gpu 3.286  total 3.491 ms
frame 31: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.037  submit 0.209  passA 0.045  passW 0.000  passB 0.948  gpu 0.993  total 1.376 ms
32 frame(s), 2176x1088 yuv420p on Adreno (TM) 650
