case,metric,runs,mean_of_run_means,min_run_mean,max_run_mean
A,codec_wire_mbps,2,83.52566924999999,83.49249414285714,83.55884435714286
A,server_encode_ms,2,4.378571428571428,4.373214285714286,4.383928571428571
A,decode_ms,2,0.5954545454545455,0.5945454545454545,0.5963636363636363
A,fresh_fps,2,87.62831827052176,87.48895192956563,87.7676846114779
A,derived_software_delay_ms,2,46.24454545454546,45.53090909090909,46.95818181818182
A,wire_ms,2,10.51909090909091,10.514545454545454,10.523636363636363
B,codec_wire_mbps,2,74.56912121428572,74.55418264285714,74.58405978571429
B,server_encode_ms,2,3.5901785714285714,3.5875,3.592857142857143
B,decode_ms,2,0.6854545454545454,0.6818181818181818,0.6890909090909091
B,fresh_fps,2,87.48388327752681,86.24071880819366,88.72704774685997
B,derived_software_delay_ms,2,46.013636363636365,45.96545454545454,46.06181818181818
B,wire_ms,2,10.380909090909089,10.116363636363635,10.645454545454545
