run,case,cache,payload_mbps,fresh_fps,decode_ms,derived_software_delay_ms,holes,safety_fallbacks_postcutoff,wire_ms_min
1,A,0,83.55884435714286,87.7676846114779,0.5963636363636363,46.95818181818182,87,10,8.1
2,B,1,74.55418264285714,88.72704774685997,0.6890909090909091,46.06181818181818,0,11,10.4
3,B,1,74.58405978571429,86.24071880819366,0.6818181818181818,45.96545454545454,37,16,3.3
4,A,0,83.49249414285714,87.48895192956563,0.5945454545454545,45.53090909090909,82,20,8.8
