(0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.008,0.000) (0.008,0.000) (0.008,0.000) (0.008,0.000) (0.000,0.000) (0.008,0.003) (0.008,0.003) (0.016,0.000) (0.008,0.003) (0.000,0.000) (0.000,0.000) (0.002,0.003) (0.001,0.002) (0.001,0.001) (0.002,0.000) (0.000,0.000) (0.000,0.000) (-0.001,0.000) (-0.005,0.000) (-0.004,0.000) (-0.004,0.000) (-0.002,0.000) (-0.001,0.000) (-0.001,0.000) (0.000,0.000) (0.000,0.000) (-0.000,0.000) (-0.001,0.000) (-0.001,0.000)
(-0.009,0.015) (-0.009,0.015) (-0.017,0.022) (0.009,-0.007) (0.001,0.001) (0.001,0.001) (-0.007,0.008) (0.000,0.000) (0.001,0.001) (0.008,-0.007) (0.009,-0.007) (0.001,0.001) (0.001,0.001) (-0.008,0.007) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (-0.008,0.007) (0.000,0.000) (0.008,-0.008) (0.000,-0.000) (0.007,-0.008) (0.008,-0.008) (0.008,-0.008) (0.007,-0.008) (-0.000,-0.001) (-0.008,0.007) (-0.008,0.006) (-0.009,0.005) (-0.004,-0.004) (-0.003,-0.002) (-0.003,-0.002) (-0.003,-0.002) (-0.001,-0.001) (0.000,-0.001) (0.000,-0.001) (0.000,0.000) (0.001,0.000) (0.001,0.000) (0.000,0.001) (-0.000,0.002) (-0.001,-0.000) (-0.001,-0.002) (-0.000,-0.003) (0.000,-0.004) (-0.000,-0.002) (0.000,-0.001) (-0.000,0.000) (-0.000,0.001) (0.000,0.001) (-0.000,0.001) (0.000,0.004) (-0.001,0.003) (-0.001,0.002) (0.001,0.004) (-0.000,0.001) (-0.000,0.002) (-0.001,0.003) (-0.001,0.003) (0.001,0.005) (0.000,0.007) (-0.000,0.007)
(-0.015,0.023) (-0.016,0.023) (-0.016,0.023) (0.008,-0.008) (0.007,-0.009) (0.000,0.001) (0.000,0.000) (0.000,0.000) (0.007,-0.008) (0.008,-0.008) (0.001,0.001) (0.001,0.001) (0.000,0.000) (0.000,0.000) (0.008,-0.008) (0.000,0.000) (0.000,0.000) (-0.008,0.008) (-0.008,0.007) (0.008,-0.008) (0.008,-0.008) (0.008,-0.008) (0.008,-0.008) (0.007,-0.008) (0.007,-0.008) (0.007,-0.008) (0.000,0.001) (-0.001,-0.002) (-0.002,-0.004) (-0.003,-0.004) (-0.007,0.005) (-0.004,0.003) (-0.004,0.001) (-0.003,0.000) (-0.002,0.001) (0.001,0.002) (0.001,0.001) (0.000,0.002) (0.001,0.002) (-0.000,0.005) (0.001,0.003) (0.001,0.001) (-0.000,-0.001) (0.001,-0.005) (0.000,-0.005) (0.001,-0.005) (0.001,-0.004) (-0.000,0.004) (0.000,0.005) (0.000,0.005) (-0.000,0.004) (0.000,0.004) (0.000,0.004) (-0.000,0.006) (-0.000,0.005) (-0.001,0.004) (0.001,0.005) (-0.000,-0.000) (-0.000,-0.000) (-0.000,0.002) (-0.001,0.002) (0.001,0.005) (0.000,0.007) (-0.001,0.008)
(-0.015,0.023) (-0.015,0.024) (-0.009,0.014) (0.007,-0.009) (0.001,0.001) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.007,-0.009) (0.008,-0.008) (0.001,0.001) (0.001,0.001) (0.000,0.000) (0.000,0.000) (0.000,0.000) (-0.008,0.008) (0.000,-0.000) (-0.000,-0.000) (-0.000,-0.000) (0.008,-0.008) (0.007,-0.008) (0.007,-0.008) (0.007,-0.008) (0.007,-0.009) (0.001,0.003) (0.001,0.002) (0.000,0.001) (-0.002,-0.001) (-0.003,-0.003) (-0.003,-0.001) (-0.003,0.001) (-0.004,0.002) (-0.004,0.003) (-0.004,0.001) (-0.002,0.000) (0.002,0.001) (0.000,0.000) (0.000,0.001) (0.001,0.003) (0.001,0.003) (0.001,0.002) (0.000,0.001) (-0.000,-0.002) (-0.001,-0.004) (-0.001,-0.003) (-0.000,-0.002) (0.000,0.000) (0.000,0.002) (0.000,0.000) (0.001,-0.005) (0.000,-0.005) (0.000,-0.004) (-0.000,0.004) (-0.000,0.005) (-0.000,0.006) (0.000,0.005) (-0.001,-0.007) (-0.000,-0.001) (-0.000,-0.002) (-0.000,0.002) (-0.001,0.003) (0.000,0.006) (0.000,0.007) (-0.002,0.008)
(-0.015,0.024) (-0.015,0.024) (-0.008,0.014) (0.001,0.001) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.001) (0.001,0.001) (0.001,0.001) (0.001,0.001) (0.000,0.000) (0.000,0.000) (0.000,0.000) (-0.007,0.009) (-0.007,0.008) (-0.008,0.008) (-0.001,-0.001) (0.000,-0.000) (0.007,-0.009) (0.007,-0.008) (0.001,0.002) (0.007,-0.009) (0.002,0.003) (-0.002,0.004) (-0.002,0.005) (-0.002,0.005) (-0.003,0.003) (-0.004,0.002) (-0.004,0.003) (-0.005,0.000) (-0.005,0.001) (-0.007,0.002) (-0.004,0.002) (0.002,0.001) (0.004,0.001) (0.001,0.001) (0.002,0.002) (0.009,-0.007) (0.008,-0.009) (0.001,0.001) (-0.000,-0.001) (-0.001,-0.002) (-0.001,-0.002) (-0.000,-0.002) (0.000,-0.001) (0.000,0.001) (0.000,0.000) (-0.000,-0.001) (-0.000,-0.003) (-0.000,-0.003) (-0.000,-0.003) (-0.000,0.000) (-0.000,0.007) (-0.001,0.008) (0.000,0.005) (-0.000,0.004) (0.001,0.003) (0.000,0.002) (-0.000,0.001) (-0.000,0.001) (-0.002,0.000) (-0.003,0.000) (-0.004,0.000)
(-0.013,0.026) (-0.007,0.017) (-0.007,0.015) (0.001,0.000) (0.008,-0.015) (0.000,0.000) (0.000,0.000) (0.001,0.001) (0.001,0.001) (0.001,0.001) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (-0.000,-0.001) (-0.001,-0.001) (-0.001,-0.001) (0.001,-0.000) (0.007,-0.009) (0.007,-0.008) (-0.002,0.004) (-0.002,0.005) (0.002,0.003) (0.001,0.003) (-0.001,0.005) (-0.001,0.004) (-0.002,0.005) (-0.004,0.003) (-0.005,-0.001) (-0.006,0.000) (-0.005,0.001) (-0.006,0.002) (-0.002,0.002) (0.004,0.001) (0.005,-0.000) (0.003,0.001) (0.002,0.002) (0.002,0.002) (0.001,0.001) (0.000,0.000) (-0.007,0.009) (-0.007,0.009) (-0.001,-0.002) (-0.000,-0.001) (0.000,0.000) (0.000,0.001) (-0.000,0.001) (-0.000,-0.001) (-0.000,-0.002) (-0.000,-0.002) (-0.000,-0.002) (-0.000,-0.001) (0.000,-0.006) (-0.000,-0.007) (0.000,-0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (-0.000,0.000) (-0.000,0.000) (-0.002,-0.000) (-0.004,-0.000) (-0.012,-0.000)
(-0.015,0.031) (-0.015,0.031) (-0.007,0.016) (-0.008,0.016) (0.008,-0.016) (0.008,-0.016) (0.001,0.001) (0.008,-0.014) (0.001,0.001) (0.000,0.001) (0.000,0.000) (0.000,0.000) (0.000,0.001) (0.000,0.000) (-0.000,-0.000) (-0.001,-0.001) (-0.001,-0.002) (-0.001,-0.002) (0.001,-0.001) (0.002,0.003) (-0.001,0.005) (0.002,0.001) (0.002,0.002) (0.002,-0.001) (0.002,-0.003) (0.001,0.003) (-0.000,0.001) (-0.010,-0.004) (-0.005,-0.001) (-0.006,-0.000) (-0.009,0.001) (-0.008,0.002) (-0.007,0.002) (-0.001,0.002) (0.005,0.001) (0.005,0.000) (0.002,0.001) (0.002,0.001) (0.001,0.001) (0.000,0.000) (-0.000,-0.000) (-0.001,-0.001) (-0.007,0.009) (-0.001,-0.001) (0.000,0.000) (0.000,0.001) (0.000,0.001) (-0.000,0.000) (-0.000,-0.001) (-0.000,-0.001) (-0.000,-0.001) (-0.000,-0.001) (-0.000,-0.001) (-0.000,-0.004) (-0.000,-0.005) (0.000,-0.001) (0.001,-0.000) (0.000,0.000) (0.000,0.000) (-0.000,-0.000) (-0.000,-0.000) (-0.001,-0.000) (-0.004,-0.000) (-0.008,-0.000)
(-0.014,0.034) (-0.023,0.047) (-0.007,0.018) (0.000,0.001) (0.007,-0.017) (0.000,0.001) (0.001,0.002) (0.001,0.003) (0.001,0.001) (0.000,0.001) (-0.000,0.000) (0.000,0.000) (0.000,0.001) (0.000,0.001) (-0.001,0.001) (-0.001,-0.001) (-0.001,-0.002) (0.000,-0.001) (0.002,-0.001) (0.004,-0.002) (0.004,-0.001) (0.003,-0.003) (0.003,-0.003) (0.003,-0.002) (0.004,-0.003) (0.003,-0.001) (-0.009,-0.006) (-0.011,-0.005) (-0.002,0.001) (-0.003,0.002) (-0.003,0.002) (-0.003,0.002) (-0.004,0.002) (-0.001,0.001) (0.001,0.001) (0.002,0.001) (0.001,0.001) (0.001,0.001) (0.001,0.000) (-0.000,-0.000) (-0.008,0.008) (-0.008,0.008) (-0.001,-0.001) (-0.000,-0.000) (0.000,0.000) (0.000,0.000) (-0.000,0.000) (-0.001,-0.001) (-0.001,-0.001) (-0.000,-0.000) (-0.000,0.000) (-0.000,-0.000) (-0.001,-0.002) (0.001,-0.005) (0.000,-0.006) (0.000,-0.001) (0.001,-0.000) (0.000,0.000) (0.000,0.000) (-0.000,-0.000) (-0.000,-0.000) (-0.001,-0.000) (-0.003,-0.000) (-0.003,-0.000)
(-0.002,0.020) (-0.004,0.014) (-0.001,0.005) (0.001,0.003) (0.000,0.003) (0.001,0.003) (-0.001,0.004) (0.001,0.004) (0.001,0.001) (-0.000,0.000) (-0.000,-0.001) (0.000,0.000) (0.000,0.002) (0.000,0.001) (-0.001,0.002) (-0.001,0.001) (-0.000,0.001) (0.000,0.001) (0.002,-0.001) (0.003,-0.003) (-0.002,-0.004) (0.003,-0.004) (-0.006,-0.009) (0.005,0.001) (0.006,0.001) (0.006,0.001) (0.005,0.001) (-0.014,-0.008) (0.001,-0.000) (-0.001,0.000) (-0.002,0.001) (-0.002,0.001) (-0.004,0.001) (-0.001,0.001) (-0.001,0.000) (-0.001,0.000) (-0.000,0.000) (-0.001,-0.000) (-0.001,-0.000) (-0.001,-0.001) (-0.001,-0.001) (-0.001,-0.001) (-0.000,-0.000) (-0.000,0.000) (0.000,0.000) (0.007,-0.009) (-0.000,-0.000) (-0.000,-0.000) (-0.000,0.000) (-0.000,0.000) (0.000,0.001) (-0.000,0.000) (-0.001,-0.001) (-0.001,-0.003) (0.001,-0.004) (0.001,0.000) (0.001,-0.001) (0.000,-0.002) (0.000,-0.002) (-0.000,-0.002) (-0.000,-0.001) (-0.001,-0.001) (-0.001,-0.000) (-0.001,-0.000)
(-0.001,0.016) (-0.001,0.010) (-0.001,0.007) (-0.001,0.007) (-0.001,0.006) (-0.001,0.006) (-0.000,0.007) (-0.001,0.005) (0.000,0.004) (-0.000,0.003) (-0.000,-0.002) (0.000,0.000) (0.000,0.003) (0.001,0.001) (-0.001,0.002) (-0.001,0.001) (-0.001,0.001) (0.000,0.001) (0.001,-0.001) (0.002,-0.002) (-0.007,-0.009) (-0.007,-0.009) (-0.008,-0.008) (0.005,0.001) (0.006,0.001) (0.006,0.001) (0.007,0.001) (-0.014,-0.007) (0.003,-0.001) (0.001,0.001) (-0.001,0.003) (-0.001,0.003) (-0.003,0.003) (-0.004,0.003) (-0.004,0.003) (-0.005,0.003) (-0.003,0.002) (-0.003,0.000) (-0.002,-0.001) (-0.001,-0.001) (-0.001,-0.001) (-0.001,-0.000) (-0.000,0.000) (-0.000,0.000) (-0.000,0.000) (-0.000,-0.000) (-0.000,-0.000) (-0.000,-0.000) (-0.000,0.000) (-0.000,0.000) (-0.000,-0.000) (-0.000,-0.001) (-0.001,-0.002) (-0.001,-0.003) (-0.001,-0.003) (0.000,-0.000) (0.001,-0.003) (0.000,-0.002) (0.000,-0.002) (-0.000,-0.002) (-0.001,-0.001) (-0.001,-0.001) (-0.000,-0.000) (-0.000,-0.001)
(0.002,0.000) (0.002,0.000) (0.001,0.000) (0.001,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (-0.000,0.000) (0.000,0.000) (-0.000,0.000) (-0.002,-0.013) (0.000,-0.013) (0.001,-0.004) (0.001,-0.001) (-0.001,0.001) (-0.009,-0.007) (-0.001,0.001) (-0.010,-0.006) (-0.009,-0.007) (0.001,-0.001) (-0.008,-0.008) (-0.008,-0.008) (0.003,-0.002) (-0.013,-0.008) (-0.016,-0.008) (0.005,0.000) (0.006,0.001) (0.006,0.000) (0.002,0.002) (0.001,0.001) (0.000,0.001) (0.000,0.001) (-0.000,0.000) (-0.000,0.000) (0.000,0.000) (-0.000,0.001) (-0.000,0.001) (-0.001,0.001) (-0.002,0.002) (-0.002,0.001) (-0.001,-0.001) (0.008,-0.008) (0.007,-0.008) (-0.000,0.000) (-0.000,-0.000) (-0.000,-0.001) (-0.001,-0.001) (-0.001,-0.000) (0.008,-0.008) (-0.000,0.000) (-0.000,-0.000) (-0.007,0.009) (-0.007,0.008) (-0.007,0.009) (0.009,-0.014) (0.000,0.004) (0.001,0.004) (0.000,0.004) (0.000,0.000) (-0.000,0.000) (-0.001,0.001) (-0.001,0.000) (-0.000,0.000) (-0.000,-0.000)
