frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.219  submit 0.286  passA 4.956  passW 0.106  passB 18.974  gpu 23.931  total 29.047 ms
frame 34: 55259 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.224  submit 0.282  passA 10.615  passW 0.241  passB 43.083  gpu 53.700  total 55.659 ms
frame 35: 26888 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 1.719  submit 0.932  passA 4.914  passW 0.112  passB 20.083  gpu 24.998  total 28.408 ms
frame 36: 53471 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.222  submit 1.543  passA 8.439  passW 0.265  passB 108.327  gpu 116.767  total 120.819 ms
frame 37: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.206  submit 0.277  passA 5.942  passW 0.108  passB 19.344  gpu 25.288  total 29.946 ms
frame 38: 55030 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.265  submit 0.373  passA 9.699  passW 0.238  passB 42.014  gpu 51.714  total 53.687 ms
frame 39: 27548 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.202  submit 0.254  passA 6.244  passW 0.114  passB 20.075  gpu 26.321  total 29.073 ms
frame 40: 53018 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.251  submit 0.896  passA 9.905  passW 0.259  passB 108.274  gpu 118.180  total 119.490 ms
frame 41: 26214 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.226  submit 0.280  passA 4.525  passW 0.109  passB 20.583  gpu 25.108  total 29.067 ms
frame 42: 54952 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.282  submit 0.333  passA 9.549  passW 0.240  passB 41.785  gpu 51.335  total 56.199 ms
frame 43: 27507 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.177  submit 0.243  passA 4.652  passW 0.115  passB 21.364  gpu 26.016  total 26.607 ms
frame 44: 52706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.247  submit 1.379  passA 10.362  passW 0.259  passB 106.115  gpu 116.477  total 118.729 ms
frame 45: 26897 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.221  submit 0.362  passA 4.574  passW 0.113  passB 21.039  gpu 25.615  total 31.944 ms
frame 46: 53971 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.222  submit 0.277  passA 10.275  passW 0.232  passB 39.356  gpu 49.633  total 51.720 ms
frame 47: 27965 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.263  submit 0.292  passA 3.924  passW 0.121  passB 22.503  gpu 26.428  total 30.496 ms
frame 48: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.217  submit 0.204  passA 0.408  passW 0.008  passB 0.311  gpu 0.719  total 1.254 ms
frame 49: 57248 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.197  submit 0.684  passA 10.774  passW 0.281  passB 103.489  gpu 114.264  total 115.356 ms
frame 50: 57362 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.320  submit 0.270  passA 10.605  passW 0.259  passB 43.304  gpu 53.910  total 58.538 ms
