frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.198  submit 0.284  passA 4.788  passW 0.106  passB 20.678  gpu 25.467  total 30.245 ms
frame 34: 55259 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.232  submit 0.322  passA 9.830  passW 0.235  passB 43.664  gpu 53.495  total 55.578 ms
frame 35: 26888 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.201  submit 0.258  passA 4.979  passW 0.113  passB 21.478  gpu 26.458  total 28.494 ms
frame 36: 53471 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.223  submit 0.942  passA 10.639  passW 0.260  passB 110.137  gpu 120.776  total 122.741 ms
frame 37: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.201  submit 0.250  passA 5.895  passW 0.107  passB 19.522  gpu 25.419  total 30.242 ms
frame 38: 55030 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.273  submit 0.625  passA 10.670  passW 0.238  passB 42.651  gpu 53.323  total 55.447 ms
frame 39: 27548 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.197  submit 0.260  passA 4.982  passW 0.115  passB 21.767  gpu 26.750  total 27.356 ms
frame 40: 53018 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.282  submit 0.948  passA 10.702  passW 0.257  passB 109.632  gpu 120.334  total 122.346 ms
frame 41: 26214 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.245  submit 0.334  passA 5.992  passW 0.109  passB 19.495  gpu 25.488  total 30.287 ms
frame 42: 54952 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.218  submit 0.291  passA 10.746  passW 0.236  passB 42.683  gpu 53.431  total 55.399 ms
frame 43: 27507 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.208  submit 0.275  passA 6.137  passW 0.115  passB 20.567  gpu 26.705  total 28.650 ms
frame 44: 52706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.571  submit 1.207  passA 10.760  passW 0.255  passB 110.905  gpu 121.667  total 123.718 ms
frame 45: 26897 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.267  submit 0.325  passA 6.048  passW 0.114  passB 20.022  gpu 26.070  total 30.100 ms
frame 46: 53971 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.262  submit 0.279  passA 10.551  passW 0.234  passB 42.268  gpu 52.821  total 54.764 ms
frame 47: 27965 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.198  submit 0.353  passA 6.182  passW 0.119  passB 20.638  gpu 26.821  total 27.547 ms
frame 48: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.185  submit 0.962  passA 0.420  passW 0.008  passB 0.303  gpu 0.723  total 2.678 ms
frame 49: 57248 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.276  submit 1.000  passA 9.823  passW 0.275  passB 107.917  gpu 117.741  total 119.231 ms
frame 50: 57362 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.296  submit 0.271  passA 10.886  passW 0.255  passB 43.648  gpu 54.536  total 59.498 ms
frame 51: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.289  submit 0.648  passA 9.834  passW 0.278  passB 109.063  gpu 118.898  total 121.902 ms
