frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.290  submit 0.340  passA 3.645  passW 0.107  passB 20.654  gpu 24.300  total 28.946 ms
frame 34: 55259 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.229  submit 0.274  passA 9.880  passW 0.240  passB 42.705  gpu 52.586  total 57.398 ms
frame 35: 26888 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.199  submit 0.256  passA 3.787  passW 0.112  passB 21.528  gpu 25.316  total 26.350 ms
frame 36: 53471 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.247  submit 1.153  passA 9.948  passW 0.263  passB 110.548  gpu 120.497  total 123.344 ms
frame 37: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.240  submit 0.326  passA 3.605  passW 0.107  passB 20.662  gpu 24.268  total 28.985 ms
frame 38: 55030 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.242  submit 0.347  passA 10.751  passW 0.243  passB 42.584  gpu 53.337  total 55.282 ms
frame 39: 27548 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.258  submit 0.251  passA 3.849  passW 0.116  passB 21.939  gpu 25.788  total 29.098 ms
frame 40: 53018 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.254  submit 1.262  passA 9.924  passW 0.265  passB 110.142  gpu 120.067  total 121.804 ms
frame 41: 26214 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.283  submit 0.322  passA 3.816  passW 0.112  passB 21.285  gpu 25.101  total 30.036 ms
frame 42: 54952 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.248  submit 0.296  passA 9.784  passW 0.240  passB 43.960  gpu 53.746  total 56.511 ms
frame 43: 27507 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.222  submit 0.246  passA 6.161  passW 0.115  passB 20.268  gpu 26.430  total 27.040 ms
frame 44: 52706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.225  submit 1.162  passA 10.021  passW 0.253  passB 110.703  gpu 120.724  total 122.701 ms
frame 45: 26897 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.210  submit 0.274  passA 6.150  passW 0.114  passB 20.066  gpu 26.216  total 31.142 ms
frame 46: 53971 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 2.104  submit 0.258  passA 10.425  passW 0.237  passB 42.403  gpu 52.829  total 55.378 ms
frame 47: 27965 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.311  submit 0.315  passA 6.267  passW 0.118  passB 20.752  gpu 27.020  total 28.963 ms
frame 48: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.191  submit 0.216  passA 2.735  passW 0.008  passB 0.322  gpu 3.057  total 4.999 ms
frame 49: 57248 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.224  submit 0.736  passA 8.666  passW 0.281  passB 108.720  gpu 117.388  total 118.513 ms
frame 50: 57362 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.295  submit 0.283  passA 8.543  passW 0.258  passB 45.163  gpu 53.707  total 60.181 ms
frame 51: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.289  submit 0.739  passA 8.736  passW 0.284  passB 108.860  gpu 117.598  total 120.880 ms
frame 52: 57587 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.287  submit 0.291  passA 8.566  passW 0.256  passB 46.354  gpu 54.921  total 60.991 ms
frame 53: 57642 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.329  submit 0.898  passA 8.763  passW 0.284  passB 109.115  gpu 117.879  total 119.950 ms
frame 54: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.326  submit 0.309  passA 8.591  passW 0.262  passB 46.564  gpu 55.156  total 61.476 ms
frame 55: 57711 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.381  submit 0.681  passA 11.020  passW 0.297  passB 105.592  gpu 116.613  total 118.582 ms
frame 56: 57495 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.318  submit 0.296  passA 8.541  passW 0.252  passB 46.307  gpu 54.849  total 60.941 ms
frame 57: 57734 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.562  submit 0.863  passA 9.957  passW 0.282  passB 109.294  gpu 119.253  total 121.354 ms
frame 58: 57605 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.331  submit 0.358  passA 9.733  passW 0.257  passB 45.603  gpu 55.337  total 60.607 ms
frame 59: 57665 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.287  submit 0.983  passA 10.274  passW 0.279  passB 107.171  gpu 117.446  total 120.289 ms
frame 60: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.343  submit 0.452  passA 9.735  passW 1.420  passB 45.454  gpu 55.190  total 60.433 ms
frame 61: 57720 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.293  submit 0.730  passA 10.200  passW 1.055  passB 109.587  gpu 119.789  total 122.612 ms
frame 62: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.301  submit 0.423  passA 10.073  passW 0.256  passB 44.390  gpu 54.464  total 59.381 ms
frame 63: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.327  submit 0.800  passA 10.208  passW 0.280  passB 108.474  gpu 118.683  total 121.403 ms
frame 64: 57541 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.965  submit 0.464  passA 10.127  passW 0.274  passB 45.776  gpu 55.904  total 60.700 ms
frame 65: 57633 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.295  submit 0.996  passA 11.074  passW 0.281  passB 108.717  gpu 119.792  total 121.894 ms
frame 66: 57527 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.325  submit 0.300  passA 10.127  passW 0.270  passB 44.962  gpu 55.090  total 59.907 ms
frame 67: 57775 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.324  submit 0.725  passA 9.904  passW 0.280  passB 108.277  gpu 118.183  total 121.313 ms
frame 68: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.293  submit 0.471  passA 11.000  passW 0.256  passB 44.421  gpu 55.422  total 60.217 ms
frame 69: 57706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.387  submit 0.727  passA 9.798  passW 0.285  passB 109.103  gpu 118.902  total 122.021 ms
frame 70: 57628 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.321  submit 0.282  passA 9.729  passW 0.260  passB 45.987  gpu 55.717  total 60.868 ms
frame 71: 57706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.293  submit 0.841  passA 9.825  passW 0.293  passB 109.454  gpu 119.280  total 121.337 ms
frame 72: 1258 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.203  submit 0.266  passA 0.400  passW 0.009  passB 0.310  gpu 0.710  total 5.946 ms
frame 73: 56304 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.294  submit 0.827  passA 9.803  passW 0.277  passB 108.089  gpu 117.893  total 119.203 ms
frame 74: 56771 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.272  submit 1.097  passA 10.005  passW 0.280  passB 109.353  gpu 119.359  total 124.781 ms
frame 75: 56588 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.295  submit 0.824  passA 9.822  passW 0.280  passB 109.905  gpu 119.729  total 124.919 ms
